
[00:00:00.000 --> 00:00:04.000]  跟你旁邊如果有父親的話 跟他說父親節快樂
[00:00:04.000 --> 00:00:23.000]  今天這段聖經裡面 講到兩處的聖經
[00:00:23.000 --> 00:00:26.000]  一個在舊約 一個在新約
[00:00:26.000 --> 00:00:29.000]  馬拉基書是舊約的第幾卷書
[00:00:30.000 --> 00:00:33.000]  最後一卷書
[00:00:33.000 --> 00:00:36.000]  馬拉基書在這一段聖經
[00:00:36.000 --> 00:00:39.000]  可以說是整個舊約的結束
[00:00:39.000 --> 00:00:42.000]  講了這麼一句話
[00:00:42.000 --> 00:00:49.000]  它說在耶和華大而可畏的日子來臨之前
[00:00:49.000 --> 00:00:53.000]  那是指什麼呢 那是指主再來之前
[00:00:53.000 --> 00:00:56.000]  我們這段時間講起是不是講到end time
[00:00:56.000 --> 00:00:58.000]  講到這個末世
[00:00:58.000 --> 00:01:00.000]  主再來之前有一件事情
[00:01:00.000 --> 00:01:02.000]  馬拉基在那邊預言
[00:01:02.000 --> 00:01:04.000]  他說他要做什麼呢
[00:01:04.000 --> 00:01:06.000]  他要使父親的心轉向兒女
[00:01:06.000 --> 00:01:08.000]  兒女的心轉向父親
[00:01:08.000 --> 00:01:10.000]  Amen
[00:01:10.000 --> 00:01:12.000]  那麼這段聖經講完之後
[00:01:12.000 --> 00:01:14.000]  我們剛才讀的那段聖經裡面
[00:01:14.000 --> 00:01:16.000]  他這裡提到說
[00:01:16.000 --> 00:01:20.000]  他要使 這個他是指誰呢
[00:01:20.000 --> 00:01:25.000]  他說我必差遣先知以利亞
[00:01:25.000 --> 00:01:31.000]  所以這個他就是指的以利亞
[00:01:31.000 --> 00:01:33.000]  所以你知道
[00:01:33.000 --> 00:01:35.000]  這個剛好跟我們讀啟示錄有對照
[00:01:35.000 --> 00:01:39.000]  記得啟示錄不是有兩個傳道人嗎
[00:01:39.000 --> 00:01:41.000]  是不是
[00:01:41.000 --> 00:01:43.000]  所以有的人就說
[00:01:43.000 --> 00:01:48.000]  一個是以利亞 一個是摩西
[00:01:48.000 --> 00:01:51.000]  就是根據這樣來的
[00:01:51.000 --> 00:01:56.000]  但是其實你讀到剛才路加福音那邊來的
[00:01:56.000 --> 00:01:59.000]  路加福音第一章13到17節
[00:01:59.000 --> 00:02:01.000]  這個地方是預言什麼呢
[00:02:01.000 --> 00:02:03.000]  預言施洗約翰的降生
[00:02:03.000 --> 00:02:05.000]  所以他跟他的爸爸講
[00:02:05.000 --> 00:02:06.000]  撒加利亞不要害怕
[00:02:06.000 --> 00:02:08.000]  因為你的祈禱已經被聽見了
[00:02:08.000 --> 00:02:09.000]  是不是
[00:02:09.000 --> 00:02:12.000]  好了 他的名字要名叫約翰
[00:02:12.000 --> 00:02:13.000]  然後接著就說
[00:02:13.000 --> 00:02:15.000]  他要使許多以色列人迴轉
[00:02:15.000 --> 00:02:17.000]  歸於主他們的神
[00:02:17.000 --> 00:02:20.000]  他必有以利亞的心智能力
[00:02:20.000 --> 00:02:23.000]  所以把舊約新約對照起來
[00:02:23.000 --> 00:02:26.000]  就看見說舊約瑪拉基
[00:02:26.000 --> 00:02:28.000]  先知所預言的
[00:02:28.000 --> 00:02:31.000]  那個將要來的那個以利亞是誰呢
[00:02:31.000 --> 00:02:33.000]  就是指的施洗約翰
[00:02:33.000 --> 00:02:35.000]  而他要做什麼事情呢
[00:02:35.000 --> 00:02:37.000]  他說其中一件他要做的
[00:02:37.000 --> 00:02:39.000]  就是使為父的心歸向兒女
[00:02:39.000 --> 00:02:41.000]  兒女的心歸向怎麼樣
[00:02:41.000 --> 00:02:42.000]  父親
[00:02:42.000 --> 00:02:44.000]  所以你看到沒有
[00:02:44.000 --> 00:02:48.000]  在17節在這個地方又再一次講
[00:02:48.000 --> 00:02:50.000]  他說他要行在主的面前
[00:02:50.000 --> 00:02:55.000]  叫為父的心轉向兒女
[00:02:55.000 --> 00:02:59.000]  好 當然這個他不是只有講這件事情
[00:02:59.000 --> 00:03:02.000]  但是這件事情是其中裡面的一個重點
[00:03:02.000 --> 00:03:03.000]  兩處身心都提到
[00:03:03.000 --> 00:03:06.000]  我今天就要從這裡來看到
[00:03:06.000 --> 00:03:09.000]  父親的心
[00:03:09.000 --> 00:03:14.000]  每一個人都有父親 是吧
