
[00:00:00.000 --> 00:00:04.160]  好 今天給大家分享的題目是《誠心所愛》
[00:00:04.160 --> 00:00:07.360]  經文記載在約翰二書的一章
[00:00:07.360 --> 00:00:11.400]  約翰二書就比較短 只有一章的經文
[00:00:11.400 --> 00:00:15.300]  我們其實是繼續約翰書信的系列
[00:00:15.300 --> 00:00:17.660]  我們之前已經講完了約翰一書
[00:00:17.660 --> 00:00:20.360]  所以今天我們繼續約翰二書
[00:00:20.360 --> 00:00:24.800]  很快我們會把約翰三書都會講完
[00:00:24.800 --> 00:00:28.100]  我們也希望透過約翰的這幾封書信
[00:00:28.100 --> 00:00:32.400]  能夠更加明白耶穌基督的愛和祂的真理
[00:00:32.400 --> 00:00:34.700]  特別是在約翰書信裏面
[00:00:34.700 --> 00:00:38.300]  祂所提到的這兩個重點 愛和真理
[00:00:38.300 --> 00:00:40.400]  特別在今天的經文裏面
[00:00:40.400 --> 00:00:45.500]  約翰也會再強調這兩個重點
[00:00:45.500 --> 00:00:47.200]  就是愛和真理
[00:00:47.200 --> 00:00:50.800]  我們先來讀一下今天的經文
[00:00:50.800 --> 00:00:53.100]  大家可以看這個屏幕
[00:00:53.100 --> 00:00:54.100]  如果你看不清楚
[00:00:54.100 --> 00:00:59.400]  那你可以看你的手機裏面的這個經文
[00:00:59.400 --> 00:01:00.500]  好 看到的話
[00:01:00.500 --> 00:01:02.900]  我們先一起來誦讀這段的經文
[00:01:02.900 --> 00:01:04.400]  一二起
[00:01:04.400 --> 00:01:10.400]  做長老的寫信給某簡選的太太和她的兒女
[00:01:10.400 --> 00:01:13.100]  就是我誠心所愛的
[00:01:13.100 --> 00:01:14.400]  不但我愛
[00:01:14.400 --> 00:01:18.900]  也是一切知道真理之人所愛的
[00:01:18.900 --> 00:01:22.100]  愛你們是爲真理的緣故
[00:01:22.100 --> 00:01:24.900]  這真理存在我們裏面
[00:01:24.900 --> 00:01:28.100]  也必永遠與我們同在
[00:01:28.100 --> 00:01:30.700]  恩惠 憐憫 平安
[00:01:30.700 --> 00:01:34.300]  從父神和祂兒子耶穌基督
[00:01:34.300 --> 00:01:36.700]  在真理和愛心上
[00:01:36.700 --> 00:01:39.700]  必常與我們同在
[00:01:39.700 --> 00:01:42.000]  我見你的兒女
[00:01:42.000 --> 00:01:45.400]  有照我們從父所授之命令
[00:01:45.400 --> 00:01:49.000]  遵行真理的就剩歡喜
[00:01:49.000 --> 00:01:51.900]  太太 我現在勸你
[00:01:51.900 --> 00:01:54.800]  我們大家要彼此相愛
[00:01:54.800 --> 00:01:59.100]  這並不是我寫一條新命令給你
[00:01:59.100 --> 00:02:03.300]  乃是我們從起初所授的命令
[00:02:03.300 --> 00:02:06.200]  我們若照祂的命令行
[00:02:06.200 --> 00:02:07.900]  這就是愛
[00:02:07.900 --> 00:02:11.800]  你們從起初所聽見當行的
[00:02:11.800 --> 00:02:14.300]  就是這命令
[00:02:14.300 --> 00:02:19.000]  因爲世上有許多迷惑人的出來
[00:02:19.000 --> 00:02:23.800]  他們不認耶穌基督是成了又生來的
[00:02:23.800 --> 00:02:27.700]  這就是那迷惑人 敵基督的
[00:02:27.700 --> 00:02:29.400]  你們要小心
[00:02:29.400 --> 00:02:32.500]  不要失去你們所做的功
[00:02:32.500 --> 00:02:35.800]  乃要得到滿足的賞識
[00:02:35.800 --> 00:02:40.000]  凡越過基督的教訓不常守着的
[00:02:40.000 --> 00:02:41.800]  就沒有神
[00:02:41.800 --> 00:02:46.700]  常守着教訓的就有父又有子
[00:02:46.700 --> 00:02:49.400]  若有人在你們那裏
[00:02:49.400 --> 00:02:51.500]  不是傳着教訓
[00:02:51.500 --> 00:02:53.800]  不要接他到家裏
[00:02:53.800 --> 00:02:56.300]  也不要問他的安
[00:02:56.300 --> 00:02:58.600]  因爲問他安的
[00:02:58.600 --> 00:03:01.900]  就在他的惡行上有份
[00:03:01.900 --> 00:03:07.000]  我還有許多事要寫給你們
[00:03:07.000 --> 00:03:10.400]  卻不願意用子墨寫出來
[00:03:10.400 --> 00:03:13.100]  但盼望到你們那裏
[00:03:13.100 --> 00:03:15.500]  與你們當面談論
[00:03:15.500 --> 00:03:18.900]  使你們的喜樂可以滿足
[00:03:18.900 --> 00:03:26.200]  你們全選子妹的兒女都問李安
[00:03:26.200 --> 00:03:29.300]  好 經文就先讀到這裏
[00:03:29.300 --> 00:03:32.300]  我們知道約翰一書和二書
[00:03:32.300 --> 00:03:35.700]  其實都是寫在差不多的一個時間裏面
[00:03:35.700 --> 00:03:37.700]  而且是在同一個地點
[00:03:37.700 --> 00:03:40.000]  有聖經的學者研究說
[00:03:40.000 --> 00:03:44.100]  大概都是在以符所這個地方所寫成的
[00:03:44.100 --> 00:03:45.700]  所以一書跟二書之間
[00:03:45.700 --> 00:03:48.000]  它有非常密切的關係
[00:03:48.000 --> 00:03:50.100]  我們知道在約翰一書的時候
[00:03:50.100 --> 00:03:53.400]  約翰提到在教會里面出現了一個情況
[00:03:53.400 --> 00:03:56.100]  就是有異端來攪咬他們
[00:03:56.100 --> 00:03:58.700]  那當中也造成一些的分裂
[00:03:58.700 --> 00:04:00.100]  有一些的弟兄姊妹
[00:04:00.100 --> 00:04:01.900]  本來是屬於他們當中的
[00:04:01.900 --> 00:04:05.200]  但是就跟隨異端就離開了
[00:04:05.200 --> 00:04:07.100]  造成了教會的一些的分裂
[00:04:07.100 --> 00:04:11.200]  也給弟兄姊妹帶來一些的影響
[00:04:11.200 --> 00:04:14.900]  所以他在寫約翰一書的時候特別提到
[00:04:14.900 --> 00:04:17.500]  要去分辨這些的異端
[00:04:17.500 --> 00:04:23.100]  然後也要具體有愛的行爲
[00:04:23.100 --> 00:04:25.500]  特別在分辨異端的時候
[00:04:25.500 --> 00:04:28.100]  他也提到有一些的標準
[00:04:28.100 --> 00:04:31.900]  就是看他有沒有真正的來行上帝的真理
[00:04:31.900 --> 00:04:34.500]  有沒有真正的愛的表現
[00:04:34.500 --> 00:04:39.600]  然後在這裏約翰二書持續他的話題
[00:04:39.600 --> 00:04:41.500]  在今天要講的經文裏面
[00:04:41.500 --> 00:04:44.100]  特別強調兩個的重點
[00:04:44.100 --> 00:04:46.900]  一個的重點就是真理
[00:04:46.900 --> 00:04:49.800]  另外一個的重點就是愛
[00:04:49.800 --> 00:04:52.100]  所以今天我們會特別來探討
[00:04:52.100 --> 00:04:56.200]  這兩個的重點就是真理和愛
[00:04:56.200 --> 00:04:59.600]  或許這兩個的詞對我們來講都不陌生
[00:04:59.600 --> 00:05:02.400]  因爲我們常常都會在我們的交談
[00:05:02.400 --> 00:05:03.800]  或者是在我們生活裏面
[00:05:03.800 --> 00:05:06.600]  我們都會涉及到這兩方面的內容
[00:05:06.600 --> 00:05:07.800]  我們會講真理
[00:05:07.800 --> 00:05:10.400]  當然愛我們就常常講
[00:05:10.400 --> 00:05:16.500]  而且很多時候我們大概會比較濫用了愛這個字眼
[00:05:16.500 --> 00:05:18.300]  在今天我們特別要探討
[00:05:18.300 --> 00:05:21.300]  這兩者之間究竟有什麼樣的關係
[00:05:21.300 --> 00:05:28.400]  我們也看看約翰他是怎樣來談這兩者之間的關係的
[00:05:28.400 --> 00:05:32.800]  當然在這裏約翰講真理跟愛的時候
[00:05:32.800 --> 00:05:35.000]  他當然是有一些的背景
[00:05:35.000 --> 00:05:39.600]  當時的一些觸景就是剛纔所講的異端的攪搖
[00:05:39.600 --> 00:05:40.900]  仍然還在
[00:05:40.900 --> 00:05:45.300]  在教會內部有一些的異端假教師
[00:05:45.300 --> 00:05:48.900]  他們宣揚一些假的教訓
[00:05:48.900 --> 00:05:52.600]  或者是跟聖經是違背的一些教訓
[00:05:52.600 --> 00:05:56.900]  以致於當時很多的信徒受到迷惑
[00:05:56.900 --> 00:06:00.000]  特別是有關耶穌基督道成又生的真理
[00:06:00.000 --> 00:06:03.700]  在這點上面不少的人他們產生了疑惑
[00:06:03.700 --> 00:06:07.400]  所以約翰一定要透過這封書信
[00:06:07.400 --> 00:06:09.100]  再次地提醒他們
[00:06:09.100 --> 00:06:11.900]  讓他們曉得怎樣去分辨
[00:06:11.900 --> 00:06:17.200]  也讓他們真正地可以實踐耶穌基督的教導
[00:06:17.200 --> 00:06:20.500]  好我們先來看第一部分
[00:06:20.500 --> 00:06:23.600]  就是從第一節到第三節
[00:06:23.600 --> 00:06:26.500]  這部分其實它是一個問安
[00:06:26.500 --> 00:06:28.900]  我們通常都會看到
[00:06:28.900 --> 00:06:33.900]  在書信一開頭使徒都會有問安的語句
[00:06:33.900 --> 00:06:35.100]  它就是問候
[00:06:35.100 --> 00:06:39.200]  這個問候也是跟其他的使徒所寫的問候
[00:06:39.200 --> 00:06:40.700]  也有很多類似的地方
[00:06:40.700 --> 00:06:42.900]  但是也有一些的區別
[00:06:42.900 --> 00:06:43.900]  有什麼區別呢
[00:06:43.900 --> 00:06:48.600]  待會繼續會在下面會詳細地跟大家去講
[00:06:48.600 --> 00:06:50.600]  我們先來看
[00:06:50.600 --> 00:06:54.700]  他的一個問候究竟包含哪些內容
[00:06:54.700 --> 00:06:56.200]  首先他有一個自稱
[00:06:56.200 --> 00:06:58.800]  他說做長老的
[00:06:58.800 --> 00:07:01.800]  這個是他自己對自己的一個稱呼
[00:07:01.800 --> 00:07:04.100]  那做長老是什麼意思呢
[00:07:04.100 --> 00:07:08.000]  我們教會好像沒有長老這個稱謂
[00:07:08.000 --> 00:07:10.800]  我們有直士有傳道有牧師
[00:07:10.800 --> 00:07:14.700]  長老其實就是在教會里面
[00:07:14.700 --> 00:07:18.000]  大概是比較有資歷的那些人
[00:07:18.000 --> 00:07:19.500]  我們可以理解成
[00:07:19.500 --> 00:07:21.300]  他是比較有資歷的
[00:07:21.300 --> 00:07:23.400]  是一個資深的信徒
[00:07:23.400 --> 00:07:27.600]  然後大概他也是上了年紀的
[00:07:27.600 --> 00:07:30.200]  他有一定的地位在教會里面
[00:07:30.200 --> 00:07:34.800]  甚至他是做監督或者是做直士的
[00:07:34.800 --> 00:07:38.000]  他有一些的行政的管理
[00:07:38.000 --> 00:07:41.000]  或者是有牧養方面的職責
[00:07:41.000 --> 00:07:42.900]  那對於約翰來講
[00:07:42.900 --> 00:07:45.600]  他自稱是一個長老
[00:07:45.600 --> 00:07:47.800]  那就是他在教會里面
[00:07:47.800 --> 00:07:49.600]  他有一定的身份和地位
[00:07:49.600 --> 00:07:55.300]  而且很可能那個教會是他所建立的
[00:07:55.300 --> 00:07:59.100]  當地的人或者是當地的信徒
[00:07:59.100 --> 00:08:02.000]  對他是非常的尊敬
[00:08:02.000 --> 00:08:04.200]  那他寫信給誰呢
