
[00:00:00.000 --> 00:00:04.000]  那麼今天我們要講一個的題目是一個蠻大的一個題目
[00:00:04.000 --> 00:00:06.000]  松懷普世
[00:00:06.000 --> 00:00:11.000]  哇這個一聽起來的時候好像是不給我聽的了對不對
[00:00:11.000 --> 00:00:14.000]  因為這個是一個很偉大的志向
[00:00:14.000 --> 00:00:17.000]  當然松懷普世到底要講什麼東西呢
[00:00:17.000 --> 00:00:20.000]  每個人可能的想法也不一樣
[00:00:20.000 --> 00:00:23.000]  但是松懷普世這個不簡單
[00:00:23.000 --> 00:00:28.000]  我相信並不是很多人會有這樣的志向對不對
[00:00:28.000 --> 00:00:31.000]  就是我們當學生讀書裝備自己
[00:00:31.000 --> 00:00:33.000]  希望能找到一個好的工作
[00:00:33.000 --> 00:00:36.000]  但是松懷普世什麼普世呢
[00:00:36.000 --> 00:00:40.000]  我相信這個不是單單我們心裡面的一個疑惑
[00:00:40.000 --> 00:00:42.000]  為什麼牧師要講這個題目
[00:00:42.000 --> 00:00:44.000]  當然是講教會
[00:00:44.000 --> 00:00:49.000]  但是就是耶穌基督自己親自去揀選的那些門徒
[00:00:49.000 --> 00:00:52.000]  我們稱為仕徒有12個對不對
[00:00:52.000 --> 00:00:55.000]  他們也沒有這個信訟
[00:00:55.000 --> 00:01:00.000]  當他們跟那個俘獲的耶穌基督一塊生活了40天
[00:01:00.000 --> 00:01:03.000]  我們相信耶穌從死裡面復活
[00:01:03.000 --> 00:01:06.000]  有40天的時間跟他的門徒在一塊
[00:01:06.000 --> 00:01:09.000]  那麼這40天裡面他們看到一個俘獲的主
[00:01:09.000 --> 00:01:11.000]  當然心裡面很興奮
[00:01:11.000 --> 00:01:13.000]  那麼聖經告訴我們說
[00:01:13.000 --> 00:01:17.000]  當他們最後有一起聚集在一塊的時候
[00:01:17.000 --> 00:01:20.000]  這些門徒心裡面有一個很大的問題
[00:01:20.000 --> 00:01:22.000]  又問又問又問耶穌
[00:01:22.000 --> 00:01:24.000]  問他什麼東西呢
[00:01:24.000 --> 00:01:27.000]  洗徒行傳第一章第六節那裡說
[00:01:27.000 --> 00:01:34.000]  主啊你是不是要在這個時候恢復以色列國的主權呢
[00:01:34.000 --> 00:01:36.000]  第七節耶穌對他們說
[00:01:36.000 --> 00:01:41.000]  那個時間和日期是我父親憑著自己的權柄定下的
[00:01:41.000 --> 00:01:43.000]  不是你們應該知道的
[00:01:43.000 --> 00:01:45.000]  第八節
[00:01:45.000 --> 00:01:48.000]  但聖靈降臨在你們身上
[00:01:48.000 --> 00:01:50.000]  你們就逼得著能力
[00:01:50.000 --> 00:01:55.000]  並由著耶路撒冷、猶太權力和撒瑪利亞集到地極
[00:01:55.000 --> 00:01:58.000]  做我的見證
[00:01:58.000 --> 00:02:01.000]  我們看到當時那些仕徒
[00:02:01.000 --> 00:02:04.000]  他們看見耶穌已經從系列復活了
[00:02:04.000 --> 00:02:06.000]  這些人也不簡單
[00:02:06.000 --> 00:02:09.000]  他們心裡面有一個很偉大的理想
[00:02:09.000 --> 00:02:15.000]  就是能夠跟耶穌一塊光復已經滅亡的以色列國
