
[00:00:00.000 --> 00:00:01.720]  頂子每主禮平安
[00:00:01.720 --> 00:00:04.840]  很久沒見 跟大家一起分享神的話語
[00:00:04.840 --> 00:00:06.360]  開始之前有個祈禱
[00:00:06.360 --> 00:00:08.560]  親愛的阿爸 天父 親愛的主耶穌
[00:00:08.560 --> 00:00:09.800]  我們感恩讚美您
[00:00:09.800 --> 00:00:12.440]  我們在聖經能夠透過您的話語
[00:00:12.440 --> 00:00:14.480]  我們能夠知道天父的心意
[00:00:14.480 --> 00:00:16.160]  實際上是莫大恩典
[00:00:16.160 --> 00:00:18.520]  但是主啊 我們往往看聖經的時候
[00:00:18.520 --> 00:00:21.320]  我們的心無真係好好去留意
[00:00:21.320 --> 00:00:23.640]  我們的眼無無去觀察
[00:00:23.640 --> 00:00:25.600]  我們的耳無好去聽
[00:00:25.600 --> 00:00:28.120]  求主您憐憫我們 原諒我們
[00:00:28.120 --> 00:00:30.040]  我們將以下四眼全面擺上
[00:00:30.040 --> 00:00:32.080]  求聖靈與我們每一位同在
[00:00:32.080 --> 00:00:34.360]  與我們每一位說話提醒我們
[00:00:34.360 --> 00:00:36.040]  因為我們很需要您的提醒
[00:00:36.040 --> 00:00:37.680]  祈禱加上鳳子的名義靠
[00:00:37.680 --> 00:00:39.200]  阿們
[00:00:39.200 --> 00:00:41.400]  三年是疫症
[00:00:41.400 --> 00:00:43.600]  所以很多人都不能去旅行
[00:00:43.600 --> 00:00:45.000]  尤其是出外
[00:00:45.000 --> 00:00:46.760]  回港探親或者去旅行
[00:00:46.760 --> 00:00:51.320]  所以出入境一開放之後
[00:00:51.320 --> 00:00:52.880]  每個人都紛紛去旅行
[00:00:52.880 --> 00:00:55.920]  我和我太太之前和我兩個女兒
[00:00:55.920 --> 00:00:57.360]  都剛剛去完旅行
[00:00:57.360 --> 00:00:58.920]  去完兩個不同的地方
[00:00:58.920 --> 00:00:59.960]  非常之累
[00:00:59.960 --> 00:01:01.320]  回到家
[00:01:01.320 --> 00:01:03.280]  你一件事想做什麼?
[00:01:03.280 --> 00:01:05.280]  可能有些人
[00:01:05.280 --> 00:01:06.240]  我想說姐妹
[00:01:06.240 --> 00:01:08.240]  但是我們不應該分姐妹和弟兄
[00:01:08.240 --> 00:01:10.600]  回到家可能會立即收拾房子
[00:01:10.600 --> 00:01:12.360]  立即買菜
[00:01:12.360 --> 00:01:13.760]  我自己想做什麼呢?
[00:01:13.760 --> 00:01:15.480]  立即喝湯
[00:01:15.480 --> 00:01:17.640]  我不知道有多少人喜歡喝湯
[00:01:17.640 --> 00:01:19.560]  我從小到大都很喜歡喝湯
[00:01:19.560 --> 00:01:20.360]  因為我喜歡喝湯
[00:01:20.360 --> 00:01:21.840]  所以我兩個女兒喜歡喝湯
[00:01:21.840 --> 00:01:23.040]  因為我兩個女兒喜歡喝湯
[00:01:23.040 --> 00:01:24.680]  所以媽媽媽媽和我太太喜歡喝湯
[00:01:24.680 --> 00:01:26.200]  因為全家人都喜歡喝湯
[00:01:26.200 --> 00:01:28.320]  我們喜歡喝湯是比較快喝的
[00:01:28.320 --> 00:01:30.520]  我很喜歡喝很熱的湯
[00:01:30.520 --> 00:01:32.360]  很熱很熱很正
[00:01:32.360 --> 00:01:33.200]  很快就喝完了
[00:01:33.200 --> 00:01:34.560]  我又跟兩個女兒說
[00:01:34.560 --> 00:01:36.400]  快點喝湯,冷了快點喝湯
[00:01:36.400 --> 00:01:38.160]  她說這麼熱怎麼喝呢?
[00:01:38.160 --> 00:01:40.120]  我喝完整碗很大碗
[00:01:40.120 --> 00:01:41.800]  她只喝了一口
[00:01:41.800 --> 00:01:42.880]  然後我太太就說
[00:01:42.880 --> 00:01:45.680]  你小心,不要喝得這麼急這麼快
[00:01:45.680 --> 00:01:46.800]  但是在我心目中
[00:01:46.800 --> 00:01:48.120]  湯是要熱熱的喝才行
[00:01:48.120 --> 00:01:49.320]  很舒服的,真的很正
[00:01:49.320 --> 00:01:51.560]  還有豬骨
[00:01:51.560 --> 00:01:52.880]  每個人家庭的傳統不同
[00:01:52.880 --> 00:01:53.960]  為什麼我喜歡喝湯呢?
[00:01:53.960 --> 00:01:54.480]  很簡單
[00:01:54.480 --> 00:01:56.480]  我猜我從小到大
[00:01:56.480 --> 00:01:58.440]  媽媽煲很多好湯給我喝
[00:01:58.440 --> 00:02:00.000]  今天有青紅蘿蔔
[00:02:00.000 --> 00:02:01.480]  後天有西洋菜
[00:02:01.480 --> 00:02:03.000]  各樣的湯
[00:02:03.000 --> 00:02:05.280]  生幾子池吃的那些
[00:02:05.280 --> 00:02:06.480]  很開心的
[00:02:06.480 --> 00:02:08.720]  很興奮、很暖和、很暖窩窩
[00:02:08.720 --> 00:02:11.320]  煲湯、喝湯
[00:02:11.320 --> 00:02:13.360]  是一個暖窩窩的感覺
[00:02:13.360 --> 00:02:15.000]  是一個家的感覺
[00:02:15.000 --> 00:02:16.720]  旅行回到家
[00:02:16.720 --> 00:02:18.200]  暖窩窩的感覺
[00:02:18.200 --> 00:02:22.360]  但是原來這種家庭的傳統
[00:02:22.360 --> 00:02:23.920]  每個人都不同
[00:02:23.920 --> 00:02:25.640]  有些家人是不吃蔬菜的
[00:02:25.640 --> 00:02:26.720]  有些人不做炸的東西
[00:02:26.720 --> 00:02:28.120]  我家裡就很少做炸的東西
[00:02:28.120 --> 00:02:30.080]  結了婚的家庭
[00:02:30.080 --> 00:02:33.840]  因為GinGin不喜歡整個廚房都是油煙
[00:02:33.840 --> 00:02:34.880]  所以我們少吃炸的東西
