
[00:00:00.000 --> 00:00:03.460]  大家知道11月份是我們今年的宣教月
[00:00:03.460 --> 00:00:07.080]  今天講宣教信息是最後一個信息
[00:00:07.080 --> 00:00:11.280]  其實今天這個故事對基督徒來說很多人很熟悉
[00:00:11.280 --> 00:00:14.320]  但有很多人如果你不是經常來教會的話
[00:00:14.320 --> 00:00:16.580]  可能你就有些蒙叉叉
[00:00:16.580 --> 00:00:19.200]  譬如說尼里尼聖
[00:00:19.200 --> 00:00:22.100]  這個地方到底在哪裏?是什麼來的呢?
[00:00:22.100 --> 00:00:24.100]  如果你不是經常來教會的話
[00:00:24.100 --> 00:00:25.780]  你就會頭疼
[00:00:25.780 --> 00:00:28.720]  不過就算你不來教會也好
[00:00:28.720 --> 00:00:32.020]  我相信你也會聽過聖經裏面有一個人
[00:00:32.020 --> 00:00:34.740]  因爲想逃避上帝的緣故
[00:00:34.740 --> 00:00:36.540]  後來被人扔到海里
[00:00:36.540 --> 00:00:37.860]  然後有一條大魚
[00:00:37.860 --> 00:00:39.420]  我估計是鯨魚
[00:00:39.420 --> 00:00:40.780]  把他吞了進肚子裏
[00:00:40.780 --> 00:00:42.140]  在鯨魚裏面
[00:00:42.140 --> 00:00:43.240]  死不了
[00:00:43.240 --> 00:00:44.500]  三天裏面討告
[00:00:44.500 --> 00:00:48.080]  然後鯨魚把他吐回到岸上
[00:00:48.080 --> 00:00:53.400]  這個故事我相信非基督徒也聽過
[00:00:53.400 --> 00:00:58.520]  這個人的名字叫做約拿
[00:00:58.520 --> 00:01:00.640]  他是上帝的先知
[00:01:00.640 --> 00:01:06.480]  尼里尼聖原來是當日亞述國的首都
[00:01:06.480 --> 00:01:11.520]  上帝吩咐約拿去尼里尼聖傳講一個信息
[00:01:11.520 --> 00:01:13.180]  但是約拿很不喜歡
[00:01:13.180 --> 00:01:14.420]  很不想
[00:01:14.420 --> 00:01:18.060]  所以就逃走
[00:01:18.060 --> 00:01:21.200]  就是這麼簡單的一件事
[00:01:21.200 --> 00:01:24.240]  不過我相信我們每一個人
[00:01:24.240 --> 00:01:26.540]  多多少少
[00:01:26.540 --> 00:01:31.180]  在我們人生裏面都會有約拿類似的經驗
[00:01:31.180 --> 00:01:33.440]  多多少少有時候有些事情
[00:01:33.440 --> 00:01:34.980]  我們想逃避
[00:01:34.980 --> 00:01:36.580]  我們不想看到結果
[00:01:36.580 --> 00:01:39.300]  於是我們甚至會逃走
[00:01:39.300 --> 00:01:43.200]  譬如說大家不想家族屋毀
[00:01:43.200 --> 00:01:44.560]  那你怎麼辦呢
[00:01:44.560 --> 00:01:46.640]  那就算了
[00:01:46.640 --> 00:01:51.080]  不想和你的丈夫和妻子分享你的不滿
[00:01:51.080 --> 00:01:52.600]  因爲你知道講了的時候
[00:01:52.600 --> 00:01:57.140]  結果大家是很不和氣地收場的
[00:01:57.140 --> 00:01:58.760]  不如就不說那個了
[00:01:58.760 --> 00:02:00.540]  這個就是逃避
[00:02:00.540 --> 00:02:03.980]  或者你覺得你的上司時時無理取鬧
[00:02:03.980 --> 00:02:05.640]  所以見他願意行禮的時候
[00:02:05.640 --> 00:02:07.160]  你就起身去廁所
[00:02:07.160 --> 00:02:08.440]  或者去洗手間
[00:02:08.440 --> 00:02:10.540]  或者去茶水部
[00:02:10.540 --> 00:02:12.760]  因爲你費事去買禮物的時候
[00:02:12.760 --> 00:02:14.740]  他就會煩你
