
[00:00:00.000 --> 00:00:03.000]  大英子會平安、感謝、感恩
[00:00:03.000 --> 00:00:04.500]  有機會和大家一起
[00:00:04.500 --> 00:00:06.500]  當中一起敬拜
[00:00:06.500 --> 00:00:08.500]  在講到這之前
[00:00:08.500 --> 00:00:10.000]  我邀請大家一起
[00:00:10.000 --> 00:00:13.000]  由禱告讓我們同心禱告
[00:00:13.000 --> 00:00:17.000]  天主上對你自己的話語滿有能力
[00:00:17.000 --> 00:00:19.500]  願祢祝福幫助
[00:00:19.500 --> 00:00:21.500]  讓我們無論講的聽的
[00:00:21.500 --> 00:00:23.500]  同樣給你自己的話語
[00:00:23.500 --> 00:00:26.500]  得著提醒、激勵和助走
[00:00:26.500 --> 00:00:27.500]  隨聽我們的禱告
[00:00:27.500 --> 00:00:29.500]  奉耶穌基督名求
[00:00:29.500 --> 00:00:31.000]  阿門
[00:00:31.000 --> 00:00:33.500]  剛剛主席幫我們讀了
[00:00:33.500 --> 00:00:35.000]  介紹了今天講到的經文
[00:00:35.000 --> 00:00:38.000]  是《路加福音》六章十二至十六節
[00:00:38.000 --> 00:00:39.500]  緊接著上星期
[00:00:39.500 --> 00:00:42.000]  明期傳道和我們宣講的部分
[00:00:42.000 --> 00:00:46.000]  當我們細細仔細地看
[00:00:46.000 --> 00:00:48.000]  主耶穌在加利利傳道的日子
[00:00:48.000 --> 00:00:52.000]  也是《路加福音》記載四章至六章當中
[00:00:52.000 --> 00:00:53.500]  我們看到主耶穌
[00:00:53.500 --> 00:00:57.000]  祂一方面在法利賽和民事當中
[00:00:57.000 --> 00:00:59.000]  有很多的衝突
[00:00:59.000 --> 00:01:02.000]  一直承受著
[00:01:02.000 --> 00:01:07.000]  當時猶太的宗教領袖的挑戰和反對的聲音
[00:01:07.000 --> 00:01:08.000]  另一方面
[00:01:08.000 --> 00:01:13.000]  因為祂的呼召、祂的教導和祂行的神蹟騎士
[00:01:13.000 --> 00:01:17.000]  主耶穌的知名度也不斷地被提升
[00:01:17.000 --> 00:01:19.000]  而正正就是這一種
[00:01:19.000 --> 00:01:24.000]  一方面受到強烈的反對和衝擊
[00:01:24.000 --> 00:01:28.000]  另一方面又被尋找親近的張力之下
[00:01:28.000 --> 00:01:33.000]  耶穌祂在這個時刻選召了十二使徒
[00:01:33.000 --> 00:01:38.000]  為什麼要在當中挑選十二使徒呢?
