
[00:00:00.000 --> 00:00:05.620]  我們做基督徒都知道禱告是非常非常之重要
[00:00:05.620 --> 00:00:09.300]  但是很可惜我相信很多人都會承認
[00:00:09.300 --> 00:00:14.340]  就是我們做基督徒很多時候我們的禱告是缺乏力量
[00:00:14.340 --> 00:00:18.300]  甚至很多時候我們都是缺乏禱告
[00:00:18.300 --> 00:00:22.940]  相對來說我們見到耶穌基督的禱告是很有力量
[00:00:22.940 --> 00:00:26.580]  耶穌基督亦都是凡事禱告
[00:00:26.580 --> 00:00:30.160]  在路加福音五章十六節告訴我們
[00:00:30.160 --> 00:00:37.140]  耶穌基督很多時候是會推到曠野來獨自禱告
[00:00:37.140 --> 00:00:41.680]  在馬赫福音一章三十五節亦都告訴我們
[00:00:41.680 --> 00:00:45.060]  耶穌基督很多時候是一早天未亮
[00:00:45.060 --> 00:00:50.100]  祂就會去到曠野來禱告
[00:00:50.100 --> 00:00:53.460]  當祂受洗的時候祂禱告
[00:00:53.460 --> 00:00:58.960]  當祂是揀選門徒之前的那一天
[00:00:58.960 --> 00:01:02.480]  祂亦都是整夜來禱告
[00:01:02.480 --> 00:01:06.540]  在約翰福音十七章我們見到
[00:01:06.540 --> 00:01:09.600]  是耶穌基督為門徒來禱告
[00:01:09.600 --> 00:01:11.940]  在赫西瑪利園我們見到
[00:01:11.940 --> 00:01:18.740]  耶穌基督禱告甚至是祂的汗好像血一樣滴在地上
[00:01:18.740 --> 00:01:27.100]  最後他說 父啊 讓你的旨意成就不要照我的旨意來行
[00:01:27.100 --> 00:01:29.620]  甚至去到十架的上高
[00:01:29.620 --> 00:01:33.820]  耶穌基督仍然不住禱告
[00:01:33.820 --> 00:01:38.020]  有一個人他要去一個地方開會
[00:01:38.020 --> 00:01:40.640]  他開著車去到停車場
[00:01:40.640 --> 00:01:43.540]  繞了很久都找不到位置停
[00:01:43.540 --> 00:01:46.720]  於是他就把車停在紅界
[00:01:46.720 --> 00:01:50.640]  然後他就留下了一張字條在他的玻璃窗
[00:01:50.640 --> 00:01:52.220]  他就走了
[00:01:52.220 --> 00:01:54.040]  那張字條說甚麼呢
[00:01:54.040 --> 00:01:55.420]  那張字條說
[00:01:55.420 --> 00:01:59.500]  我在停車場已經轉了十多次
[00:01:59.500 --> 00:02:01.660]  我都找不到有停車位
[00:02:01.660 --> 00:02:06.240]  如果我再不停在紅界我就會遲到
[00:02:06.240 --> 00:02:08.800]  接著他說 神啊
[00:02:08.800 --> 00:02:14.320]  求祢 請祢救我脫離兇惡
[00:02:14.320 --> 00:02:18.340]  他是用主禱文 希望那個警察
[00:02:18.340 --> 00:02:22.820]  可能是基督徒有一念的仁慈
