
[00:00:00.000 --> 00:00:04.720]  今天是我們講到生之謎的最後一講
[00:00:04.720 --> 00:00:07.120]  我們用五堂的時間去講到
[00:00:07.120 --> 00:00:09.360]  人生當中在我們的信仰裏面
[00:00:09.360 --> 00:00:11.600]  特別是有很多的謎團
[00:00:11.600 --> 00:00:14.160]  今天我們講到最後一講
[00:00:14.160 --> 00:00:17.400]  就是講到人皆有信仰
[00:00:17.400 --> 00:00:21.240]  我相信只要你是一個合理的人
[00:00:21.240 --> 00:00:23.360]  你都不會反對這句說話的
[00:00:23.360 --> 00:00:25.280]  因為每個人都有信仰的
[00:00:25.280 --> 00:00:27.960]  無論你所相信的是自己也好
[00:00:27.960 --> 00:00:29.960]  你所相信的是其他人
[00:00:29.960 --> 00:00:32.520]  或者你是相信某一個宗教信仰
[00:00:32.520 --> 00:00:35.240]  每個人都有一些信念
[00:00:35.240 --> 00:00:38.680]  才可以繼續在這個世界裏面生存的
[00:00:38.680 --> 00:00:41.000]  不過在這個時間我想告訴你
[00:00:41.000 --> 00:00:44.920]  原來基督教已經成為人類歷史裏面
[00:00:44.920 --> 00:00:48.040]  最多人相信的一個宗教信仰
[00:00:48.040 --> 00:00:51.320]  根據World Christian Encyclopedia
[00:00:51.320 --> 00:00:53.400]  這個是2001年的出版
[00:00:53.400 --> 00:00:56.240]  在那個時間它的統計數字告訴我們
[00:00:56.240 --> 00:00:59.720]  原來全世界已經有三分二的人口
[00:00:59.720 --> 00:01:03.080]  分散在全世界160個國家
[00:01:03.080 --> 00:01:04.480]  說自己是基督徒
[00:01:04.480 --> 00:01:05.960]  它說基督徒而已
[00:01:05.960 --> 00:01:08.200]  怎樣信法信成怎樣無從稽考
[00:01:08.200 --> 00:01:10.200]  不過它說它自己是基督徒
[00:01:10.200 --> 00:01:13.080]  你會發覺全世界有超過60億的人口
[00:01:13.080 --> 00:01:16.400]  有三分之二說自己信耶穌
[00:01:16.400 --> 00:01:21.400]  到底什麼令基督教這麼多人去相信呢?
[00:01:21.400 --> 00:01:24.080]  為什麼這麼多人會考慮信耶穌呢?
[00:01:24.080 --> 00:01:25.240]  你會不會考慮信耶穌呢?
[00:01:25.240 --> 00:01:26.440]  你說我信得住了
[00:01:26.440 --> 00:01:28.480]  為什麼你要信耶穌呢?
[00:01:28.480 --> 00:01:33.200]  我今早就希望能夠透過《使徒行傳》17章
[00:01:33.200 --> 00:01:36.200]  看看可不可以幫大家進一步去了解
[00:01:36.200 --> 00:01:38.400]  以及找到答案
[00:01:38.400 --> 00:01:41.040]  為什麼這麼多人會信耶穌
[00:01:41.040 --> 00:01:42.880]  講到《使徒行傳》17章的時候
[00:01:42.880 --> 00:01:45.680]  大家都聽過一個很熟悉的人物叫保羅
[00:01:45.680 --> 00:01:50.320]  17章講到保羅去到希臘的雅典
[00:01:50.320 --> 00:01:52.560]  雅典是希臘的首都
[00:01:52.560 --> 00:01:55.040]  而且是一個文明的古都
[00:01:55.040 --> 00:01:58.200]  聖經說當保羅去到雅典的時候
[00:01:58.200 --> 00:02:01.360]  一進去第一個讓他見到的就是
[00:02:01.360 --> 00:02:06.120]  滿街滿巷有很多神壇、神像
[00:02:06.120 --> 00:02:09.440]  聖經說保羅見到的時候心裡很難過
[00:02:09.440 --> 00:02:11.840]  難過是中文的翻譯
[00:02:11.840 --> 00:02:15.600]  英文的翻譯是心裡很焦躁
[00:02:15.600 --> 00:02:18.280]  這個跟保羅的性格
[00:02:18.280 --> 00:02:20.000]  保羅是一個很理智的人
[00:02:20.000 --> 00:02:21.160]  很不一樣的
[00:02:21.160 --> 00:02:22.520]  很少跟別人爭辯的
[00:02:22.520 --> 00:02:24.880]  但是因為他見到這樣的緣故
[00:02:24.880 --> 00:02:28.720]  聖經說他就在猶太人的會堂裡面
[00:02:28.720 --> 00:02:31.960]  跟那些外邦人、外族人在那邊辯論
[00:02:31.960 --> 00:02:33.720]  不單是分享辯論
[00:02:33.720 --> 00:02:34.800]  不單如此
[00:02:34.800 --> 00:02:37.760]  去到街上、去到廣場當中
[00:02:37.760 --> 00:02:39.360]  有人肯聽他講的話
[00:02:39.360 --> 00:02:42.240]  他都會提出來跟別人分享
[00:02:42.240 --> 00:02:45.640]  跟別人去辯論基督教的信仰
[00:02:45.640 --> 00:02:48.280]  可能他做得太明顯也不一定
[00:02:48.280 --> 00:02:49.480]  引起很多人的注意
[00:02:49.480 --> 00:02:52.280]  包括了希臘這個城裡面
[00:02:52.280 --> 00:02:53.640]  雅典這個城裡面
[00:02:53.640 --> 00:02:56.680]  有很多所謂的學者、哲學家
[00:02:56.680 --> 00:02:58.840]  以及一些社區的領袖
[00:02:58.840 --> 00:03:00.560]  這個人在這裡做什麼事呢?
[00:03:00.560 --> 00:03:02.120]  到處說這樣的事情
[00:03:02.120 --> 00:03:04.400]  聽他講的時候古古怪怪的
[00:03:04.400 --> 00:03:10.760]  於是就請他去到所謂的阿勒巴古的議會上
[00:03:10.760 --> 00:03:14.560]  阿勒巴古這個我們稱為議會
[00:03:14.560 --> 00:03:15.400]  在聖經裡面
[00:03:15.400 --> 00:03:18.080]  其實以前是一個高等法院
[00:03:18.080 --> 00:03:21.280]  專門審那些很嚴重的刑事案件
[00:03:21.280 --> 00:03:23.520]  判死刑就在那些地方
[00:03:23.520 --> 00:03:25.360]  但是到了保羅的時候
[00:03:25.360 --> 00:03:31.400]  變成了一個讓當地的學者、社區領袖、文人雅士
[00:03:31.400 --> 00:03:34.600]  在這裡討論政治和在這裡吹噓的地方
[00:03:34.600 --> 00:03:36.000]  有什麼新聞聽了回來
[00:03:36.000 --> 00:03:38.160]  大家就說說我說說
[00:03:38.160 --> 00:03:41.280]  他特意請保羅去到這個地方
[00:03:41.280 --> 00:03:44.520]  去問保羅到底你在說什麼呢?
[00:03:44.520 --> 00:03:48.040]  對我們來說你所說的話似乎是一些新的學說
[00:03:48.040 --> 00:03:50.320]  可不可以幫我們了解多一點呢?
[00:03:50.320 --> 00:03:52.440]  其實不等於他們對基督教有興趣
[00:03:52.680 --> 00:03:53.960]  只不過是八卦而已
[00:03:53.960 --> 00:03:55.480]  因為八卦想聽多一點
[00:03:55.480 --> 00:03:57.160]  你說多一點我們就聽吧
[00:03:57.160 --> 00:04:01.280]  我們發覺保羅在十七章的時候讓我們看到
[00:04:01.280 --> 00:04:04.960]  先從敬拜的對象開始
[00:04:04.960 --> 00:04:09.160]  幫助那裡的人去認識和思考
[00:04:09.160 --> 00:04:12.000]  為什麼應該相信基督教的信仰
[00:04:12.000 --> 00:04:15.640]  我們看到其實保羅所說的基督教的信仰
[00:04:15.640 --> 00:04:19.600]  是超越了所說其他一切的宗教信仰
[00:04:20.000 --> 00:04:22.800]  我們看第十七章十六節那裡說
[00:04:22.800 --> 00:04:24.560]  保羅在雅典
[00:04:24.560 --> 00:04:26.920]  本來是等候西拉和提摩泰的
[00:04:26.920 --> 00:04:29.160]  但是看到滿城都是偶像
[00:04:29.160 --> 00:04:30.240]  心裡很難過
[00:04:30.240 --> 00:04:34.920]  二十二節他被邀請到阿勒巴古之後
[00:04:34.920 --> 00:04:36.560]  他就跟那些人說
[00:04:36.560 --> 00:04:38.360]  他說雅典的居民們
[00:04:38.360 --> 00:04:42.720]  我知道你們在各方面都表現出濃厚的宗教熱情
[00:04:42.720 --> 00:04:45.120]  我在城裡面到處走動的時候
[00:04:45.120 --> 00:04:47.600]  看到你們崇拜的場所
[00:04:47.600 --> 00:04:49.680]  竟然發現有一座祭壇
[00:04:50.040 --> 00:04:51.000]  上面刻著
[00:04:51.000 --> 00:04:53.760]  獻給不認識的神
[00:04:53.760 --> 00:04:56.360]  我現在就要告訴你們
