
[00:00:00.000 --> 00:00:04.040]  天王多謝祢,讓祢開啟我們的心,等候祢的話語
[00:00:04.040 --> 00:00:06.260]  讓我們不要害怕
[00:00:06.260 --> 00:00:09.400]  因為害怕本身就是最害怕
[00:00:09.400 --> 00:00:11.840]  讓我們害怕都不害怕
[00:00:11.840 --> 00:00:15.120]  我們就可以面對人生任何一個困境
[00:00:15.120 --> 00:00:16.780]  讓我們遇見祢
[00:00:16.780 --> 00:00:20.080]  讓這個時刻祢的聖靈在這裡自由運行
[00:00:20.080 --> 00:00:24.400]  讓祢的話語刺透靈與魂,骨與骨髓
[00:00:24.400 --> 00:00:28.280]  我們多謝祢,預立我們禱告,奉耶穌的名
[00:00:28.280 --> 00:00:29.280]  Amen
[00:00:29.280 --> 00:00:33.700]  今天我的主題是飛越困境的約時
[00:00:33.700 --> 00:00:36.240]  飛越困境的約時
[00:00:36.240 --> 00:00:39.460]  不知道大家有沒有見過風和日麗的日子
[00:00:39.460 --> 00:00:43.140]  當然有,除了今天昨天,或者最近颳風
[00:00:43.140 --> 00:00:47.220]  我記得有一次有一班朋友載我遊車河
[00:00:47.220 --> 00:00:50.940]  當時風和日麗非常美
[00:00:50.940 --> 00:00:54.840]  但是在車上走著走著,看到遠方
[00:00:54.840 --> 00:00:58.580]  突然間有這樣的情景
[00:00:58.580 --> 00:01:00.060]  我不知道大家有沒有見過
[00:01:00.060 --> 00:01:03.040]  真是這樣,或者更多
[00:01:03.040 --> 00:01:08.280]  我覺得很厲害,為什麼會突然風雲變色
[00:01:08.280 --> 00:01:10.600]  一剎那之間,如果大家知道
[00:01:10.600 --> 00:01:13.800]  光和星的速度飛很不同
[00:01:13.800 --> 00:01:17.320]  幾秒鐘,聲音就來了,很大聲
[00:01:17.320 --> 00:01:23.900]  再過一會兒,暴風雨迎面過來,很厲害
[00:01:23.900 --> 00:01:28.580]  當時在車上,不禁有微笑
[00:01:28.580 --> 00:01:36.220]  因為我覺得街上突然濕漉漉的樣子,挺有趣
[00:01:36.220 --> 00:01:40.460]  但是當我這樣想的時候,很快有一個意念
[00:01:40.460 --> 00:01:44.640]  他說今天你可以避過風暴
[00:01:44.640 --> 00:01:51.320]  但是明天,你很可能就在街上迎面而來,沒有準備
[00:01:51.320 --> 00:01:56.080]  在人生中,我們有時候可以避過風暴,避過困境
[00:01:56.080 --> 00:01:59.400]  但是我們知道在人生的歷練中
[00:01:59.400 --> 00:02:05.700]  我們往往都不能夠有一個免疫的系統
[00:02:05.700 --> 00:02:09.300]  今天我正在說,當我們面對這樣的情況
