
[00:00:00.000 --> 00:00:02.400]  各位香港浸浸教會的弟兄姊妹平安
[00:00:02.400 --> 00:00:03.400]  (平安)
[00:00:03.400 --> 00:00:04.400]  今天是中國主日
[00:00:04.400 --> 00:00:06.600]  很想和大家一起去
[00:00:06.600 --> 00:00:11.000]  以一個青年人和中國的故事作為開始
[00:00:11.000 --> 00:00:12.800]  在一百多年前
[00:00:12.800 --> 00:00:15.400]  有一位二十一歲的青年人
[00:00:15.400 --> 00:00:18.200]  他在英國的利物浦碼頭
[00:00:18.200 --> 00:00:20.000]  和他的母親告別
[00:00:20.000 --> 00:00:24.000]  他很快要坐上一隻開往中國的輪船
[00:00:24.000 --> 00:00:26.600]  他的媽媽很不捨得他的兒子
[00:00:26.600 --> 00:00:28.200]  一直在那裏痛哭
[00:00:28.400 --> 00:00:31.000]  後來這位年青人在他的日記裏面
[00:00:31.000 --> 00:00:31.800]  這樣記下來
[00:00:31.800 --> 00:00:34.000]  他說我永遠都不會忘記
[00:00:34.000 --> 00:00:38.000]  我母親在內心裏面所發出來的哭聲
[00:00:38.000 --> 00:00:40.000]  好像都刺透了我
[00:00:40.000 --> 00:00:44.000]  的確母親不捨得他的兒子
[00:00:44.000 --> 00:00:45.200]  去到中國
[00:00:45.200 --> 00:00:48.800]  那位年青人他好心知道
[00:00:48.800 --> 00:00:52.800]  是上帝呼召他要去中國傳福音
[00:00:52.800 --> 00:00:56.400]  他趁船未開跳上碼頭裏面
[00:00:56.400 --> 00:00:57.400]  去安慰他的媽媽
[00:00:57.400 --> 00:00:59.800]  跟媽媽說親愛的媽媽不要再哭了
[00:00:59.800 --> 00:01:03.000]  我離開你我不是為名也不是為利
[00:01:03.000 --> 00:01:05.400]  我只是為了一個榮耀的目標
[00:01:05.400 --> 00:01:08.600]  要讓中國的人認識耶穌
[00:01:08.600 --> 00:01:11.400]  這位年青人
[00:01:11.400 --> 00:01:13.200]  他的名字大家可能都聽過
[00:01:13.200 --> 00:01:15.600]  他是大德生牧師
[00:01:15.600 --> 00:01:19.400]  大牧師他很年輕的時候
[00:01:19.400 --> 00:01:21.400]  已經確實這個呼召
[00:01:21.400 --> 00:01:24.200]  為了裝備這個呼召的實現
[00:01:24.200 --> 00:01:26.600]  他去到倫敦裏面去讀醫
[00:01:28.000 --> 00:01:30.200]  他讀醫不是為了去賺更加多的錢
[00:01:30.200 --> 00:01:32.400]  而是知道這個醫學的知識
[00:01:32.400 --> 00:01:34.800]  是幫助他可以在中國傳教
[00:01:34.800 --> 00:01:37.600]  但沒想過他在學習的過程裏面
[00:01:37.600 --> 00:01:40.200]  他自己患上了重病幾乎要死
[00:01:40.200 --> 00:01:44.600]  他很憂愁他很擔心自己會死亡
[00:01:44.600 --> 00:01:47.600]  然後不能夠實現去中國的遺像
[00:01:47.600 --> 00:01:51.800]  但他祈禱亦都很清楚得到領受
[00:01:51.800 --> 00:01:55.000]  他可以脫險
[00:01:55.800 --> 00:01:59.400]  他和那位醫治他的不信主的教授分享
[00:01:59.400 --> 00:02:01.200]  他說作為一個基督徒
[00:02:01.200 --> 00:02:03.600]  我離開這個世界去見到主
[00:02:03.600 --> 00:02:05.200]  其實應該歡喜快樂的
[00:02:05.200 --> 00:02:07.800]  但我卻有一個使命
[00:02:07.800 --> 00:02:10.400]  這個使命是要去中國
[00:02:10.400 --> 00:02:12.800]  所以無論我的病多重
[00:02:12.800 --> 00:02:15.800]  我知道我的主是會拯救我脫離凶險的
[00:02:15.800 --> 00:02:18.800]  那時候他已經有一位未婚妻
[00:02:18.800 --> 00:02:21.800]  他的家人反對他的女兒
[00:02:21.800 --> 00:02:23.800]  跟從大德生去中國
[00:02:24.800 --> 00:02:27.400]  最後因此要將婚約解除
[00:02:27.400 --> 00:02:31.200]  對大德生來說這是一個很大的打擊
[00:02:31.200 --> 00:02:33.800]  但卻是沒有動搖到他的心智
[00:02:33.800 --> 00:02:37.000]  後來他去了中國在1865年的時候
[00:02:37.000 --> 00:02:39.400]  他成立了中國內地會
[00:02:39.400 --> 00:02:43.000]  內地會成為了中國最多
[00:02:43.000 --> 00:02:46.400]  差派到中國的宣教士的一個宣教組織
[00:02:46.400 --> 00:02:48.800]  到二十世紀的中葉
[00:02:48.800 --> 00:02:52.200]  接近有差不多十萬的信徒
[00:02:52.600 --> 00:02:56.000]  成為了中國亦擁有最多信徒的一個教會
[00:02:56.000 --> 00:03:01.800]  很快2015年也是內地會成立150週年的大日子
[00:03:01.800 --> 00:03:03.800]  我們這樣聽起來的時候
[00:03:03.800 --> 00:03:07.400]  覺得大德生牧師和內地會的工作是滿有成就的
[00:03:07.400 --> 00:03:10.800]  領受上帝的呼召然後去實踐他
[00:03:10.800 --> 00:03:12.800]  上帝應許、上帝祝福
[00:03:12.800 --> 00:03:15.200]  結果帶來了很多的果效
[00:03:15.200 --> 00:03:20.600]  但當我們認真去看大德生牧師的生命的時候
[00:03:21.000 --> 00:03:25.000]  他發現在這些成就背後其實是充滿著很多的磨練
[00:03:25.000 --> 00:03:27.600]  很多的眼淚、很多的挑戰
[00:03:27.600 --> 00:03:32.200]  在大德生牧師去了中國之後
[00:03:32.200 --> 00:03:35.400]  在寧波這個地方他認識了一位宣教士的女兒
[00:03:35.400 --> 00:03:39.200]  後來一起戀愛、結婚、建立家庭
[00:03:39.200 --> 00:03:42.600]  他們生了一個女兒
[00:03:42.600 --> 00:03:44.600]  到這個女兒七歲的時候
[00:03:44.600 --> 00:03:47.400]  幻想了魯莫嚴在寧波病逝
[00:03:48.000 --> 00:03:52.200]  再過三年他另一個兒子亦都幻想了肺病死亡
[00:03:52.200 --> 00:03:56.400]  先後兩位的兒女離世
[00:03:56.400 --> 00:03:59.800]  對他們來說是一個很大的打擊
[00:03:59.800 --> 00:04:02.400]  當時他們還有三個小孩
[00:04:02.400 --> 00:04:05.000]  所以他們馬上將這三個小孩送回英國
[00:04:05.000 --> 00:04:07.000]  希望在英國的環境裏面
[00:04:07.000 --> 00:04:10.000]  令到他們有更加健康的環境去成長
[00:04:10.000 --> 00:04:12.800]  送走了三個小孩
[00:04:12.800 --> 00:04:16.000]  然後大德生的師母再次懷孕
[00:04:17.000 --> 00:04:18.800]  但卻患上了霍亂
[00:04:18.800 --> 00:04:22.200]  生下來的胎兒很快就夭折
[00:04:22.200 --> 00:04:26.400]  並且連大師母都不能夠生存
[00:04:26.400 --> 00:04:31.000]  這個時候是大德生面對最大最大的打擊
[00:04:31.000 --> 00:04:32.800]  最大最大的打擊
[00:04:32.800 --> 00:04:35.400]  先後有兩個兒女
[00:04:35.400 --> 00:04:38.600]  加上他的太太還有一個剛出世的嬰孩
[00:04:38.600 --> 00:04:40.400]  都死亡了
[00:04:40.400 --> 00:04:44.600]  他這樣說
[00:04:44.600 --> 00:04:47.600]  「我在房間裏面孤獨一日
[00:04:47.600 --> 00:04:52.600]  我再見不到我心愛的太太的影子
