
[00:00:00.000 --> 00:00:03.800]  我們講以福所恕,講到第十八節的時候,
[00:00:03.800 --> 00:00:06.800]  我們講了好幾次,我們提到說要被聖靈充滿。
[00:00:06.800 --> 00:00:09.200]  事實上我這次到巴黎去,
[00:00:09.200 --> 00:00:10.900]  我們學生來自各地各方的,
[00:00:10.900 --> 00:00:12.300]  有溫州話的教會,
[00:00:12.300 --> 00:00:16.300]  有從東南亞,從高棉,
[00:00:16.300 --> 00:00:18.700]  這些逃過來的早期的難民,
[00:00:18.700 --> 00:00:21.000]  有講廣東話的教會,
[00:00:21.000 --> 00:00:22.600]  其中有一個圖你看,
[00:00:22.600 --> 00:00:24.600]  幫我翻譯的就是我一個學生,
[00:00:24.600 --> 00:00:26.600]  我講國語,他翻成廣東話。
[00:00:26.600 --> 00:00:28.600]  所以在不同的教會,
[00:00:28.600 --> 00:00:30.600]  特別是在其中有一個教會,
[00:00:30.600 --> 00:00:32.200]  講到的時間非常短,
[00:00:32.200 --> 00:00:34.000]  你知道嗎?他們只給我,
[00:00:34.000 --> 00:00:36.600]  我算一算,只有很短的時間,
[00:00:36.600 --> 00:00:39.600]  二十分鐘大概這樣左右。
[00:00:39.600 --> 00:00:41.900]  所以這麼短的時間講到,
[00:00:41.900 --> 00:00:44.200]  要講一個很重要的主題很難,
[00:00:44.200 --> 00:00:47.400]  我就只能夠很迫切的,很快速的,
[00:00:47.400 --> 00:00:48.600]  我也跟我的學生講,
[00:00:48.600 --> 00:00:49.800]  你翻譯要快一點,
[00:00:49.800 --> 00:00:51.500]  我就講一句他翻一句,翻一句他翻一句,
[00:00:51.500 --> 00:00:52.900]  就這樣子,那一天。
[00:00:52.900 --> 00:00:55.600]  但是這兩次的聚會,
[00:00:55.600 --> 00:00:57.600]  早上跟下午的兩次的聚會,
[00:00:57.600 --> 00:01:00.600]  兩個教會其實他們都是蠻保守的,
[00:01:00.600 --> 00:01:06.600]  他們從來沒有聽過有關聖靈充滿的信息,
[00:01:06.600 --> 00:01:09.600]  對聖靈的認識也是非常的,
[00:01:09.600 --> 00:01:11.600]  可以說是陌生。
[00:01:11.600 --> 00:01:14.600]  很多教會想到聖靈的時候,
[00:01:14.600 --> 00:01:16.600]  他第一個就想到什麼?
[00:01:16.600 --> 00:01:20.600]  靈恩派。
[00:01:20.600 --> 00:01:22.600]  為什麼很可惜?
[00:01:22.600 --> 00:01:26.600]  聖經上裡面,你如果把聖靈拿掉的話,
[00:01:26.600 --> 00:01:30.600]  這本聖經裡面就完全只是一本人的書了,
[00:01:30.600 --> 00:01:39.600]  聖經的作者是誰?
[00:01:39.600 --> 00:01:41.600]  你們才剛交新舊約的,
[00:01:41.600 --> 00:01:44.600]  聖經的作者是誰?
[00:01:44.600 --> 00:01:46.600]  聖靈!
[00:01:46.600 --> 00:01:48.600]  雖然有四十幾位的作者,
[00:01:48.600 --> 00:01:56.600]  但是聖經是神的零所漠視的。
[00:01:56.600 --> 00:02:00.600]  這位聖靈今天照樣在我們中間,
[00:02:00.600 --> 00:02:04.600]  祂做內在更正外在的工作,
