
[00:00:00.000 --> 00:00:03.660]  有一次我在教會講道
[00:00:03.660 --> 00:00:06.740]  講道世界末日
[00:00:06.740 --> 00:00:10.800]  信徒被提耶穌回來
[00:00:10.800 --> 00:00:14.460]  完了之後有位會友找我聊天
[00:00:14.460 --> 00:00:17.880]  他說牧師我不想耶穌那麼早回來
[00:00:17.880 --> 00:00:19.880]  我說為什麼呢?
[00:00:19.880 --> 00:00:22.880]  他說因為耶穌回來就沒有海鮮吃
[00:00:22.880 --> 00:00:27.300]  他說因為我很喜歡吃海鮮
[00:00:27.300 --> 00:00:31.960]  每個禮拜都約會眾一起去酒家吃海鮮
[00:00:31.960 --> 00:00:37.000]  但是耶穌回來聖經啟示錄說海也沒有了
[00:00:37.000 --> 00:00:40.800]  沒有海就哪有海鮮呢?
[00:00:40.800 --> 00:00:47.080]  我說我認為你現在最需要關注的不是海鮮
[00:00:47.080 --> 00:00:49.740]  而是你是不是真的重生得救
[00:00:49.740 --> 00:00:53.040]  否則你和其他會眾去吃海鮮
[00:00:53.040 --> 00:00:57.580]  突然之間同桌的全部被提就留在這裏找賬
[00:00:57.580 --> 00:01:01.540]  或者你說牧師我沒有什麼問題
[00:01:01.540 --> 00:01:03.300]  我肯定重生得救
[00:01:03.300 --> 00:01:06.000]  將來就不會留在這裏找賬的
[00:01:06.000 --> 00:01:09.460]  究竟有什麼我要關注呢?
[00:01:09.460 --> 00:01:14.340]  彼得後書有一樣東西提醒我們要關注的
[00:01:14.340 --> 00:01:20.460]  就是防備教會裏面的假師傅
[00:01:20.460 --> 00:01:23.160]  假教師
[00:01:23.160 --> 00:01:27.660]  如果我們看彼得後書
[00:01:27.660 --> 00:01:34.540]  我們有三章
[00:01:34.540 --> 00:01:37.040]  第一章剛慧眉牧師已經講了
[00:01:37.040 --> 00:01:40.040]  就是追求屬靈生命的成長
[00:01:40.040 --> 00:01:43.340]  第二章和第三章我們今天要講了
[00:01:43.340 --> 00:01:45.540]  第二章是防備假師傅
