
[00:00:00.000 --> 00:00:03.840]  我們在聽到講道之先 我們再一次去禱告
[00:00:03.840 --> 00:00:07.760]  天父求祢的靈去感動 幫助我們
[00:00:07.760 --> 00:00:09.960]  讓我們明白祢的說話
[00:00:09.960 --> 00:00:11.860]  又願意去進行
[00:00:11.860 --> 00:00:15.740]  我們恭敬 教託 仰望 奉耶穌基督的聖名
[00:00:15.740 --> 00:00:16.740]  阿門
[00:00:16.740 --> 00:00:20.000]  有一個人 有一個澳洲人
[00:00:20.000 --> 00:00:21.820]  他叫做力克.胡捷
[00:00:21.820 --> 00:00:23.820]  很多人都聽過這個人的名字
[00:00:23.820 --> 00:00:27.000]  這個人一生有很多風浪
[00:00:27.000 --> 00:00:29.100]  他一出生就無手無腳
[00:00:29.100 --> 00:00:31.780]  他一隻腳好像雞腿一樣
[00:00:31.780 --> 00:00:34.000]  他就很沮喪
[00:00:34.000 --> 00:00:36.840]  雖然他父母都是很愛主的基督徒
[00:00:36.840 --> 00:00:39.300]  但是他就很想死
[00:00:39.300 --> 00:00:43.260]  力克.胡捷在他人生十歲之前
[00:00:43.260 --> 00:00:46.340]  三次去自殺 但是都不成功
[00:00:46.340 --> 00:00:50.020]  在他十歲那次去自殺不遂之後 他就覺得
[00:00:50.020 --> 00:00:53.720]  他再自殺會很傷到父母的心
[00:00:53.720 --> 00:00:55.460]  他決定不再自殺
[00:00:56.200 --> 00:01:00.840]  到了十六歲那年 力克就跟別人分享他的生命
[00:01:00.840 --> 00:01:04.620]  他怎樣靠著上帝去過他的生命
[00:01:04.620 --> 00:01:07.640]  他那時候跟十二個同學去分享
[00:01:07.640 --> 00:01:09.740]  這十二個人很感動
[00:01:09.740 --> 00:01:12.780]  力克他明白一件事
[00:01:12.780 --> 00:01:16.880]  原來他的人生可以去激勵他身邊的人
[00:01:16.880 --> 00:01:19.080]  所以他十六歲之後
[00:01:19.080 --> 00:01:22.960]  他就以去激勵別人 去幫助別人
[00:01:22.960 --> 00:01:26.180]  去領人歸主 成為人生的目標
[00:01:26.880 --> 00:01:30.380]  當然他的人是沒有改變的 依然是無手無腳
[00:01:30.380 --> 00:01:34.560]  他去到不同的地方去分享 去講見證
[00:01:34.560 --> 00:01:39.760]  他的分享比很多的牧者更加厲害
[00:01:39.760 --> 00:01:41.780]  更加大的果效
[00:01:41.780 --> 00:01:44.520]  在零八年有一次去到非洲去分享
[00:01:44.520 --> 00:01:48.660]  一次的報道會有十一萬人去聽
[00:01:48.660 --> 00:01:51.600]  那五天的報道會有八萬人
[00:01:51.600 --> 00:01:54.480]  決志認真去跟從耶穌
[00:01:54.480 --> 00:01:58.320]  一個很輝煌的侍奉
[00:01:58.320 --> 00:02:00.420]  但他的人生有很多風浪
[00:02:00.420 --> 00:02:03.700]  風風雨雨 一出生就無手無腳
[00:02:03.700 --> 00:02:07.060]  在一二年他結婚 一三年他有一個兒子
[00:02:07.060 --> 00:02:08.960]  我想問大家
