
[00:00:00.000 --> 00:00:05.000]  上個禮拜 鄭牧師 譚太 曾經提過
[00:00:05.000 --> 00:00:09.000]  是神主動同人立約
[00:00:09.000 --> 00:00:12.000]  立約簡單來說 就是神和我們的關係
[00:00:12.000 --> 00:00:14.000]  這個關係是互動的
[00:00:14.000 --> 00:00:18.000]  就是說 我們要做些事 神又要做些事
[00:00:18.000 --> 00:00:21.000]  這個互動關係帶來兩個結果
[00:00:21.000 --> 00:00:25.000]  第一個結果就是 人受到神的祝福
[00:00:25.000 --> 00:00:27.000]  第二個結果就是 神的計劃
[00:00:27.000 --> 00:00:32.000]  就是祂美好的旨意 要在我們生命裏面成就
[00:00:32.000 --> 00:00:35.000]  這個美好的旨意 怎樣成就呢
[00:00:35.000 --> 00:00:38.000]  我們一起看羅馬書 八章二十八節
[00:00:38.000 --> 00:00:40.000]  我們一起讀 一二三
[00:00:40.000 --> 00:00:43.000]  我們曉得萬事互相效力
[00:00:43.000 --> 00:00:46.000]  叫愛神的人得益處
[00:00:46.000 --> 00:00:50.000]  就是按祂旨意被朝的人
[00:00:50.000 --> 00:00:52.000]  用回我們的說話來說
[00:00:52.000 --> 00:00:56.000]  就是我們人生就好像一幅砌圖一樣
[00:00:56.000 --> 00:00:59.000]  當這個砌圖未砌成之前
[00:00:59.000 --> 00:01:01.000]  你會覺得 一切好像沒有意義
[00:01:01.000 --> 00:01:03.000]  每一部分都好像沒有意義
[00:01:03.000 --> 00:01:08.000]  但是神一定會將我們這一幅砌圖
[00:01:08.000 --> 00:01:10.000]  砌成美好的圖畫
[00:01:10.000 --> 00:01:12.000]  這個是神的應許
[00:01:12.000 --> 00:01:14.000]  神的應許給那些什麼人
[00:01:14.000 --> 00:01:18.000]  是一些回應祂的呼召 愛祂
[00:01:18.000 --> 00:01:21.000]  並且信靠祂的人
[00:01:21.000 --> 00:01:23.000]  這個是神的應許
[00:01:23.000 --> 00:01:26.000]  但是問題是
[00:01:26.000 --> 00:01:29.000]  這一幅砌圖未砌完的時候
[00:01:29.000 --> 00:01:33.000]  根本沒有人知道這幅圖畫最後是怎樣的
[00:01:33.000 --> 00:01:35.000]  在那個過程裏面
[00:01:35.000 --> 00:01:38.000]  我們又要帶著什麼心態
[00:01:38.000 --> 00:01:41.000]  去繼續等候跟從神
[00:01:41.000 --> 00:01:45.000]  將這一幅圖畫一幅一幅地砌上去
[00:01:45.000 --> 00:01:48.000]  這些砌圖怎樣砌上去呢
[00:01:48.000 --> 00:01:51.000]  尤其是經歷到不如意的時候
[00:01:51.000 --> 00:01:53.000]  當人遇到困難的時候
[00:01:53.000 --> 00:01:55.000]  困難往往令人沮喪
[00:01:55.000 --> 00:01:58.000]  令人對前景失去盼望
[00:01:58.000 --> 00:01:59.000]  這種絕望的心態
[00:01:59.000 --> 00:02:01.000]  這種絕望的心境
[00:02:01.000 --> 00:02:03.000]  就好像鐵鏈一樣
[00:02:03.000 --> 00:02:06.000]  去捆綁著我們的心靈
[00:02:06.000 --> 00:02:09.000]  當我們被這些絕望捆綁的時候
[00:02:09.000 --> 00:02:12.000]  我們就再沒有自由去經歷神的同在
[00:02:12.000 --> 00:02:14.000]  祂帶來的平安起來
[00:02:14.000 --> 00:02:16.000]  我們究竟用什麼心態
[00:02:16.000 --> 00:02:18.000]  憑著什麼
[00:02:18.000 --> 00:02:21.000]  可以去脫離這種絕望的捆綁呢
[00:02:21.000 --> 00:02:24.000]  今天我邀請弟兄姊妹進到出埃及記的第二章
[00:02:24.000 --> 00:02:28.000]  讓我們一起看看神和三位女性的互動
[00:02:28.000 --> 00:02:32.000]  一起去領受神帶給我們兩個信息
[00:02:32.000 --> 00:02:33.000]  第一個信息
[00:02:33.000 --> 00:02:38.000]  就是我們的心態必須要確信神奇妙的手
[00:02:38.000 --> 00:02:41.000]  其實在我們看不到的背後
[00:02:41.000 --> 00:02:45.000]  祂一直在給我們祝福
[00:02:45.000 --> 00:02:49.000]  我們如果看回摩西在第二章
[00:02:49.000 --> 00:02:51.000]  祂的生命得到保存
[00:02:51.000 --> 00:02:54.000]  整個過程我們可以用六個字來形容
[00:02:54.000 --> 00:02:58.000]  是剛剛遇著剛剛
[00:02:58.000 --> 00:03:00.000]  摩西的媽媽有機別
[00:03:00.000 --> 00:03:03.000]  將摩西收藏了三個月
[00:03:03.000 --> 00:03:04.000]  收到一個地步
