
[00:00:00.000 --> 00:00:05.600]  早上好 再一次在我們中國人過年
[00:00:05.600 --> 00:00:07.320]  今天應該是年初三
[00:00:07.320 --> 00:00:13.840]  恭賀大家新年進步 也祝恩祝榮
[00:00:13.840 --> 00:00:18.400]  今天我和大家思想這個題目是連接上個禮拜
[00:00:18.400 --> 00:00:21.560]  如果大家記得我們教會的主題
[00:00:21.560 --> 00:00:24.280]  在提督書第二章十三節
[00:00:24.280 --> 00:00:27.680]  這個就是我們今年教會的主題
[00:00:27.680 --> 00:00:32.840]  今年全年我們很希望一直在環繞這些主題裏面
[00:00:32.840 --> 00:00:36.400]  有很多信息是講到盼望
[00:00:36.400 --> 00:00:40.240]  我們主題就是等候所盼望的福
[00:00:40.240 --> 00:00:43.360]  等候所盼望的福 等候什麼呢
[00:00:43.360 --> 00:00:46.160]  這個提督書二章十三節上次我們講過的
[00:00:46.160 --> 00:00:48.400]  就是等候那個至大的神
[00:00:48.400 --> 00:00:52.560]  我們的救主耶穌基督的榮耀顯現
[00:00:52.560 --> 00:00:55.160]  我們等候的內容就是這個
[00:00:55.160 --> 00:00:59.320]  等候的具體所得到的福分
[00:00:59.320 --> 00:01:02.240]  就是我們要見到這位至大的上帝
[00:01:02.240 --> 00:01:03.800]  就是我們的主耶穌基督
[00:01:03.800 --> 00:01:06.960]  我們的救主祂榮耀的顯現
[00:01:06.960 --> 00:01:08.920]  今天面對這個時代
[00:01:08.920 --> 00:01:12.120]  充滿着很多不安和未知之數
[00:01:12.120 --> 00:01:13.960]  真的有很多未知的東西
[00:01:13.960 --> 00:01:17.000]  但我們有一個切實的盼望
[00:01:17.000 --> 00:01:20.600]  這個盼望不單止是我們現在面對這一年
[00:01:20.600 --> 00:01:22.880]  或者甚至是今生的日子
[00:01:22.880 --> 00:01:25.640]  我們知道耶穌基督隨時會回來
[00:01:25.640 --> 00:01:27.240]  究竟是今年呢
[00:01:27.240 --> 00:01:28.840]  是再遲一點呢
[00:01:28.840 --> 00:01:30.640]  或者甚至是明天
[00:01:30.640 --> 00:01:32.080]  我們都沒有人知道
[00:01:32.080 --> 00:01:35.240]  但這個正是我們所等候的福分
[00:01:35.240 --> 00:01:37.680]  就是我們預備好來迎見
[00:01:37.680 --> 00:01:41.360]  我們的救主耶穌基督祂榮耀的顯現
[00:01:41.360 --> 00:01:43.240]  這個是我們的盼望
[00:01:43.240 --> 00:01:45.680]  所以希望我們今年活出盼望
[00:01:45.680 --> 00:01:47.400]  活在盼望
[00:01:47.400 --> 00:01:55.800]  也在盼望當中我們來等候基督的應許的實現
[00:01:55.800 --> 00:01:59.400]  和大家已經分享過
[00:01:59.400 --> 00:02:04.760]  一位學者在一本書叫《Christian Reader》裏面講到
[00:02:04.760 --> 00:02:07.800]  他說我們人生裏面有幾件很重要的事
[00:02:07.800 --> 00:02:11.640]  是使我們帶來喜樂或者快樂的要素
[00:02:11.640 --> 00:02:13.480]  在人生快樂的要素是什麼呢?
[00:02:13.480 --> 00:02:16.200]  The essentials of happiness
[00:02:16.200 --> 00:02:18.760]  有什麼元素呢?
[00:02:18.760 --> 00:02:20.880]  我跟大家分享過有三樣
[00:02:20.880 --> 00:02:22.760]  第一樣是something to do
[00:02:22.760 --> 00:02:24.160]  something to love
[00:02:24.160 --> 00:02:26.960]  and something to hope for
[00:02:26.960 --> 00:02:29.760]  三樣東西就是說到我們能夠有些事
[00:02:29.760 --> 00:02:31.400]  我們去切實去做
[00:02:31.400 --> 00:02:33.120]  如果沒有亦無所事事的
[00:02:33.120 --> 00:02:35.400]  我們人生沒有什麼快樂
[00:02:35.400 --> 00:02:38.760]  另外一樣東西是我們有一些人我們去愛
[00:02:38.760 --> 00:02:42.960]  然後最後就是有一些事我們在盼望
[00:02:42.960 --> 00:02:45.760]  這個可以說是帶來我們人生的快樂
[00:02:45.760 --> 00:02:48.960]  如果我們沒有希望的話就沒有快樂
