
[00:00:00.000 --> 00:00:02.000]  希伯學書第一章 一開始的時候我說
[00:00:02.000 --> 00:00:06.000]  耶穌基督是超越舊約眾先知
[00:00:06.000 --> 00:00:08.000]  換言之 耶穌基督的啟示
[00:00:08.000 --> 00:00:12.000]  是完全超越了舊約眾先知的啟示
[00:00:12.000 --> 00:00:14.000]  不是說舊約先知的啟示不對
[00:00:14.000 --> 00:00:16.000]  而是舊約每一個先知
[00:00:16.000 --> 00:00:19.000]  他所得到的啟示都是部分的啟示
[00:00:19.000 --> 00:00:20.000]  唯有耶穌基督
[00:00:20.000 --> 00:00:22.000]  祂是一個人 一個神
[00:00:22.000 --> 00:00:23.000]  在祂的生命當中
[00:00:23.000 --> 00:00:27.000]  是神將所有啟示都給了耶穌
[00:00:27.000 --> 00:00:29.000]  我們的耶穌同樣是超越天使
[00:00:29.000 --> 00:00:32.000]  因為天使 看回第一章第十四節說
[00:00:32.000 --> 00:00:35.000]  天使豈不都是服役的靈
[00:00:35.000 --> 00:00:38.000]  奉差遣為那將要承受
[00:00:38.000 --> 00:00:40.000]  舊恩的人效力嗎
[00:00:40.000 --> 00:00:43.000]  我們看到天使 耶穌基督
[00:00:43.000 --> 00:00:44.000]  之超越天使
[00:00:44.000 --> 00:00:48.000]  因為天使本身都是受命於耶穌基督
[00:00:48.000 --> 00:00:50.000]  被耶穌基督所差派
[00:00:50.000 --> 00:00:53.000]  不單止成為一個訊息的傳遞者
[00:00:53.000 --> 00:00:56.000]  甚至是要服事我們這一班
[00:00:56.000 --> 00:00:58.000]  已經承受了舊恩的人
[00:00:58.000 --> 00:01:01.000]  所以耶穌基督是超越天使
[00:01:01.000 --> 00:01:03.000]  但到了第二章一開始的時候
[00:01:03.000 --> 00:01:05.000]  這個作者 希伯來書作者
[00:01:05.000 --> 00:01:06.000]  就開始發出
[00:01:06.000 --> 00:01:08.000]  希伯來書那邊的第一個警告
[00:01:08.000 --> 00:01:09.000]  這個警告就是
[00:01:09.000 --> 00:01:11.000]  究竟我們這一班信徒
[00:01:11.000 --> 00:01:13.000]  信了耶穌之後
[00:01:13.000 --> 00:01:15.000]  我們得著這個舊恩之後
[00:01:15.000 --> 00:01:18.000]  我們會不會失落這個舊恩
[00:01:18.000 --> 00:01:20.000]  換言之 在我們整個神學的過程當中
[00:01:20.000 --> 00:01:22.000]  很多的爭拗
[00:01:22.000 --> 00:01:23.000]  其中一個議題就是
[00:01:23.000 --> 00:01:26.000]  究竟是不是一次得救 永遠得救
[00:01:26.000 --> 00:01:29.000]  這個永遠都是過去一千多幾年前
[00:01:29.000 --> 00:01:32.000]  到現在仍然是不斷有不同的人
[00:01:32.000 --> 00:01:33.000]  在這個題目上面
[00:01:33.000 --> 00:01:36.000]  有很多不同的意見的發表
[00:01:36.000 --> 00:01:37.000]  當然 你說聖經
[00:01:37.000 --> 00:01:39.000]  究竟是不是真的像我這樣解釋
[00:01:39.000 --> 00:01:41.000]  就百分之一百正確
[00:01:41.000 --> 00:01:42.000]  我也不敢說
[00:01:42.000 --> 00:01:44.000]  不過我們作為目者
[00:01:44.000 --> 00:01:46.000]  作為每一個傳道人
[00:01:46.000 --> 00:01:48.000]  到了今天這個世代那邊
[00:01:48.000 --> 00:01:51.000]  我也會藉著二千年那邊
[00:01:51.000 --> 00:01:53.000]  我們很多的前輩
[00:01:53.000 --> 00:01:54.000]  很多的學者
[00:01:54.000 --> 00:01:55.000]  很多的神學家
[00:01:55.000 --> 00:01:58.000]  很多的對聖經研究的人
[00:01:58.000 --> 00:02:00.000]  他們用了二千年前
[00:02:00.000 --> 00:02:02.000]  不斷去將一些言經的方式
[00:02:02.000 --> 00:02:04.000]  一些解經的原則
[00:02:04.000 --> 00:02:06.000]  不斷一代傳一代傳一代
[00:02:06.000 --> 00:02:07.000]  傳到我們這一代
[00:02:07.000 --> 00:02:09.000]  當然當中有很多的修訂
[00:02:09.000 --> 00:02:11.000]  很多的補充
[00:02:11.000 --> 00:02:13.000]  以致到我們今天這一代
[00:02:13.000 --> 00:02:15.000]  因為有過去二千年前
[00:02:15.000 --> 00:02:16.000]  二千年那邊
[00:02:16.000 --> 00:02:18.000]  很多的前輩的鼓勵
[00:02:18.000 --> 00:02:19.000]  前輩的提醒
[00:02:19.000 --> 00:02:21.000]  前輩的將一些好的東西
[00:02:21.000 --> 00:02:22.000]  傳到今天
[00:02:22.000 --> 00:02:24.000]  我們必須要按著一些原則
[00:02:24.000 --> 00:02:25.000]  好像聖經那邊說
[00:02:25.000 --> 00:02:27.000]  我們要按著正義
[00:02:27.000 --> 00:02:28.000]  來分解真理
[00:02:28.000 --> 00:02:31.000]  所以當我們去面對一個議題
[00:02:31.000 --> 00:02:32.000]  究竟一切得救
[00:02:32.000 --> 00:02:33.000]  是不是永遠得救呢
[00:02:33.000 --> 00:02:34.000]  我上一次就說
[00:02:34.000 --> 00:02:35.000]  宗賢 宗賢
[00:02:35.000 --> 00:02:37.000]  我的立論一定是得救的
[00:02:37.000 --> 00:02:39.000]  一切得救是永遠得救
[00:02:39.000 --> 00:02:41.000]  但是打從第三世紀第四世紀
[00:02:41.000 --> 00:02:44.000]  奧古斯丁和一個伯拉紐
[00:02:44.000 --> 00:02:45.000]  已經有很多的爭拗
[00:02:45.000 --> 00:02:48.000]  包括在神的恩典
[00:02:48.000 --> 00:02:50.000]  和一個自由意志那邊
[00:02:50.000 --> 00:02:51.000]  這個伯拉紐
[00:02:51.000 --> 00:02:53.000]  甚至說到一個地步
[00:02:53.000 --> 00:02:55.000]  他說人可以直著
[00:02:55.000 --> 00:02:57.000]  他自己的自由意志
[00:02:57.000 --> 00:02:58.000]  是可以不犯罪的
[00:02:58.000 --> 00:03:01.000]  他不再需要上帝的能力幫助
[00:03:01.000 --> 00:03:03.000]  只要單是直著他的自由意志
[00:03:03.000 --> 00:03:04.000]  可以不犯罪
[00:03:04.000 --> 00:03:05.000]  為什麼呢
[00:03:05.000 --> 00:03:06.000]  因為他的觀點
[00:03:06.000 --> 00:03:08.000]  人是沒有原罪的
[00:03:08.000 --> 00:03:10.000]  以致到這個伯拉紐
[00:03:10.000 --> 00:03:11.000]  去到後期
[00:03:11.000 --> 00:03:12.000]  大公會議
[00:03:12.000 --> 00:03:14.000]  是定性他成為一個異端
[00:03:14.000 --> 00:03:15.000]  去到這個世代那邊
[00:03:15.000 --> 00:03:17.000]  末世聖徒教會
[00:03:17.000 --> 00:03:19.000]  所謂我們簡稱的摩門教
[00:03:19.000 --> 00:03:21.000]  某個情況都有這個觀點
[00:03:21.000 --> 00:03:23.000]  所以如果我們接受這個觀點的時候
[00:03:23.000 --> 00:03:25.000]  我可以很大聲和大家說
[00:03:25.000 --> 00:03:26.000]  各位弟兄姊妹
[00:03:26.000 --> 00:03:27.000]  過去的一年
[00:03:27.000 --> 00:03:28.000]  我一樣有自由意志
[00:03:28.000 --> 00:03:29.000]  我沒有犯罪
[00:03:29.000 --> 00:03:30.000]  你信不信呢
[00:03:30.000 --> 00:03:31.000]  你們不敢說
[00:03:31.000 --> 00:03:33.000]  當然不信
[00:03:33.000 --> 00:03:35.000]  牧師經常犯罪的
[00:03:35.000 --> 00:03:38.000]  弟兄姊妹
[00:03:38.000 --> 00:03:39.000]  我覺得人仍然有罪性
[00:03:39.000 --> 00:03:40.000]  但另一方面
[00:03:40.000 --> 00:03:41.000]  去到中世紀的時候
[00:03:41.000 --> 00:03:42.000]  加爾文和亞美紐
[00:03:42.000 --> 00:03:43.000]  同樣的
[00:03:43.000 --> 00:03:45.000]  亦都有這個爭拗
[00:03:45.000 --> 00:03:47.000]  不過當我自己再思考
[00:03:47.000 --> 00:03:49.000]  整個華語的時候
[00:03:49.000 --> 00:03:51.000]  我覺得問題不在乎
[00:03:51.000 --> 00:03:53.000]  究竟永遠得救的問題
[00:03:53.000 --> 00:03:55.000]  我覺得最重要就是
[00:03:55.000 --> 00:03:57.000]  什麼叫得救
[00:03:57.000 --> 00:03:59.000]  為什麼希伯來書的作者
[00:03:59.000 --> 00:04:01.000]  會發出五個警告
[00:04:01.000 --> 00:04:02.000]  這個是第一個警告
[00:04:02.000 --> 00:04:03.000]  上一次說了
[00:04:03.000 --> 00:04:05.000]  為什麼我們信徒要小心
[00:04:05.000 --> 00:04:07.000]  因為我深信
[00:04:07.000 --> 00:04:09.000]  神的公義
[00:04:09.000 --> 00:04:10.000]  按照他的公義
[00:04:10.000 --> 00:04:11.000]  他一定要講這個警告
[00:04:11.000 --> 00:04:15.000]  因為神不會以有罪為無罪
[00:04:15.000 --> 00:04:17.000]  罪一定會帶來
[00:04:17.000 --> 00:04:19.000]  對上帝某些的懲罰
[00:04:19.000 --> 00:04:22.000]  以致上帝不會因有罪而無罪
[00:04:22.000 --> 00:04:23.000]  看不到的
[00:04:23.000 --> 00:04:24.000]  上帝不會的
[00:04:24.000 --> 00:04:25.000]  所以在他的公義
[00:04:25.000 --> 00:04:26.000]  他一定會跟他們說
[00:04:26.000 --> 00:04:28.000]  我們如果是信徒
[00:04:28.000 --> 00:04:30.000]  仍然活在罪中之狼
[00:04:30.000 --> 00:04:31.000]  仍然在罪裏邊
[00:04:31.000 --> 00:04:32.000]  要小心一點
[00:04:32.000 --> 00:04:34.000]  如果不斷在罪裏邊
[00:04:34.000 --> 00:04:35.000]  就要小心一點
[00:04:35.000 --> 00:04:36.000]  但另一方面
[00:04:36.000 --> 00:04:38.000]  神亦都是慈愛的時候
[00:04:38.000 --> 00:04:39.000]  他仍然給我們一條出路
[00:04:39.000 --> 00:04:41.000]  就好像龍王子的比喻
[00:04:41.000 --> 00:04:43.000]  這個小孩仍然有一條出路
[00:04:43.000 --> 00:04:45.000]  他會回到爸爸門口
[00:04:45.000 --> 00:04:46.000]  回到家門口
[00:04:46.000 --> 00:04:47.000]  回到爸爸面前
[00:04:47.000 --> 00:04:48.000]  他說我得罪了天
[00:04:48.000 --> 00:04:49.000]  得罪了你
