
[00:00:00.000 --> 00:00:04.000]  各位弟兄姊妹,主來平安,早晨!
[00:00:04.000 --> 00:00:20.000]  問問大家一個問題,不知道大家有沒有留意到,在每一個主餐禮拜,在早堂完結,以及午堂崇拜之前的時段,地下的大電視會有一條短片播放。
[00:00:20.000 --> 00:00:24.000]  大家有沒有看過?沒有,搖頭!
[00:00:24.000 --> 00:00:32.000]  大家有沒有看過?不要緊,現在給大家看一分鐘左右的片段,好嗎?將會出來的。
[00:00:54.000 --> 00:00:58.000]  全球最佳企業
[00:00:58.000 --> 00:01:02.000]  全球最佳企業
[00:01:02.000 --> 00:01:06.000]  全球最佳企業
[00:01:06.000 --> 00:01:10.000]  全球最佳企業
[00:01:10.000 --> 00:01:14.000]  全球最佳企業
[00:01:14.000 --> 00:01:18.000]  全球最佳企業
[00:01:18.000 --> 00:01:22.000]  全球最佳企業
[00:01:22.000 --> 00:01:26.000]  全球最佳企業
[00:01:26.000 --> 00:01:30.000]  全球最佳企業
[00:01:30.000 --> 00:01:34.000]  全球最佳企業
[00:01:34.000 --> 00:01:38.000]  全球最佳企業
[00:01:38.000 --> 00:01:52.000]  全球最佳企業
[00:01:52.000 --> 00:02:00.000]  全球最佳企業
[00:02:00.000 --> 00:02:04.000]  全球最佳企業
[00:02:04.000 --> 00:02:08.000]  全球最佳企業
[00:02:08.000 --> 00:02:12.000]  全球最佳企業
[00:02:12.000 --> 00:02:16.000]  全球最佳企業
[00:02:16.000 --> 00:02:20.000]  全球最佳企業
[00:02:20.000 --> 00:02:24.000]  全球最佳企業
[00:02:24.000 --> 00:02:28.000]  全球最佳企業
[00:02:28.000 --> 00:02:32.000]  全球最佳企業
[00:02:32.000 --> 00:02:36.000]  全球最佳企業
[00:02:36.000 --> 00:02:40.000]  全球最佳企業
[00:02:40.000 --> 00:02:44.000]  全球最佳企業
[00:02:44.000 --> 00:02:48.000]  全球最佳企業
[00:02:48.000 --> 00:02:52.000]  全球最佳企業
[00:02:52.000 --> 00:02:56.000]  全球最佳企業
[00:02:56.000 --> 00:03:00.000]  全球最佳企業
[00:03:00.000 --> 00:03:04.000]  全球最佳企業
[00:03:04.000 --> 00:03:08.000]  全球最佳企業
[00:03:08.000 --> 00:03:12.000]  全球最佳企業
[00:03:12.000 --> 00:03:16.000]  全球最佳企業
[00:03:16.000 --> 00:03:20.000]  全球最佳企業
[00:03:20.000 --> 00:03:24.000]  全球最佳企業
[00:03:24.000 --> 00:03:28.000]  全球最佳企業
[00:03:28.000 --> 00:03:32.000]  全球最佳企業
[00:03:32.000 --> 00:03:36.000]  全球最佳企業
[00:03:36.000 --> 00:03:40.000]  全球最佳企業
[00:03:40.000 --> 00:03:44.000]  全球最佳企業
[00:03:44.000 --> 00:03:48.000]  全球最佳企業
[00:03:48.000 --> 00:03:52.000]  全球最佳企業
[00:03:52.000 --> 00:03:56.000]  全球最佳企業
[00:03:56.000 --> 00:04:00.000]  全球最佳企業
[00:04:00.000 --> 00:04:04.000]  全球最佳企業
[00:04:04.000 --> 00:04:08.000]  全球最佳企業
[00:04:08.000 --> 00:04:12.000]  全球最佳企業
[00:04:12.000 --> 00:04:16.000]  全球最佳企業
[00:04:16.000 --> 00:04:20.000]  全球最佳企業
[00:04:20.000 --> 00:04:24.000]  全球最佳企業
[00:04:24.000 --> 00:04:28.000]  全球最佳企業
[00:04:28.000 --> 00:04:32.000]  全球最佳企業
[00:04:32.000 --> 00:04:36.000]  全球最佳企業
[00:04:36.000 --> 00:04:40.000]  全球最佳企業
[00:04:40.000 --> 00:04:44.000]  全球最佳企業
[00:04:44.000 --> 00:04:48.000]  全球最佳企業
[00:04:48.000 --> 00:04:52.000]  全球最佳企業
[00:04:52.000 --> 00:04:56.000]  全球最佳企業
[00:04:56.000 --> 00:05:00.000]  全球最佳企業
[00:05:00.000 --> 00:05:04.000]  全球最佳企業
[00:05:04.000 --> 00:05:08.000]  全球最佳企業
[00:05:08.000 --> 00:05:12.000]  全球最佳企業
[00:05:12.000 --> 00:05:16.000]  全球最佳企業
[00:05:16.000 --> 00:05:20.000]  全球最佳企業
[00:05:20.000 --> 00:05:24.000]  全球最佳企業
[00:05:24.000 --> 00:05:28.000]  全球最佳企業
[00:05:28.000 --> 00:05:32.000]  全球最佳企業
[00:05:32.000 --> 00:05:36.000]  全球最佳企業
[00:05:36.000 --> 00:05:40.000]  全球最佳企業
