
[00:00:00.000 --> 00:00:04.720]  我今天講到的題目是「恨」與「愛」
[00:00:04.720 --> 00:00:09.360]  這兩個方面相信大家都不會陌生
[00:00:09.360 --> 00:00:12.400]  我們在教會裡經常都說「愛」
[00:00:12.400 --> 00:00:16.880]  「愛」的反面就是「恨」
[00:00:16.880 --> 00:00:20.320]  「恨」和「愛」為何要講這兩樣東西呢?
[00:00:20.320 --> 00:00:26.240]  當然這些是大家需要認識的真理
[00:00:26.240 --> 00:00:28.240]  在聖經裡是怎樣講的
[00:00:28.240 --> 00:00:31.200]  我主要引用了一段聖經
[00:00:31.200 --> 00:00:36.960]  是《爾忽所書》四章二十六至二十七節作為一個開始
[00:00:36.960 --> 00:00:43.200]  「恨」與「愛」《爾忽所書》四章二十六至二十七節
[00:00:43.200 --> 00:00:49.120]  我們讀讀經文《爾忽所書》四章二十六至二十七節
[00:00:49.120 --> 00:00:51.120]  請大家一起讀
[00:00:51.120 --> 00:00:54.240]  生氣卻不要犯罪
[00:00:54.240 --> 00:00:56.880]  不可含怒道日落
[00:00:56.880 --> 00:01:00.080]  也不可給魔鬼留地步
[00:01:00.080 --> 00:01:06.640]  這一節的經文相信很多信主的信徒都懂得
[00:01:06.640 --> 00:01:08.640]  很多時候我們都自己提醒自己
[00:01:08.640 --> 00:01:10.640]  未必經常做到
[00:01:10.640 --> 00:01:12.640]  也是一個好的提醒
[00:01:12.640 --> 00:01:14.640]  很生氣
[00:01:14.640 --> 00:01:18.240]  聖經說生氣卻不要犯罪
[00:01:18.240 --> 00:01:20.240]  不可以含怒道日落
[00:01:20.240 --> 00:01:23.120]  太陽落山就算了
[00:01:23.120 --> 00:01:24.800]  是一個很好的提醒
[00:01:24.800 --> 00:01:27.680]  也很對的
[00:01:27.680 --> 00:01:29.680]  我們再講下去
[00:01:29.680 --> 00:01:35.040]  你會更加認同這一節聖經是一個很好的提醒
[00:01:35.040 --> 00:01:37.600]  大家試過生氣嗎?
[00:01:37.600 --> 00:01:40.000]  試過,一定試過
[00:01:40.000 --> 00:01:42.000]  種種原因,不知為何
[00:01:42.000 --> 00:01:44.000]  或者可能你都忘記了什麼原因
[00:01:44.000 --> 00:01:46.000]  總之一定試過生氣
[00:01:46.000 --> 00:01:48.640]  但很有趣,聖經教我們
[00:01:48.640 --> 00:01:52.640]  生氣卻不要犯罪
[00:01:52.640 --> 00:02:00.640]  生氣有機會令你進入犯罪的狀態
[00:02:00.640 --> 00:02:05.120]  生氣也有可能與犯罪無關
[00:02:05.120 --> 00:02:08.640]  生氣卻不要犯罪
[00:02:08.640 --> 00:02:10.640]  沒有說叫你不要生氣
[00:02:10.640 --> 00:02:14.640]  生氣本身未必是錯的
[00:02:14.640 --> 00:02:17.680]  但你看看如何處理生氣
[00:02:17.680 --> 00:02:21.440]  合而來處理,就不會犯罪
[00:02:21.440 --> 00:02:23.440]  但如果你不合而來
[00:02:23.440 --> 00:02:25.440]  就可以變成犯罪
[00:02:25.440 --> 00:02:27.440]  明白我的意思嗎?
[00:02:27.440 --> 00:02:29.440]  所以生氣卻不要犯罪
[00:02:29.440 --> 00:02:33.440]  我們很多時候都會記得
[00:02:33.440 --> 00:02:35.440]  特別在現在香港的社會
[00:02:35.440 --> 00:02:39.440]  很多人都特別提及耶穌的行為
[00:02:39.440 --> 00:02:41.440]  說耶穌在聖殿裏面
[00:02:41.440 --> 00:02:45.440]  扔掉人家做買賣的人
[00:02:45.440 --> 00:02:47.440]  趕走所有人
[00:02:47.440 --> 00:02:49.440]  很明顯是生氣
[00:02:49.440 --> 00:02:51.440]  但我們也知道耶穌沒有犯罪
[00:02:51.440 --> 00:02:55.440]  所以耶穌生氣卻不犯罪
[00:02:55.440 --> 00:02:59.440]  聖經有時候很容易讀
[00:02:59.440 --> 00:03:01.440]  在某個角度去看
[00:03:01.440 --> 00:03:03.440]  耶穌一定沒有犯罪
[00:03:03.440 --> 00:03:05.440]  所以耶穌做的事都不是犯罪
[00:03:05.440 --> 00:03:11.440]  祂很生氣,扔掉人家的東西
[00:03:11.440 --> 00:03:13.440]  但祂沒有犯罪
[00:03:13.440 --> 00:03:15.440]  我們稍後在這一點再解釋
[00:03:15.440 --> 00:03:17.440]  生氣是可以不犯罪
[00:03:17.440 --> 00:03:19.440]  但生氣在我們人來說
[00:03:19.440 --> 00:03:23.440]  慢慢就會變成犯罪
[00:03:23.440 --> 00:03:25.440]  我們再看看為什麼會這樣
[00:03:25.440 --> 00:03:27.440]  另外一節經文
[00:03:27.440 --> 00:03:31.440]  我們在《雅各書》一章19至21節
[00:03:31.440 --> 00:03:35.440]  想讀完這節經文再解釋
[00:03:35.440 --> 00:03:37.440]  我們一起讀吧
[00:03:37.440 --> 00:03:39.440]  我親愛的弟兄們
[00:03:39.440 --> 00:03:41.440]  這是你們所知道的
[00:03:41.440 --> 00:03:45.440]  但你們各人要快快地聽
[00:03:45.440 --> 00:03:47.440]  慢慢地說
[00:03:47.440 --> 00:03:49.440]  慢慢地動腦
