
[00:00:00.000 --> 00:00:04.800]  各位姐妹,今天我們要跟大家分享一首很寶貴的詩歌
[00:00:04.800 --> 00:00:08.760]  過去我們在《珠一信室》裡
[00:00:08.760 --> 00:00:11.160]  我們分享過有信靠詩
[00:00:11.160 --> 00:00:13.200]  有讚美詩
[00:00:13.200 --> 00:00:17.080]  有一些律法詩
[00:00:17.080 --> 00:00:20.680]  今天我們要跟大家分享一首叫做金詩
[00:00:20.680 --> 00:00:22.040]  咦,金喔
[00:00:22.040 --> 00:00:25.560]  說起金,大家都覺得眼睛亮了一點
[00:00:25.560 --> 00:00:26.920]  (笑)
[00:00:26.920 --> 00:00:29.320]  金確實是很寶貴的
[00:00:30.320 --> 00:00:31.440]  是很難得的
[00:00:31.440 --> 00:00:34.480]  這首詩歌,詩篇16篇
[00:00:34.480 --> 00:00:36.480]  我們打開聖經,好嗎?16篇
[00:00:36.480 --> 00:00:39.480]  確實是一首很寶貴的詩篇
[00:00:39.480 --> 00:00:44.800]  詩篇第16篇
[00:00:44.800 --> 00:00:50.520]  我們一起讀一篇,好嗎?
[00:00:50.520 --> 00:00:52.520]  讓我們有一些概念
[00:00:52.520 --> 00:00:55.720]  詩篇第16篇,第一至第十一節
[00:00:55.720 --> 00:00:57.720]  我們一同讀出吧
[00:00:58.320 --> 00:01:01.120]  神啊,求祢保佑我
[00:01:01.120 --> 00:01:03.440]  因為我投靠祢
[00:01:03.440 --> 00:01:06.800]  我的心啊,祢曾對耶和華說
[00:01:06.800 --> 00:01:08.560]  祢是我的主
[00:01:08.560 --> 00:01:11.440]  我的好處不在祢以外
[00:01:11.440 --> 00:01:13.640]  論到世上的聖民
[00:01:13.640 --> 00:01:15.880]  他們又美又善
[00:01:15.880 --> 00:01:17.880]  是我最喜悅的
[00:01:17.880 --> 00:01:20.640]  以別神代替耶和華的
[00:01:20.640 --> 00:01:23.280]  他們的仇苦必加增
[00:01:23.280 --> 00:01:25.440]  他們所曉澱的血
[00:01:25.440 --> 00:01:26.960]  我不獻上
[00:01:26.960 --> 00:01:30.360]  我嘴唇也不提別神的名號
[00:01:30.360 --> 00:01:32.760]  耶和華是我的產業
[00:01:32.760 --> 00:01:34.760]  是我杯中的糞
[00:01:34.760 --> 00:01:37.760]  我所得的,祢為我持受
