
[00:00:00.000 --> 00:00:02.600]  弟兄姊妹,今天我們思想到
[00:00:02.600 --> 00:00:06.120]  《羅馬書》第五章第一至十一節
[00:00:06.120 --> 00:00:09.200]  上一次說到一個信耶穌的人
[00:00:09.200 --> 00:00:12.240]  其實就是一個被神稱為異
[00:00:12.240 --> 00:00:14.200]  被神算為異的人
[00:00:14.200 --> 00:00:18.920]  而被神算為異的人的生活究竟是怎樣的呢?
[00:00:18.920 --> 00:00:22.920]  基本上在《羅馬書》第五章到第八章這一段
[00:00:22.920 --> 00:00:27.480]  本來就開始去解釋一個被神算為異的人
[00:00:27.480 --> 00:00:31.040]  既然他有了一個新的身份之後
[00:00:31.040 --> 00:00:34.880]  他的生活是怎樣的呢?
[00:00:34.880 --> 00:00:38.120]  他進入和神和好的狀態之後
[00:00:38.120 --> 00:00:41.200]  他整個人的目標
[00:00:41.200 --> 00:00:45.280]  他整個人的方向究竟是有什麼改變呢?
[00:00:45.280 --> 00:00:48.000]  基本上在《羅馬書》第五章到第八章
[00:00:48.000 --> 00:00:49.680]  就講這一方面
[00:00:49.680 --> 00:00:51.960]  所以今天我們就進入了這一段
[00:00:51.960 --> 00:00:53.880]  一開始第五章的時候
[00:00:53.880 --> 00:00:57.400]  保羅去解釋一個被稱為異的人
[00:00:57.400 --> 00:01:00.960]  基本上他就是一個和神和好的人
[00:01:00.960 --> 00:01:02.880]  他說:我們既因信稱異
[00:01:02.880 --> 00:01:05.000]  就藉著我們的主耶穌基督
[00:01:05.000 --> 00:01:06.720]  得與神相和
[00:01:06.720 --> 00:01:08.160]  和神和好
[00:01:08.160 --> 00:01:12.720]  基本上這是一個關於救贖
[00:01:12.720 --> 00:01:16.320]  一個很重要的主題
[00:01:16.320 --> 00:01:19.000]  我們蒙神拯救的人
[00:01:19.000 --> 00:01:24.840]  其實不單止是我們將來有一個永恆的歸宿
[00:01:24.840 --> 00:01:31.600]  不單止是我們得到神自己各樣的好處和恩典
[00:01:31.600 --> 00:01:34.400]  其實一個蒙神拯救的人
[00:01:34.400 --> 00:01:36.240]  最重要的其實就是說
[00:01:36.240 --> 00:01:39.600]  我們已經與神和好了
[00:01:39.600 --> 00:01:40.400]  當然了
[00:01:40.400 --> 00:01:41.520]  與神和好
[00:01:41.520 --> 00:01:46.280]  那裏與之前所講的非常有關係
[00:01:46.280 --> 00:01:47.480]  之前就講到
[00:01:47.480 --> 00:01:49.760]  因為人犯罪的緣故
[00:01:49.760 --> 00:01:52.640]  人在心裏面
[00:01:52.640 --> 00:01:57.160]  其實在骨子裏面對神非常背逆
[00:01:57.160 --> 00:01:59.480]  也不願意承認神做神
[00:01:59.480 --> 00:02:01.600]  神也非常憤怒
[00:02:01.600 --> 00:02:06.240]  任憑人在罪惡當中來生活
[00:02:06.240 --> 00:02:11.480]  但這一種好像大家是非常敵對的狀態
[00:02:11.480 --> 00:02:13.200]  甚至說到神的憤怒
[00:02:13.200 --> 00:02:16.840]  臨到犯罪的人的時候
[00:02:16.840 --> 00:02:20.800]  本來是每一個人的基本狀況
[00:02:20.800 --> 00:02:24.320]  但因為神已經與神
[00:02:24.320 --> 00:02:27.840]  藉著耶穌基督可以與人和好的時候
