
[00:00:00.000 --> 00:00:02.400]  今天我要針對我們教會的意向
[00:00:02.400 --> 00:00:05.280]  體驗在組裏面的成長
[00:00:05.280 --> 00:00:09.040]  再一次跟各位分享這方面的信息
[00:00:09.040 --> 00:00:11.600]  各位如果記得不錯的話
[00:00:11.600 --> 00:00:14.520]  我今年已經講過八九次
[00:00:14.520 --> 00:00:16.760]  關於體驗在組裏面的成長
[00:00:16.760 --> 00:00:20.800]  我們怎麼樣可以真正是經歷到
[00:00:20.800 --> 00:00:23.520]  你在組裏面有了增長
[00:00:23.520 --> 00:00:25.080]  我真的老實不客氣
[00:00:25.080 --> 00:00:27.360]  我真的很誠實地說
[00:00:27.360 --> 00:00:29.720]  我看到我們有幾個人
[00:00:29.720 --> 00:00:31.480]  我們幾個弟兄姐妹
[00:00:31.480 --> 00:00:33.240]  真的是按照這些
[00:00:33.240 --> 00:00:36.640]  他們今年都有在組裏面成長
[00:00:36.640 --> 00:00:41.600]  我敢說他們不久的將來會遇見到神
[00:00:41.600 --> 00:00:43.880]  第一次我講的是說
[00:00:43.880 --> 00:00:47.000]  新的意向 新的方向
[00:00:47.000 --> 00:00:51.120]  這是在《生命紀》十一章第十一節到十二節
[00:00:51.120 --> 00:00:52.680]  它說
[00:00:52.680 --> 00:00:55.840]  你要過去得地爲願的那地方乃是
[00:00:55.840 --> 00:01:00.560]  有山有谷 雨水滋潤之地
[00:01:00.560 --> 00:01:02.520]  它說從歲首到年終
[00:01:02.520 --> 00:01:05.760]  耶和花你們的神的眼目
[00:01:05.760 --> 00:01:08.480]  時常眷顧那地
[00:01:08.480 --> 00:01:10.360]  感謝神讚美神
[00:01:10.360 --> 00:01:13.560]  耶和花的眼目經常眷顧我們
[00:01:13.560 --> 00:01:16.280]  看護保守我們
[00:01:16.280 --> 00:01:18.440]  從歲首到年終
[00:01:18.440 --> 00:01:20.880]  從年頭到年尾
[00:01:20.880 --> 00:01:24.360]  神永遠是扶持保守帶領我們
[00:01:24.360 --> 00:01:26.000]  感謝神讚美神
[00:01:26.000 --> 00:01:28.720]  所以我們是要有一個
[00:01:28.720 --> 00:01:32.320]  在組裏面我們要有一個新的一個看見
[00:01:32.320 --> 00:01:34.720]  知道我們真的是可以
[00:01:34.720 --> 00:01:36.560]  Experiencing God
[00:01:36.560 --> 00:01:38.240]  能夠經歷到祂
[00:01:38.240 --> 00:01:41.840]  體驗在組裏面的成長
[00:01:41.840 --> 00:01:44.240]  第二次我講的是說
[00:01:44.240 --> 00:01:45.120]  是的
[00:01:45.120 --> 00:01:48.920]  我們要體驗在組裏面的增長 成長
[00:01:48.920 --> 00:01:54.320]  但是我們要體驗在組裏面的時間
[00:01:54.320 --> 00:01:57.840]  在神裏面的時間跟我們在世上的時間不一樣
[00:01:57.840 --> 00:02:00.080]  經上不是說
[00:02:00.080 --> 00:02:03.600]  地上千年如神的一日嗎
[00:02:03.600 --> 00:02:06.080]  所以神的時間跟我們不一樣
[00:02:06.080 --> 00:02:09.760]  這是在撒加利亞書第一章一到三節
[00:02:09.760 --> 00:02:12.320]  我念給各位聽 就唸第一節
[00:02:12.320 --> 00:02:16.760]  它說耶和花的化靈到亦多的子孫
[00:02:16.760 --> 00:02:21.720]  比利加的兒子先知撒加利亞說
[00:02:21.720 --> 00:02:24.920]  就這一句話我們就可以體驗到
[00:02:24.920 --> 00:02:27.960]  神爲我們所定的時間
[00:02:27.960 --> 00:02:31.800]  因爲耶和花的化或者祂說
[00:02:31.800 --> 00:02:34.480]  就是神祂說的 是不是
[00:02:34.480 --> 00:02:39.520]  就是祂的祝福 就是祂的應允
[00:02:39.520 --> 00:02:44.000]  那麼亦多的孫子 亦多的意思
[00:02:44.000 --> 00:02:47.440]  就是在神指定的時間
[00:02:47.440 --> 00:02:49.680]  假如神有一個表的話
[00:02:49.680 --> 00:02:53.680]  我們每一個人的時間都在祂的手腕的表上面
[00:02:53.680 --> 00:02:57.360]  所以亦多是在神指定的時間
[00:02:57.360 --> 00:02:59.880]  還有比利加的兒子
[00:02:59.880 --> 00:03:02.920]  比利加的意思是說神賜福
[00:03:02.920 --> 00:03:08.400]  還有撒加利亞的意思是神紀念
[00:03:08.400 --> 00:03:10.800]  所以這句話就是說
[00:03:10.800 --> 00:03:13.960]  這是神說的 這是神的應允
[00:03:13.960 --> 00:03:20.240]  在神的時間 神要賜福 神要紀念
[00:03:20.240 --> 00:03:21.480]  我們一次
[00:03:21.480 --> 00:03:24.360]  在耶和花所應許的
[00:03:24.360 --> 00:03:26.200]  在神的時間
[00:03:26.200 --> 00:03:29.680]  神要祝福我們 神要紀念我們
[00:03:29.680 --> 00:03:33.080]  神要看顧保守我們
[00:03:33.080 --> 00:03:34.640]  哈賴路亞 讚美聖
[00:03:34.640 --> 00:03:36.600]  所以我們就要來體驗
[00:03:36.600 --> 00:03:39.560]  神的時間在祂的時間
[00:03:39.560 --> 00:03:44.720]  然後我們體驗在祖裏面的成長
[00:03:44.720 --> 00:03:48.560]  我們可以親眼地看見祖
[00:03:48.560 --> 00:03:52.200]  我最主要就是用約伯記一個大略
[00:03:52.200 --> 00:03:53.400]  來向各位講說
[00:03:53.400 --> 00:03:57.840]  我們怎麼樣能夠親眼看見祖
[00:03:57.840 --> 00:03:59.760]  我們講約伯記
[00:03:59.760 --> 00:04:02.480]  常常我們以爲他是在講說
[00:04:02.480 --> 00:04:05.160]  約伯爲什麼會受苦難
[00:04:05.160 --> 00:04:09.440]  我們人要怎麼樣免遭受苦難等等
[00:04:09.440 --> 00:04:11.600]  約伯記完全不是講這個
[00:04:11.600 --> 00:04:13.840]  約伯記講的是講說
[00:04:13.840 --> 00:04:16.920]  我們對神的信心
[00:04:16.920 --> 00:04:18.240]  你的信心
[00:04:18.240 --> 00:04:20.360]  當你一切都很好
[00:04:20.360 --> 00:04:22.440]  很順利 身體很健康
[00:04:22.440 --> 00:04:24.200]  財富很棒的時候
[00:04:24.200 --> 00:04:26.920]  everything going my way的時候
[00:04:26.920 --> 00:04:28.640]  你說我信神 我信神
[00:04:28.640 --> 00:04:30.000]  神禰真好
[00:04:30.000 --> 00:04:32.000]  但是當我們碰到事情的時候
[00:04:32.000 --> 00:04:33.960]  我們有困苦患難的時候
[00:04:33.960 --> 00:04:37.120]  你還是不是這麼說呢
[00:04:37.120 --> 00:04:40.200]  我們以前是靠本事喫飯
[00:04:40.200 --> 00:04:44.000]  本事多的人 錢賺得多
[00:04:44.000 --> 00:04:46.640]  本事少的人 錢賺得少
[00:04:46.640 --> 00:04:50.240]  所以我們以前是靠本領喫飯
[00:04:50.240 --> 00:04:52.280]  就如同約伯說的
[00:04:52.280 --> 00:04:56.080]  從前我豐文有你
[00:04:56.080 --> 00:05:00.920]  但是今天我們是靠信心過日子
[00:05:00.920 --> 00:05:04.240]  現在我親眼看見禰
[00:05:04.240 --> 00:05:08.000]  因爲我要真正的體驗在族裏面的成長
[00:05:08.000 --> 00:05:10.240]  你要看見神的話
[00:05:10.240 --> 00:05:14.320]  你真是要學習約伯那個本領
[00:05:14.320 --> 00:05:16.280]  要從前我豐文有你
[00:05:16.280 --> 00:05:19.800]  今天我親眼要看見禰
[00:05:19.800 --> 00:05:21.600]  這樣沒事
[00:05:21.600 --> 00:05:23.760]  然後我跟着又講了一個叫做
[00:05:23.760 --> 00:05:26.880]  活出你的命定
[00:05:26.880 --> 00:05:30.920]  在《使徒行贊》第17章它說
[00:05:30.920 --> 00:05:33.880]  我們每一個人的命定已經設好了
[00:05:33.880 --> 00:05:36.600]  但人要尋求上帝
[00:05:36.600 --> 00:05:40.680]  或者可以揣摩得知
[00:05:40.680 --> 00:05:44.240]  而活出我們的命定來
[00:05:44.240 --> 00:05:45.880]  換句話說
[00:05:45.880 --> 00:05:48.280]  命定 什麼叫命定
[00:05:48.280 --> 00:05:51.480]  命定跟我們的命運不太一樣
[00:05:51.480 --> 00:05:55.840]  甚至於英文講命運叫做Fate
[00:05:55.840 --> 00:05:57.520]  F-A-T-E
[00:05:57.520 --> 00:05:59.720]  但是命定叫做Destiny
[00:05:59.720 --> 00:06:01.080]  或者Destiny
[00:06:01.080 --> 00:06:02.080]  這就不一樣
[00:06:02.080 --> 00:06:03.680]  爲什麼不一樣呢
[00:06:03.680 --> 00:06:08.160]  因爲命運是可能是你這條路走下去
[00:06:08.160 --> 00:06:09.600]  可能會碰到的事情
