
[00:00:00.000 --> 00:00:04.280]  今天是新的一年 第一個主日
[00:00:04.280 --> 00:00:08.140]  相信我們今天的信息是非常非常之合時
[00:00:08.140 --> 00:00:09.680]  很有意思
[00:00:09.680 --> 00:00:14.280]  就是叫做「行出蒙召相稱的恩」
[00:00:14.280 --> 00:00:19.380]  我們基督徒都要行出與蒙召相稱的恩
[00:00:19.380 --> 00:00:21.480]  今天的經文剛才讀過了
[00:00:21.480 --> 00:00:25.080]  在這裡已忽所書的第四章
[00:00:25.080 --> 00:00:30.620]  我們說保羅是用了三章的經文
[00:00:30.620 --> 00:00:35.180]  來教我們有很多的神學
[00:00:35.180 --> 00:00:37.680]  然後在第四章告訴我們
[00:00:37.680 --> 00:00:39.280]  現在時候到了
[00:00:39.280 --> 00:00:42.080]  你們要將你們所學到的
[00:00:42.080 --> 00:00:44.680]  將你們的知識行出來
[00:00:44.680 --> 00:00:48.420]  你們要與蒙召的恩相稱
[00:00:48.420 --> 00:00:52.320]  其實我們基督徒都很幸福
[00:00:52.320 --> 00:00:56.180]  我們有齊新舊約在我們的手上
[00:00:56.180 --> 00:00:58.880]  一部聖經包括新舊約
[00:00:58.880 --> 00:01:01.220]  但是早期的教會
[00:01:01.220 --> 00:01:04.740]  那些弟兄姊妹沒有那麼幸福
[00:01:04.740 --> 00:01:07.900]  他們手上就有聖經
[00:01:07.900 --> 00:01:11.040]  他們在教會、在聖殿
[00:01:11.040 --> 00:01:13.820]  可以讀一些流傳的書信
[00:01:13.820 --> 00:01:15.900]  好像保羅的書信
[00:01:15.900 --> 00:01:19.000]  但他們無論如何都沒有自己的一部聖經
[00:01:19.000 --> 00:01:20.600]  有齊新舊約
[00:01:20.600 --> 00:01:22.720]  我們真的很幸福
[00:01:22.720 --> 00:01:28.760]  我們還可以在網上聽很多出名的港獨的人
[00:01:28.760 --> 00:01:30.360]  來到港獨
[00:01:30.360 --> 00:01:34.120]  我們有很多很多頭腦上的知識
[00:01:34.120 --> 00:01:37.640]  有那麼多的知識要來做什麼呢?
[00:01:37.640 --> 00:01:39.500]  有沒有想過
[00:01:39.500 --> 00:01:42.460]  我們真的很想得到很多知識
[00:01:42.460 --> 00:01:45.120]  是不是快要進入天堂的時候
[00:01:45.120 --> 00:01:47.940]  有一個進入天堂的考試
[00:01:47.940 --> 00:01:51.120]  要考了試才准我們進入天堂
[00:01:51.120 --> 00:01:53.780]  不是的,沒有這樣的試
[00:01:53.780 --> 00:01:57.320]  我們在香港習慣有升中試
[00:01:57.320 --> 00:01:59.640]  有大學的入學試
[00:01:59.640 --> 00:02:02.600]  但是進入天堂是沒有這些試的
[00:02:02.600 --> 00:02:06.680]  我們學了那麼多的知識要來做什麼呢?
[00:02:06.680 --> 00:02:08.340]  保羅告訴我們
[00:02:08.340 --> 00:02:11.960]  我們要在生命當中活出來
[00:02:11.960 --> 00:02:14.040]  我們做美國的公民
[00:02:14.040 --> 00:02:17.980]  我們都要遵守美國的律法
[00:02:17.980 --> 00:02:21.200]  我們上學也有校規
[00:02:21.200 --> 00:02:23.240]  我們做基督徒也是一樣
[00:02:23.240 --> 00:02:28.200]  我們要與蒙召的恩相稱
[00:02:28.200 --> 00:02:32.400]  保羅在以弗所書的第一章
[00:02:32.400 --> 00:02:34.920]  告訴我們在個人立場
[00:02:34.920 --> 00:02:36.780]  我們是很幸福
[00:02:36.780 --> 00:02:39.920]  神揀選我們在宇宙之先已經揀選我們
[00:02:39.920 --> 00:02:41.640]  給我們很多的福氣
[00:02:41.640 --> 00:02:43.560]  很多的基業
[00:02:43.560 --> 00:02:46.800]  然後到第二章是集體的立場
[00:02:46.800 --> 00:02:49.380]  保羅告訴我們
[00:02:49.380 --> 00:02:51.040]  我們被耶穌基督救贖
[00:02:51.040 --> 00:02:54.780]  救贖了之後我們也成為基督的身體
[00:02:54.780 --> 00:02:58.100]  然後到第三章又告訴我們
[00:02:58.100 --> 00:03:02.300]  我們成為了耶穌基督的身體之後
[00:03:02.300 --> 00:03:06.540]  保羅說教會是一個奧秘
[00:03:06.540 --> 00:03:09.640]  不單止舊約沒有提到
[00:03:09.640 --> 00:03:11.940]  而且這是唯一的時候
[00:03:11.940 --> 00:03:14.380]  耶穌基督實實在在的身體
[00:03:14.380 --> 00:03:16.360]  不是在世上
[00:03:16.360 --> 00:03:19.760]  是要靠我們基督徒彼此的合一
[00:03:19.760 --> 00:03:21.860]  靠我們彼此的相愛
