
[00:00:00.000 --> 00:00:01.480]  太一主多謝祢
[00:00:01.480 --> 00:00:03.440]  我們的需要祢已經看見
[00:00:03.440 --> 00:00:06.400]  祢也看見我們身邊的警方
[00:00:06.400 --> 00:00:08.360]  主也渴望祢那份榮耀
[00:00:08.360 --> 00:00:10.080]  在我們生命中去彰顯
[00:00:10.080 --> 00:00:11.600]  在我們家去彰顯
[00:00:11.600 --> 00:00:12.520]  在我們所到之處
[00:00:12.520 --> 00:00:13.280]  在我們的職場
[00:00:13.280 --> 00:00:15.200]  在我們每段關係裡去彰顯
[00:00:15.200 --> 00:00:16.360]  求祢繼續帶領
[00:00:16.360 --> 00:00:17.400]  去幫助我們
[00:00:17.400 --> 00:00:18.640]  我們能夠看見祢
[00:00:18.640 --> 00:00:19.400]  遇見祢
[00:00:19.400 --> 00:00:20.640]  多謝祢 讚美祢
[00:00:20.640 --> 00:00:21.640]  禱告交託
[00:00:21.640 --> 00:00:23.160]  乃奉救主耶穌基督
[00:00:23.160 --> 00:00:24.760]  寶貴聖名祈求
[00:00:24.760 --> 00:00:25.520]  Amen
[00:00:25.520 --> 00:00:26.320]  我們坐下來之前
[00:00:26.320 --> 00:00:27.440]  祝福身邊的弟兄姊妹
[00:00:27.440 --> 00:00:29.080]  今天看見耶穌好不好
[00:00:29.080 --> 00:00:30.640]  今天要看見耶穌
[00:00:30.640 --> 00:00:33.040]  我們很重要
[00:00:33.040 --> 00:00:35.680]  好 感謝主讓我們能夠去一同
[00:00:35.680 --> 00:00:39.120]  去到主的殿裡面去敬拜
[00:00:39.120 --> 00:00:42.200]  今天講題叫做明白主的心
[00:00:42.200 --> 00:00:45.560]  原來上帝是期待與我們同工
[00:00:45.560 --> 00:00:47.920]  剛才就講到看見
[00:00:47.920 --> 00:00:50.960]  大家看見一幅很美麗的圖畫
[00:00:50.960 --> 00:00:52.760]  這裡呢
[00:00:52.760 --> 00:00:54.040]  我很喜歡看電影的
[00:00:54.040 --> 00:00:55.560]  不知道這裡有沒有朋友
[00:00:55.560 --> 00:00:56.280]  很喜歡看電影的
[00:00:56.280 --> 00:00:57.160]  可不可以舉手
[00:00:57.160 --> 00:00:58.280]  很喜歡看電影的
[00:00:58.280 --> 00:00:59.160]  很開心
[00:00:59.160 --> 00:01:00.640]  去旅行呢
[00:01:00.640 --> 00:01:01.840]  也是的
[00:01:01.840 --> 00:01:03.920]  去旅行的人多於喜歡看電影的
[00:01:03.920 --> 00:01:05.200]  但不是經常去旅行
[00:01:05.200 --> 00:01:07.320]  所以先看電影
[00:01:07.320 --> 00:01:08.920]  看電影很特別
[00:01:08.920 --> 00:01:10.720]  看電影我們能夠
