
[00:00:00.000 --> 00:00:04.320]  我們今天繼續思想彼得後書第二章的經文
[00:00:04.320 --> 00:00:08.640]  一起思想到聖經在經文裡面對我們的勉勵
[00:00:08.640 --> 00:00:11.120]  大家再一起祈禱 我們仰望著
[00:00:11.120 --> 00:00:18.960]  在寶座上的上帝
[00:00:18.960 --> 00:00:22.400]  從耿古到榮元
[00:00:22.400 --> 00:00:25.040]  祢的寶座永存
[00:00:25.040 --> 00:00:28.240]  因為祢是那位昔在今在
[00:00:28.240 --> 00:00:30.240]  以後永在的全能者
[00:00:30.240 --> 00:00:33.760]  主當我們抬頭望天
[00:00:33.760 --> 00:00:36.560]  見到整個宇宙窮倉的時候
[00:00:36.560 --> 00:00:39.280]  我們就稍微感受
[00:00:39.280 --> 00:00:42.480]  主啊祢自己是何等奇妙的創造主
[00:00:42.480 --> 00:00:47.200]  主當我們想回到地上有黑暗的勢力
[00:00:47.200 --> 00:00:50.080]  但是我們就想到
[00:00:50.080 --> 00:00:53.040]  主啊祢的確是那位重光之父
[00:00:53.040 --> 00:00:56.560]  在祢裡面驅逐一切的黑暗
[00:00:57.120 --> 00:01:00.000]  又帶來給人真正生命的盼望
[00:01:00.000 --> 00:01:02.880]  能夠勝過自己的邪惡
[00:01:02.880 --> 00:01:06.160]  也可以得勝這個世界的邪惡
[00:01:06.160 --> 00:01:09.440]  主啊我們在祢面前敬拜祢
[00:01:09.440 --> 00:01:11.920]  我們尊崇祢
[00:01:11.920 --> 00:01:13.920]  因為祢帶領我們走光明的路
[00:01:13.920 --> 00:01:16.960]  不單止今天祢給我們引導
[00:01:16.960 --> 00:01:19.840]  祢更加給我們永恆的盼望
[00:01:19.840 --> 00:01:22.320]  因此我們到祢面前
[00:01:22.320 --> 00:01:25.760]  祢很願意去領受祢聖經的指教
[00:01:27.600 --> 00:01:29.600]  主啊求祢引導我們
[00:01:29.600 --> 00:01:30.640]  施下聖靈
[00:01:30.640 --> 00:01:32.640]  讓我們明白祢的真道
