
[00:00:00.000 --> 00:00:03.740]  各位大英主媒平安 早晨
[00:00:03.740 --> 00:00:09.920]  在這裡祝賀教會三十五年裏在上帝的恩典裏面
[00:00:09.920 --> 00:00:11.840]  一路一路的成長
[00:00:11.840 --> 00:00:16.600]  昨晚我都有參與這個慶典 很開心
[00:00:16.600 --> 00:00:20.240]  很開心看到很多過往的生活的片段
[00:00:20.240 --> 00:00:23.880]  上帝有很多的恩典在我們當中
[00:00:23.880 --> 00:00:31.640]  今天早上為大家講一個猜拳的主日
[00:00:31.640 --> 00:00:37.840]  思想的主題就是「豈不知神閣臨近了嗎?」
[00:00:37.840 --> 00:00:41.160]  是一個問題來的 是吧
[00:00:41.160 --> 00:00:43.160]  主題是一個問題來的
[00:00:43.160 --> 00:00:47.840]  這段經文相信大家都看過很多次
[00:00:47.840 --> 00:00:50.880]  都希望如果你有手機或者紙板聖經
[00:00:50.880 --> 00:00:54.640]  可以跟我們回到老家的第十章看經文
[00:00:54.640 --> 00:00:56.960]  不過開始講到之前
[00:00:56.960 --> 00:00:59.240]  我自己有一個反省
[00:00:59.240 --> 00:01:02.400]  如果有一天
[00:01:02.400 --> 00:01:05.480]  無論你做夢還是發生什麼事
[00:01:05.480 --> 00:01:10.560]  你突然覺得主耶穌問你一個問題
[00:01:10.560 --> 00:01:12.880]  「你信了耶穌多少年?」
[00:01:12.880 --> 00:01:15.400]  「你信了我多少年?」
[00:01:15.400 --> 00:01:20.200]  「你豈不知神的國已經臨近了嗎?」
[00:01:20.200 --> 00:01:24.160]  如果你真的有這樣的經歷的時候
[00:01:24.160 --> 00:01:27.280]  你會有什麼回應
[00:01:27.280 --> 00:01:28.640]  有什麼反應
[00:01:28.640 --> 00:01:33.480]  「豈不知神的國已經臨近了嗎?」
[00:01:33.480 --> 00:01:37.480]  所以今天這個主題其實都不是我編出來的
[00:01:37.480 --> 00:01:39.200]  是聖經最後來講
[00:01:39.200 --> 00:01:41.000]  老家這段經文裡面
[00:01:41.000 --> 00:01:44.840]  一個很鄭重的提醒
[00:01:44.840 --> 00:01:48.040]  如果你有聖經你就看到在老家的第十章結尾
[00:01:48.040 --> 00:01:50.880]  十二節的地方 十一節的地方都看到
[00:01:50.880 --> 00:01:52.040]  這個問題
[00:01:52.040 --> 00:01:55.000]  耶穌是在問誰
[00:01:55.000 --> 00:01:58.240]  大家知不知道
[00:01:58.240 --> 00:02:01.600]  在問教會
[00:02:01.600 --> 00:02:04.240]  所以很特別的一個結尾
[00:02:04.240 --> 00:02:05.680]  整段的經文
[00:02:05.680 --> 00:02:07.520]  是一個差派的經文
[00:02:07.520 --> 00:02:10.000]  講的是要報平安的經文
[00:02:10.000 --> 00:02:13.160]  結果問題是轉回教會的身上
[00:02:13.160 --> 00:02:14.920]  問教會
[00:02:14.920 --> 00:02:17.480]  你們應該知道
[00:02:17.480 --> 00:02:20.720]  神的國臨近了
[00:02:20.720 --> 00:02:23.280]  我們做一個簡單的祈禱
[00:02:23.280 --> 00:02:25.400]  天父我們為了祢自己的國臨近
[00:02:25.400 --> 00:02:26.360]  我們去謝恩
[00:02:26.360 --> 00:02:28.800]  願祢的國去降臨
[00:02:28.800 --> 00:02:30.920]  願祢的旨意去成就
[00:02:30.920 --> 00:02:33.280]  在地若天 奉耶穌名祈禱
[00:02:33.280 --> 00:02:34.640]  阿們
[00:02:34.640 --> 00:02:37.680]  如果你有聖經在手機和手機都好
[00:02:37.680 --> 00:02:39.680]  靜音我們打開老家去看
[00:02:39.680 --> 00:02:41.200]  和我們一起去看
[00:02:41.200 --> 00:02:42.760]  雖然都有 PowerPoint
[00:02:42.760 --> 00:02:47.040]  我想這本聖經其實看的機會會比較清楚
[00:02:47.040 --> 00:02:50.240]  是前文後理
[00:02:50.240 --> 00:02:54.920]  第十章的地方開始是說耶穌是差派七十個人
[00:02:54.920 --> 00:02:55.800]  或者七十二個人
[00:02:55.800 --> 00:02:59.200]  這裡不再多說究竟是多少人
[00:02:59.200 --> 00:03:03.760]  反正人數和第九章的第一節
[00:03:03.760 --> 00:03:06.200]  如果你找回第九章的第一節
[00:03:06.200 --> 00:03:08.640]  是差了多少人
[00:03:08.640 --> 00:03:10.520]  十二個人
[00:03:10.520 --> 00:03:13.200]  這個十二個人在原本的文字來說
[00:03:13.200 --> 00:03:14.920]  是沒有記載十二個什麼人
[00:03:14.920 --> 00:03:19.200]  不過我們知道耶穌是揀選了十二個使徒
[00:03:19.200 --> 00:03:20.760]  沒多久
