
[00:00:00.000 --> 00:00:01.480]  大家好 節目早上好
[00:00:01.480 --> 00:00:04.600]  未講到之前我們有一個熱身活動
[00:00:04.600 --> 00:00:06.120]  但不是一個遊戲
[00:00:06.120 --> 00:00:08.800]  這個活動是幫你想一件事
[00:00:08.800 --> 00:00:10.600]  我們今天讀這節金句
[00:00:10.600 --> 00:00:12.360]  即是考考你
[00:00:12.360 --> 00:00:14.000]  觀察能力
[00:00:14.000 --> 00:00:15.200]  這節金句
[00:00:15.200 --> 00:00:18.880]  在開頭和結尾有一個字眼
[00:00:18.880 --> 00:00:22.040]  有一段很短的語句
[00:00:22.040 --> 00:00:23.040]  是重複的
[00:00:23.040 --> 00:00:25.680]  我讀一次 你們試試看不看到
[00:00:25.680 --> 00:00:26.720]  聽著
[00:00:26.720 --> 00:00:30.160]  在愛裡會有懼怕
[00:00:30.160 --> 00:00:34.080]  完全的愛把懼怕驅逐出去
[00:00:34.080 --> 00:00:38.320]  因為懼怕裡含著懲罰
[00:00:38.320 --> 00:00:43.760]  懼怕的人在愛裡尚未得到圓滿
[00:00:43.760 --> 00:00:45.040]  看不看到
[00:00:45.040 --> 00:00:47.680]  有甚麼字眼在開頭和中間重複
[00:00:47.680 --> 00:00:50.920]  是做對比的
[00:00:50.920 --> 00:00:54.080]  懼怕就不是開頭
[00:00:54.080 --> 00:00:56.280]  是句句都有重複
[00:00:56.280 --> 00:00:59.760]  但是開頭和結尾強調
[00:00:59.760 --> 00:01:02.320]  這段有兩個可能性
[00:01:02.320 --> 00:01:05.040]  這段經文你們背的金句
[00:01:05.040 --> 00:01:07.240]  我希望今天有新朋友在當中
[00:01:07.240 --> 00:01:08.720]  你都一起思想一下
[00:01:08.720 --> 00:01:10.720]  其實讀聖經是很容易的
[00:01:10.720 --> 00:01:13.400]  很容易的意思是你用心去讀就可以
[00:01:13.400 --> 00:01:15.000]  但讀聖經也很難
[00:01:15.000 --> 00:01:16.840]  難的意思是你要讀很多次
[00:01:16.840 --> 00:01:18.320]  這節聖經有兩個主題
[00:01:18.320 --> 00:01:19.480]  一個主題是愛
[00:01:19.480 --> 00:01:20.840]  一個主題是懼怕
[00:01:20.840 --> 00:01:22.200]  我先考考你
[00:01:22.200 --> 00:01:23.120]  這個活動
[00:01:23.120 --> 00:01:24.960]  你和你旁邊那個就投票
[00:01:24.960 --> 00:01:26.040]  猜班戰鬥
[00:01:26.040 --> 00:01:27.120]  你說兩個不行
[00:01:27.120 --> 00:01:28.640]  找三個
[00:01:28.640 --> 00:01:30.120]  這節經文的主題
[00:01:30.120 --> 00:01:32.800]  說愛還是說懼怕
