
[00:00:00.000 --> 00:00:03.920]  基天第一講 下個禮拜會第二講
[00:00:03.920 --> 00:00:09.640]  離開痛苦的開端
[00:00:09.640 --> 00:00:13.960]  有一對夫婦在大學五週年的舊生聚會裏面
[00:00:13.960 --> 00:00:17.200]  他們一起去這個聚會參與
[00:00:17.200 --> 00:00:20.600]  他太太整天看著一個男士喝酒
[00:00:20.600 --> 00:00:24.200]  有些醉意 一個人獨自坐在桌上
[00:00:24.200 --> 00:00:27.400]  不停地看著他 於是老公就問他
[00:00:27.400 --> 00:00:30.480]  你認不認識他 為甚麼整天看著他
[00:00:30.480 --> 00:00:36.680]  這個太太就嘆了一口很長的氣
[00:00:36.680 --> 00:00:40.200]  其實就是因為你 幾年前我跟他分手
[00:00:40.200 --> 00:00:46.320]  想不到這麼多年後 他還仍然獨自喝酒
[00:00:46.320 --> 00:00:50.520]  於是她老公聽了之後就有些大反應
[00:00:50.520 --> 00:00:54.160]  想不到一個人跟你離開了 分手之後
[00:00:54.160 --> 00:00:58.080]  可以慶祝五年這麼久
[00:00:58.080 --> 00:01:02.040]  究竟甚麼是苦 甚麼才是好 有時是觀點角度
[00:01:02.040 --> 00:01:05.480]  有甚麼準備才離開這個苦 都很難說
[00:01:05.480 --> 00:01:07.360]  有兩個朋友去旅行
[00:01:07.360 --> 00:01:09.480]  去旅行的時候 去到晚上
[00:01:09.480 --> 00:01:12.680]  他說今天真的很累了 明天要去另一個市鎮玩
[00:01:12.680 --> 00:01:14.960]  所以我們還是要快點找一間酒店
[00:01:14.960 --> 00:01:17.400]  去到酒店已經是晚上十二時了
[00:01:17.400 --> 00:01:21.040]  撞進去的時候就問酒店有沒有房間
[00:01:21.040 --> 00:01:27.320]  酒店的接待員就說有 剩下一間在60樓
[00:01:27.320 --> 00:01:29.560]  你要不要 他就說要
[00:01:29.560 --> 00:01:33.240]  不過剛剛我們的電梯休息 要維修
[00:01:33.240 --> 00:01:35.160]  三個小時 十二時到三時
[00:01:35.160 --> 00:01:37.880]  如果你要的話 你要走上去
[00:01:37.880 --> 00:01:40.880]  兩個網民走上去 今天很累了
[00:01:40.880 --> 00:01:43.280]  但是周圍又沒有其他酒店
[00:01:43.280 --> 00:01:44.880]  於是他說好吧
[00:01:44.880 --> 00:01:47.600]  走上去了 拿著疲乏的身軀
[00:01:47.600 --> 00:01:50.680]  走到20樓 其中甲和乙說
[00:01:50.680 --> 00:01:53.000]  真的很累 沒力氣了
[00:01:53.000 --> 00:01:56.040]  乙就說不要說話了 繼續走
