
[00:00:00.000 --> 00:00:07.440]  大家好,今天是2021年我第一次在敬拜當中和大家見面
[00:00:07.440 --> 00:00:11.160]  在這裡我先恭祝大家身體健康
[00:00:11.160 --> 00:00:14.640]  在新一年裡面可以時時看到上帝給你的祝福
[00:00:14.640 --> 00:00:17.880]  以及怎樣去引導你前面的道路
[00:00:17.880 --> 00:00:23.400]  現在其實我們仍然要在網上做敬拜
[00:00:23.400 --> 00:00:25.080]  每個人在自己家裡面
[00:00:25.080 --> 00:00:28.120]  只要你能夠打開你們的視頻
[00:00:28.120 --> 00:00:30.800]  我們就能夠在星期日的時候見到面
[00:00:30.800 --> 00:00:33.640]  所以很多時候,特別我如果有機會
[00:00:33.640 --> 00:00:37.720]  在網上做一些現場敬拜的時候
[00:00:37.720 --> 00:00:40.960]  其實我都會鼓勵大家打開視頻,為什麼呢?
[00:00:40.960 --> 00:00:43.360]  因為我希望看到大家的樣子
[00:00:43.360 --> 00:00:47.360]  看到你開心地看著我笑,我更加高興
[00:00:47.360 --> 00:00:52.280]  而且也可以看到大家聽到時候的反應
[00:00:52.280 --> 00:00:54.640]  感謝主,到現在為止
[00:00:54.640 --> 00:00:59.720]  我還沒有誰是我在敬拜的時候不想見到的
[00:00:59.720 --> 00:01:01.720]  不過如果你問我
[00:01:01.720 --> 00:01:08.200]  牧師,有沒有哪一個你是在敬拜的時候特別想見到的呢?
[00:01:08.200 --> 00:01:11.880]  如果你問我的話,我相信我告訴你
[00:01:11.880 --> 00:01:14.960]  我的理智就會告訴你
[00:01:14.960 --> 00:01:17.800]  我最想見到的是什麼?就是上帝
[00:01:17.800 --> 00:01:21.160]  不過我心裡面講真實的說話告訴你
[00:01:21.160 --> 00:01:23.560]  很多時候其實我們來敬拜的時候
[00:01:23.560 --> 00:01:29.360]  都沒有準備好希望能夠在敬拜當中見到上帝
[00:01:29.360 --> 00:01:32.840]  但事實上,我們是否能夠見到上帝呢?
[00:01:32.840 --> 00:01:35.640]  大家沒有想著來敬拜的時候可以見到上帝
[00:01:35.640 --> 00:01:39.000]  我們是否真的可以見到上帝呢?
[00:01:39.000 --> 00:01:41.400]  如果你有追究問題來問我的話
[00:01:41.400 --> 00:01:43.920]  我給大家的答案是什麼呢?
[00:01:43.920 --> 00:01:48.240]  是可以的,但與此同時也是不可以的
[00:01:48.240 --> 00:01:51.000]  為什麼我會這樣講呢?
[00:01:51.000 --> 00:01:55.600]  因為在聖經裡面告訴我們
[00:01:55.600 --> 00:01:59.840]  其實摩西也曾經想見上帝的樣子
[00:01:59.840 --> 00:02:02.680]  如果大家記得摩西河列山裡面
[00:02:02.680 --> 00:02:04.280]  上帝跟他講說話
[00:02:04.280 --> 00:02:09.960]  他跟上帝說:主啊,如果祢能夠讓我見到祢的樣子
[00:02:09.960 --> 00:02:13.640]  見到祢的榮耀就好了
[00:02:13.640 --> 00:02:17.480]  那麼上帝是怎樣回答摩西的呢?
[00:02:17.480 --> 00:02:23.240]  我們先看看《捉迦及記》第三十三章十九和二十節
[00:02:23.240 --> 00:02:25.440]  第三十三章十九節怎樣說呢?
[00:02:25.440 --> 00:02:29.200]  又說:我要顯示我一切的美善
[00:02:29.200 --> 00:02:30.880]  在祢的面前經過
[00:02:30.880 --> 00:02:35.600]  就是說你會見到很多我所做的美的事、善的事
[00:02:35.600 --> 00:02:37.840]  偉大的事、奇妙的作為
[00:02:37.840 --> 00:02:40.280]  接著二十節上帝又說
[00:02:40.280 --> 00:02:42.920]  只是祢不能看見我的面
[00:02:42.920 --> 00:02:47.120]  因為沒有人看見我還可以存活
[00:02:47.120 --> 00:02:49.920]  所以我告訴大家
[00:02:49.920 --> 00:02:51.640]  我們是可以見到上帝的
[00:02:51.640 --> 00:02:53.200]  但是又不見到
[00:02:53.200 --> 00:02:54.440]  什麼意思呢?
[00:02:54.440 --> 00:02:59.200]  原來我們用我們的肉眼是不可以見到上帝的樣子的
[00:02:59.200 --> 00:03:01.520]  因為上帝講得很清楚
[00:03:01.520 --> 00:03:02.920]  你見到我的時候會死的
