
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹、各位朋友,早安!
[00:00:02.000 --> 00:00:02.800]  早安!
[00:00:02.800 --> 00:00:06.400]  很高興再一次回到廣福堂和大家見面
[00:00:06.400 --> 00:00:08.400]  我們先有個祈禱
[00:00:08.400 --> 00:00:11.800]  天父,我們將以下時間帶到恩主的面前
[00:00:11.800 --> 00:00:15.000]  求祢幫助我們能夠明白祢的心
[00:00:15.000 --> 00:00:17.500]  又能夠回應祢的心意
[00:00:17.500 --> 00:00:20.000]  幫助我們聽的、說的
[00:00:20.000 --> 00:00:23.000]  都能夠清清楚楚、明明白白
[00:00:23.000 --> 00:00:25.500]  奉耶穌的名祈禱,阿們!
[00:00:25.500 --> 00:00:27.300]  在人生當中
[00:00:27.300 --> 00:00:29.900]  常常有一些事情是一生難忘的
[00:00:29.900 --> 00:00:33.200]  無論小時候或是長大後
[00:00:33.200 --> 00:00:35.700]  都有些事情是我們永遠都會記得的
[00:00:35.700 --> 00:00:37.700]  在我人生中讀書的過程中
[00:00:37.700 --> 00:00:39.700]  有一件事我一直都會記得
[00:00:39.700 --> 00:00:41.700]  常常有時候都會和朋友提出
[00:00:41.700 --> 00:00:43.200]  就是我一次的考試
[00:00:43.200 --> 00:00:44.700]  而一次考試的時候
[00:00:44.700 --> 00:00:46.700]  其實考試是很簡單的
[00:00:46.700 --> 00:00:48.200]  試卷只有一張紙
[00:00:48.200 --> 00:00:49.700]  十條問題每條一分
[00:00:49.700 --> 00:00:51.200]  加起來是多少分?
[00:00:51.200 --> 00:00:53.200]  十分!答完就十分!
[00:00:53.200 --> 00:00:55.200]  於是我就很用心去做
[00:00:55.200 --> 00:00:57.200]  我記得考試一個小時
[00:00:57.200 --> 00:00:59.200]  用了大概三十五分鐘左右
[00:00:59.200 --> 00:01:00.700]  我就已經做完了
[00:01:00.700 --> 00:01:02.700]  做完之後就重複再看
[00:01:02.700 --> 00:01:04.700]  再想、再改
[00:01:04.700 --> 00:01:06.700]  就用了差不多十多分鐘
[00:01:06.700 --> 00:01:09.200]  差不多還有五分鐘收卷
[00:01:09.200 --> 00:01:12.200]  我看完之後覺得這份卷真的做得太好了
[00:01:12.200 --> 00:01:14.200]  真的沒試過考得這麼好
[00:01:14.200 --> 00:01:16.200]  心裡面真的非常平安
[00:01:16.200 --> 00:01:18.200]  一直看,看同學們還在寫
[00:01:18.200 --> 00:01:20.200]  哪有人這麼蠢的
[00:01:20.200 --> 00:01:22.700]  這麼容易的試卷怎麼還沒寫完呢?
[00:01:22.700 --> 00:01:24.700]  還在頭暈,眼睛濕濕的
[00:01:24.700 --> 00:01:25.700]  我就看到他們
[00:01:25.700 --> 00:01:28.700]  我覺得這次我真的很順利、很開心、很平安
[00:01:28.700 --> 00:01:31.700]  於是先生就說五分鐘收卷
[00:01:31.700 --> 00:01:33.700]  請大家準備交卷
[00:01:33.700 --> 00:01:35.700]  拿著那張卷
[00:01:35.700 --> 00:01:37.700]  寫好了,翻轉一頁
[00:01:37.700 --> 00:01:39.700]  後面還有一條
[00:01:39.700 --> 00:01:42.700]  這一條是九十分的
[00:01:42.700 --> 00:01:44.700]  因為是短文體
[00:01:44.700 --> 00:01:46.700]  SA Type Question
[00:01:46.700 --> 00:01:48.700]  前面十條十分
[00:01:48.700 --> 00:01:51.700]  我一剎那的平安完全消失
[00:01:51.700 --> 00:01:53.700]  真的可以說
[00:01:53.700 --> 00:01:55.700]  眼淚、汗都流出來了
[00:01:55.700 --> 00:01:56.700]  我都沒辦法
[00:01:56.700 --> 00:01:58.700]  我說後面為什麼還有一條呢?
[00:01:58.700 --> 00:02:00.700]  原來還有一條
[00:02:00.700 --> 00:02:03.700]  有時候人們覺得他人生當中很平安
[00:02:03.700 --> 00:02:04.700]  他以為他有平安
[00:02:04.700 --> 00:02:07.700]  但有平安不一定有平安
[00:02:07.700 --> 00:02:10.700]  因為有的平安不一定是真平安
[00:02:10.700 --> 00:02:11.700]  不一定是真平安
[00:02:11.700 --> 00:02:14.700]  兩句話我慢慢講給大家聽
[00:02:14.700 --> 00:02:18.700]  人很聰明,可以以假亂真
[00:02:18.700 --> 00:02:21.700]  人很聰明,可以掩著良心
[00:02:21.700 --> 00:02:23.700]  明白嗎?
[00:02:23.700 --> 00:02:25.700]  人很聰明,可以以假亂真
[00:02:25.700 --> 00:02:27.700]  因為其實不是真的平安
[00:02:27.700 --> 00:02:29.700]  但他當了是
[00:02:29.700 --> 00:02:30.700]  以為這樣就可以了
[00:02:30.700 --> 00:02:31.700]  這樣就擁有
[00:02:31.700 --> 00:02:34.700]  人很聰明,有時掩著良心
[00:02:34.700 --> 00:02:36.700]  其實他不應該平安的
[00:02:36.700 --> 00:02:38.700]  但他又覺得很平安
[00:02:38.700 --> 00:02:40.700]  以假當真
[00:02:40.700 --> 00:02:42.700]  不會假的變真的
[00:02:42.700 --> 00:02:45.700]  以無為有,又不會無的變有
[00:02:45.700 --> 00:02:46.700]  只是自欺欺人
[00:02:46.700 --> 00:02:48.700]  其實平安很重要
[00:02:48.700 --> 00:02:51.700]  人家說千金難買真平安
[00:02:51.700 --> 00:02:53.700]  每一年新年願望都問人
[00:02:53.700 --> 00:02:55.700]  你希望甚麼
[00:02:55.700 --> 00:02:56.700]  現在最多人說的是甚麼
[00:02:56.700 --> 00:02:58.700]  新年最希望甚麼
[00:02:58.700 --> 00:03:00.700]  身體健康
[00:03:00.700 --> 00:03:02.700]  接著呢
[00:03:02.700 --> 00:03:04.700]  世界和平
