
[00:00:00.000 --> 00:00:02.000]  今天我的主題是我們的福氣
[00:00:02.000 --> 00:00:05.000]  我們是神國軍隊
[00:00:05.000 --> 00:00:08.000]  那在這一段經文當中呢
[00:00:08.000 --> 00:00:09.000]  以前我讀這段經文
[00:00:09.000 --> 00:00:10.000]  常有很多的疑惑
[00:00:10.000 --> 00:00:11.000]  為什麼呢
[00:00:11.000 --> 00:00:13.000]  因為這段經文的背景就是
[00:00:13.000 --> 00:00:15.000]  以色列人剛剛出了埃及
[00:00:15.000 --> 00:00:19.000]  他們遭遇了過紅海的危機
[00:00:19.000 --> 00:00:20.000]  然後呢
[00:00:20.000 --> 00:00:23.000]  接著他們就遭遇缺少糧食的危機
[00:00:23.000 --> 00:00:26.000]  後來又遭遇缺少水的危機
[00:00:26.000 --> 00:00:29.000]  在重重危機的當中
[00:00:29.000 --> 00:00:31.000]  官官難過官官過
[00:00:31.000 --> 00:00:33.000]  每一次都逆轉勝
[00:00:33.000 --> 00:00:34.000]  但是呢
[00:00:34.000 --> 00:00:37.000]  來到這一段經文的時候呢
[00:00:37.000 --> 00:00:39.000]  他們出了埃及
[00:00:39.000 --> 00:00:41.000]  他們來到西乃的曠野
[00:00:41.000 --> 00:00:44.000]  在曠野當中他們什麼人都不認識
[00:00:44.000 --> 00:00:47.000]  可是莫名其妙的就有一個族群
[00:00:47.000 --> 00:00:49.000]  叫做亞馬利人
[00:00:49.000 --> 00:00:51.000]  那這個亞馬利人呢
[00:00:51.000 --> 00:00:54.000]  聖經從來也沒記載過
[00:00:54.000 --> 00:00:55.000]  突然之間呢
[00:00:55.000 --> 00:00:58.000]  就來跟以色列人征戰
[00:00:58.000 --> 00:01:00.000]  但是無冤無仇
[00:01:00.000 --> 00:01:03.000]  真是叫做無辜受禍
[00:01:03.000 --> 00:01:06.000]  那我就不明白
[00:01:06.000 --> 00:01:11.000]  為什麼神要允許以色列百姓
[00:01:11.000 --> 00:01:14.000]  他們要遇到這樣一場征戰
[00:01:14.000 --> 00:01:15.000]  因為呢
[00:01:15.000 --> 00:01:18.000]  以色列百姓他們沒有受過任何的軍事訓練
[00:01:18.000 --> 00:01:21.000]  他們在埃及的時候是做奴隸的
[00:01:21.000 --> 00:01:22.000]  做奴隸的
[00:01:22.000 --> 00:01:23.000]  那但是呢
[00:01:23.000 --> 00:01:25.000]  後來我閱讀這段聖經
[00:01:25.000 --> 00:01:28.000]  我越明白一件事情
[00:01:28.000 --> 00:01:30.000]  就是呢
[00:01:30.000 --> 00:01:33.000]  神要藉著這一場征戰呢
[00:01:33.000 --> 00:01:37.000]  來證明他們是神國軍隊
[00:01:37.000 --> 00:01:42.000]  在初埃及第十八章的八到九節
[00:01:42.000 --> 00:01:45.000]  那時亞馬利人來在菲律賓
[00:01:45.000 --> 00:01:47.000]  和以色列人征戰
[00:01:47.000 --> 00:01:48.000]  摩西對約書亞說
[00:01:48.000 --> 00:01:50.000]  你為我們選出人來出去
[00:01:50.000 --> 00:01:52.000]  和亞馬利人征戰
[00:01:52.000 --> 00:01:55.000]  明天我手裡要拿著神的杖站在山頂
[00:01:55.000 --> 00:01:58.000]  這兩節經文告訴我們三件事情
[00:01:58.000 --> 00:02:03.000]  來證明以色列百姓
[00:02:03.000 --> 00:02:06.000]  他們要成為神國的軍隊
[00:02:06.000 --> 00:02:07.000]  為什麼呢
[00:02:07.000 --> 00:02:08.000]  因為呢
[00:02:08.000 --> 00:02:11.000]  以色列百姓他們一直是做奴隸
[00:02:11.000 --> 00:02:12.000]  是很軟弱的
[00:02:12.000 --> 00:02:13.000]  是被瞧不起的
[00:02:13.000 --> 00:02:16.000]  他們內心自己也是非常的自卑
[00:02:16.000 --> 00:02:19.000]  他們的自我形象是很糟糕的
[00:02:19.000 --> 00:02:22.000]  那他們在困苦的當中呼求神
[00:02:22.000 --> 00:02:23.000]  呼求多久呢
[00:02:23.000 --> 00:02:24.000]  四百年
[00:02:24.000 --> 00:02:26.000]  所以我們可以想想看
[00:02:26.000 --> 00:02:28.000]  一個四百年受苦的百姓
[00:02:28.000 --> 00:02:30.000]  他有什麼自尊自信呢
[00:02:30.000 --> 00:02:31.000]  沒有
[00:02:31.000 --> 00:02:36.000]  他們的內化的核心身份
[00:02:36.000 --> 00:02:38.000]  是我不能我不行
[00:02:38.000 --> 00:02:39.000]  我軟弱
[00:02:39.000 --> 00:02:42.000]  他們沒有辦法征戰的
[00:02:42.000 --> 00:02:43.000]  但是呢
[00:02:43.000 --> 00:02:45.000]  所以當神呼召摩西
[00:02:45.000 --> 00:02:47.000]  要去領這群百姓出來
[00:02:47.000 --> 00:02:50.000]  摩西就領受呼召
[00:02:50.000 --> 00:02:51.000]  也回應了
[00:02:51.000 --> 00:02:55.000]  就去跟法老王要求要出埃及
[00:02:55.000 --> 00:02:59.000]  但遭受法老王嚴峻的拒絕
[00:02:59.000 --> 00:03:01.000]  摩西非常的沮喪
[00:03:01.000 --> 00:03:02.000]  因為呢
[00:03:02.000 --> 00:03:05.000]  他看看自己已經年紀老邁
[00:03:05.000 --> 00:03:06.000]  八十歲
[00:03:06.000 --> 00:03:08.000]  不過是個曠野牧羊人
[00:03:08.000 --> 00:03:12.000]  看看他要領出埃及的這群百姓
[00:03:12.000 --> 00:03:17.000]  是在苦難當中的奴隸
[00:03:17.000 --> 00:03:18.000]  怎麼領出去呢
[00:03:18.000 --> 00:03:20.000]  但是就在這個時候呢
[00:03:20.000 --> 00:03:23.000]  當摩西向神哭訴的時候呢
[00:03:23.000 --> 00:03:24.000]  神告訴摩西
[00:03:24.000 --> 00:03:26.000]  在出埃及記第六章
[00:03:26.000 --> 00:03:27.000]  你們可以自己去看
[00:03:27.000 --> 00:03:29.000]  就是神就告訴摩西說
[00:03:29.000 --> 00:03:31.000]  你要領的這一群以色列百姓
[00:03:31.000 --> 00:03:33.000]  他們是神國的軍隊
[00:03:33.000 --> 00:03:35.000]  他們有一個核心的身份
[00:03:35.000 --> 00:03:37.000]  隱藏在他們裡面
[00:03:37.000 --> 00:03:38.000]  是法老王不知道的
[00:03:38.000 --> 00:03:40.000]  他們是軍隊
[00:03:40.000 --> 00:03:43.000]  而且是耶和華的軍隊
[00:03:43.000 --> 00:03:46.000]  是神國的軍隊
[00:03:46.000 --> 00:03:49.000]  所以摩西從此他就改變
[00:03:49.000 --> 00:03:50.000]  他看以色列百姓
[00:03:50.000 --> 00:03:53.000]  他的內心改變
[00:03:53.000 --> 00:03:55.000]  他看自己他的內心改變
[00:03:55.000 --> 00:03:58.000]  因為他也是耶和華的軍隊
[00:03:58.000 --> 00:04:01.000]  所以他就從第六章以後的摩西
[00:04:01.000 --> 00:04:04.000]  跟第六章之前的摩西是叛若兩人
[00:04:04.000 --> 00:04:08.000]  他就勇敢的進入到法老王面前
[00:04:08.000 --> 00:04:10.000]  不論法老王對他多麼的嚴厲
[00:04:10.000 --> 00:04:12.000]  他都據理力爭
[00:04:12.000 --> 00:04:15.000]  靠著神終於把以色列百姓
[00:04:15.000 --> 00:04:17.000]  領出埃及
[00:04:17.000 --> 00:04:18.000]  但是以色列百姓
[00:04:18.000 --> 00:04:20.000]  他們還是不知道
[00:04:20.000 --> 00:04:22.000]  他們是神國的軍隊
[00:04:22.000 --> 00:04:24.000]  所以這個時候呢
[00:04:24.000 --> 00:04:27.000]  神就藉著跟亞馬利的征戰
[00:04:27.000 --> 00:04:30.000]  來顯出他們軍隊的身份出來
[00:04:30.000 --> 00:04:33.000]  所以就讓他們遇見亞馬利人
[00:04:33.000 --> 00:04:36.000]  來菲律賓跟他們作戰
[00:04:36.000 --> 00:04:39.000]  那接著第二件事情呢
[00:04:39.000 --> 00:04:41.000]  就是摩西就要約書亞
[00:04:41.000 --> 00:04:43.000]  去選出一些人來征戰
[00:04:43.000 --> 00:04:45.000]  所以我們知道說
[00:04:45.000 --> 00:04:48.000]  神國的軍隊是被卷選出來的
[00:04:48.000 --> 00:04:50.000]  那還有第三件事情呢
[00:04:50.000 --> 00:04:53.000]  就是摩西說明天我手裡要拿著
[00:04:53.000 --> 00:04:55.000]  神的杖站在山頂
[00:04:55.000 --> 00:04:57.000]  原來征戰不只是說
[00:04:57.000 --> 00:04:59.000]  把一群人選出來
[00:04:59.000 --> 00:05:03.000]  要為這一群選出來的人負責任
[00:05:03.000 --> 00:05:06.000]  就是要到山上去
[00:05:06.000 --> 00:05:08.000]  站在山頂
[00:05:08.000 --> 00:05:11.000]  拿著神的杖站在山頂上
[00:05:11.000 --> 00:05:13.000]  那這什麼意思呢
[00:05:13.000 --> 00:05:16.000]  這就是要依靠神來征戰
[00:05:16.000 --> 00:05:19.000]  所以神國軍隊身份的證明呢
[00:05:19.000 --> 00:05:25.000]  第一項就是告訴我們呢
[00:05:25.000 --> 00:05:27.000]  那這件事情呢
[00:05:27.000 --> 00:05:30.000]  對以色列百姓是顯出
[00:05:30.000 --> 00:05:32.000]  他們神國軍隊的身份
[00:05:32.000 --> 00:05:34.000]  其實就是告訴我們
[00:05:34.000 --> 00:05:37.000]  我們這一群信耶穌的人
[00:05:37.000 --> 00:05:39.000]  我們的核心身份
[00:05:39.000 --> 00:05:41.000]  有一個核心身份
[00:05:41.000 --> 00:05:43.000]  我們是神國的軍隊
