
[00:00:00.000 --> 00:00:01.800]  好,各位弟兄姊妹,平安啊!
[00:00:01.800 --> 00:00:03.200]  弟兄姊妹,平安!
[00:00:03.200 --> 00:00:05.080]  我們今天會去看
[00:00:05.080 --> 00:00:08.560]  《馬太福音》第六章的經文
[00:00:08.560 --> 00:00:11.760]  今天我們看《馬太福音》第六章的經文
[00:00:11.760 --> 00:00:14.840]  或者我們也可以重溫一下
[00:00:14.840 --> 00:00:18.160]  第五章至第七章的脈絡
[00:00:18.160 --> 00:00:21.760]  我們可以重溫一下第五章到第七章的段落
[00:00:21.760 --> 00:00:26.120]  第五章至第七章是耶穌在山上給人的教訓
[00:00:26.120 --> 00:00:29.600]  這個段經文是耶穌在山上給人的教訓
[00:00:29.600 --> 00:00:33.080]  稱之為登山寶訓
[00:00:33.080 --> 00:00:35.920]  登山寶訓一開始耶穌就用
[00:00:35.920 --> 00:00:37.520]  「天國八福」
[00:00:37.520 --> 00:00:39.920]  一些結構相似的字句
[00:00:39.920 --> 00:00:43.320]  去重建當時世人的價值觀
[00:00:43.320 --> 00:00:53.600]  建立價值觀之後
[00:00:53.600 --> 00:00:54.600]  耶穌就說
[00:00:54.600 --> 00:00:56.040]  信徒是世上的鹽
[00:00:56.040 --> 00:00:57.160]  世上的光
[00:00:57.160 --> 00:00:59.520]  要有好的行為
[00:00:59.600 --> 00:01:03.120]  然後耶穌就用世上的鹽和世上的光
[00:01:03.120 --> 00:01:04.960]  叫信徒要有好的行為
[00:01:04.960 --> 00:01:07.360]  至於好的行為其實是有個指標的
[00:01:07.360 --> 00:01:09.760]  這個指標就是要信徒完全
[00:01:09.760 --> 00:01:11.680]  好象天父完全一樣
[00:01:11.680 --> 00:01:15.360]  意思是叫我們要體恤憐憫身邊的人
[00:01:15.360 --> 00:01:17.840]  好行為是有一個指標
[00:01:17.840 --> 00:01:20.120]  就是要信徒完成
[00:01:20.120 --> 00:01:22.360]  像你們的天父要完全一樣
[00:01:22.360 --> 00:01:23.920]  來到這裡
[00:01:23.920 --> 00:01:28.280]  如果以剛才所講的歸納成為一個小段落
[00:01:28.280 --> 00:01:30.840]  之後開始今天的經文
[00:01:30.840 --> 00:01:34.520]  我們就會看到一個主題上的轉向
[00:01:34.520 --> 00:01:46.000]  因為耶穌用上一個之前沒有用的字眼
[00:01:46.000 --> 00:01:48.440]  叫做「假冒為善」
[00:01:48.440 --> 00:01:56.120]  假冒為善和好行為是有很大的關係
[00:01:59.240 --> 00:02:02.720]  是的 耶穌叫信徒有好的行為
[00:02:02.720 --> 00:02:11.040]  但是好的行為是可以出於一個偏差的焦點
[00:02:11.040 --> 00:02:16.760]  就是我去做好行為
[00:02:16.760 --> 00:02:20.680]  我可以為了做給別人看見
[00:02:20.680 --> 00:02:28.240]  要人看見因為我想得益處
[00:02:28.240 --> 00:02:30.800]  要人看見因為我想得益處
