
[00:00:00.000 --> 00:00:01.480]  在過去幾年裡面
[00:00:01.480 --> 00:00:02.920]  我在《諸約崇拜》裡面
[00:00:02.920 --> 00:00:05.720]  先後講過《舊約聖經》裡面的不同經卷
[00:00:05.720 --> 00:00:07.400]  包括了《文素記》
[00:00:07.400 --> 00:00:08.680]  《約書亞記》
[00:00:08.680 --> 00:00:09.600]  《事司記》
[00:00:09.600 --> 00:00:11.200]  還有《獵王》的系列
[00:00:11.200 --> 00:00:13.560]  但是為了2014年
[00:00:13.560 --> 00:00:15.920]  我就會跟大家來講到
[00:00:15.920 --> 00:00:17.360]  《新約聖經》裡面
[00:00:17.360 --> 00:00:19.640]  我主要會講到耶穌基督
[00:00:19.640 --> 00:00:21.920]  在《聖經》裡面的教導
[00:00:21.920 --> 00:00:24.240]  在《聖經》裡面
[00:00:24.240 --> 00:00:26.440]  有很多關於耶穌基督的教導
[00:00:26.440 --> 00:00:29.640]  譬如很多人都認識的登山補訓
[00:00:29.800 --> 00:00:31.880]  又或者耶穌基督對天國
[00:00:31.880 --> 00:00:33.760]  講過很多不同的比喻
[00:00:33.760 --> 00:00:35.040]  還有對門徒
[00:00:35.040 --> 00:00:36.880]  提過很多不同的教導
[00:00:36.880 --> 00:00:38.840]  不過在《讓方》裡面
[00:00:38.840 --> 00:00:39.640]  有一些的
[00:00:39.640 --> 00:00:42.160]  就是寄述耶穌的教導是相當特別的
[00:00:42.160 --> 00:00:43.760]  在《讓方》裡面
[00:00:43.760 --> 00:00:47.240]  主耶穌基督曾經七次提到"我是"
[00:00:47.240 --> 00:00:49.760]  而這個"我是"的講論
[00:00:49.760 --> 00:00:52.800]  也是約翰神學裡面一個很重要的主題
[00:00:52.800 --> 00:00:55.680]  就因為這個這麼重要的主題
[00:00:55.680 --> 00:00:58.040]  所以我也會在這段日子裡面
[00:00:58.040 --> 00:01:00.280]  跟大家講到這些的經文
[00:01:00.280 --> 00:01:02.200]  這七次的"我是"
[00:01:02.200 --> 00:01:03.160]  包括了
[00:01:03.160 --> 00:01:04.800]  "我是生命的糧"
[00:01:04.800 --> 00:01:06.960]  "我是世界的光"
[00:01:06.960 --> 00:01:08.640]  "我是羊的門"
[00:01:08.640 --> 00:01:10.200]  "我是好牧人"
[00:01:10.200 --> 00:01:11.760]  "我是復活"
[00:01:11.760 --> 00:01:13.920]  和我本來要做"復活在我"
[00:01:13.920 --> 00:01:16.680]  "我是道路、真理、生命"
[00:01:16.680 --> 00:01:19.200]  還有"我是真葡萄樹"
[00:01:19.200 --> 00:01:22.840]  我選擇了在講述耶穌基督的教導之前
[00:01:22.840 --> 00:01:24.120]  首先就從
[00:01:24.120 --> 00:01:26.960]  《讓方》裡面提到的這七個"我是"的經文
[00:01:26.960 --> 00:01:28.240]  作為開始
[00:01:28.240 --> 00:01:31.000]  我稱之為"我是"的系列
[00:01:31.000 --> 00:01:33.120]  而今天是"我是"系列的第一講
[00:01:33.120 --> 00:01:34.240]  所講的就是
[00:01:34.240 --> 00:01:36.160]  "我是生命的糧"
[00:01:36.160 --> 00:01:38.600]  讓我們先在神面前有禱告吧
[00:01:38.600 --> 00:01:43.080]  請主我們求祢
[00:01:43.080 --> 00:01:44.880]  將生命的糧賜給我們
[00:01:44.880 --> 00:01:47.320]  讓我們愛慕祢
[00:01:47.320 --> 00:01:50.360]  讓祢的生命充滿我們的生命
[00:01:50.360 --> 00:01:53.240]  使我們生命流露基督祢的榮美
[00:01:53.240 --> 00:01:54.920]  奉耶穌基督名求
[00:01:57.600 --> 00:02:00.280]  主耶穌基督講到"我是生命的糧"
[00:02:00.280 --> 00:02:02.280]  這裡是有一個背景的
[00:02:02.280 --> 00:02:03.600]  這個背景就是
[00:02:03.600 --> 00:02:07.040]  耶穌基督是在五餅二魚這個神蹟之後
[00:02:07.040 --> 00:02:08.880]  祂才講到這個真理
[00:02:08.880 --> 00:02:11.280]  五餅二魚的神蹟
[00:02:11.280 --> 00:02:13.280]  是四方書裡面
[00:02:13.280 --> 00:02:14.680]  唯一一個神蹟
[00:02:14.680 --> 00:02:16.960]  四卷方書都有提到的
[00:02:16.960 --> 00:02:18.480]  都有詳細的記述
[00:02:18.480 --> 00:02:20.360]  五餅二魚的神蹟
[00:02:20.360 --> 00:02:22.000]  發生在逾節之前
[00:02:22.000 --> 00:02:24.320]  在加利利海的旁邊
[00:02:24.840 --> 00:02:28.440]  今天如果你有機會去聖地裡面進行考察
[00:02:28.440 --> 00:02:30.560]  在加利利海的旁邊
[00:02:30.560 --> 00:02:33.600]  有一座教堂叫做五餅二魚堂
[00:02:33.600 --> 00:02:35.400]  據說就是當年
[00:02:35.400 --> 00:02:36.840]  耶穌基督在那裡
[00:02:36.840 --> 00:02:39.320]  行了這個五餅二魚的神蹟
[00:02:39.320 --> 00:02:41.760]  聖經的記述
[00:02:41.760 --> 00:02:43.560]  就是當時有很多的人
[00:02:43.560 --> 00:02:44.680]  很多的百姓
[00:02:44.680 --> 00:02:47.280]  因為見到耶穌基督行了不同的神蹟
[00:02:47.280 --> 00:02:49.720]  他們就來跟從耶穌基督
[00:02:49.720 --> 00:02:51.840]  按照馬太福音的記述
[00:02:52.080 --> 00:02:55.360]  在主耶穌教導完所有的百姓之後
[00:02:55.360 --> 00:02:57.720]  大概在黃昏的時候
[00:02:57.720 --> 00:03:01.000]  主耶穌就行了這個五餅二魚的神蹟
[00:03:01.000 --> 00:03:03.640]  當時天已經開始黑了
[00:03:03.640 --> 00:03:05.920]  門徒就來提醒耶穌基督
[00:03:05.920 --> 00:03:08.320]  叫祂要吩咐眾人散開
[00:03:08.320 --> 00:03:11.360]  好讓眾人可以去到附近的村落那裡
[00:03:11.360 --> 00:03:14.280]  來各自尋找食物和借宿
[00:03:14.280 --> 00:03:16.800]  但是主耶穌的回應
[00:03:16.800 --> 00:03:19.640]  令到當時的門徒很驚訝
[00:03:19.960 --> 00:03:23.000]  馬太福音十四章十六字那裡耶穌這樣說
[00:03:23.000 --> 00:03:25.000]  祂說不用他們去
[00:03:25.000 --> 00:03:27.240]  你們給他們吃吧
[00:03:27.240 --> 00:03:29.640]  如果你是當時的門徒
[00:03:29.640 --> 00:03:31.880]  聽到耶穌這樣來吩咐的時候
[00:03:31.880 --> 00:03:33.280]  你會有什麼反應呢?
[00:03:33.280 --> 00:03:36.960]  面對著主耶穌基督給門徒的這個考試
