
[00:00:00.000 --> 00:00:02.000]  叫我們這段經文
[00:00:02.000 --> 00:00:04.000]  剛才讀的這段經文
[00:00:04.000 --> 00:00:06.000]  叫我們作外邦人的光
[00:00:06.000 --> 00:00:08.000]  這裏是第二首「搏人之歌」
[00:00:08.000 --> 00:00:09.000]  我們又翻開聖經
[00:00:09.000 --> 00:00:10.000]  我今天騙了你去聖經
[00:00:10.000 --> 00:00:11.000]  快點翻出來
[00:00:11.000 --> 00:00:14.000]  我們翻到聖經裏說
[00:00:14.000 --> 00:00:16.000]  在哪裏呢?
[00:00:16.000 --> 00:00:20.000]  那裏是這段經文的第六節
[00:00:20.000 --> 00:00:23.000]  是要成為外邦人的光
[00:00:23.000 --> 00:00:24.000]  看見嗎?
[00:00:24.000 --> 00:00:25.000]  第六節
[00:00:25.000 --> 00:00:27.000]  自己手指指下去
[00:00:27.000 --> 00:00:31.000]  我還要使你們作外邦人的光
[00:00:31.000 --> 00:00:34.000]  這是「搏人之歌」第二首
[00:00:34.000 --> 00:00:36.000]  上一次跟你揭曉時揭了四首
[00:00:36.000 --> 00:00:37.000]  記不記得?
[00:00:37.000 --> 00:00:38.000]  有沒有印象?
[00:00:38.000 --> 00:00:40.000]  樣子好像沒有人記得
[00:00:40.000 --> 00:00:41.000]  四首
[00:00:41.000 --> 00:00:42.000]  這是第二首
[00:00:42.000 --> 00:00:44.000]  上次說了第四首
[00:00:44.000 --> 00:00:45.000]  這次說第二首
[00:00:45.000 --> 00:00:47.000]  為何跳下去不是順著呢?
[00:00:47.000 --> 00:00:50.000]  因為上一次貼著壽苦節、復活節
[00:00:50.000 --> 00:00:52.000]  被迫要先說第四首
[00:00:52.000 --> 00:00:55.000]  這次我回頭說第二首
[00:00:55.000 --> 00:00:57.000]  我們成為外邦人的光
[00:00:57.000 --> 00:00:58.000]  「搏人」是誰呢?
[00:00:58.000 --> 00:00:59.000]  記不記得我上次說過
[00:00:59.000 --> 00:01:02.000]  「搏人」最認是主耶穌
[00:01:02.000 --> 00:01:04.000]  但沒有理由只有主耶穌才對
[00:01:04.000 --> 00:01:07.000]  有可能是所羅巴伯
[00:01:07.000 --> 00:01:09.000]  有可能是以賽亞先知
[00:01:09.000 --> 00:01:11.000]  這裏像以賽亞先知比較多
[00:01:11.000 --> 00:01:12.000]  不過無論如何
[00:01:12.000 --> 00:01:16.000]  就算我們完全適合是主耶穌
[00:01:16.000 --> 00:01:18.000]  其實沒有理由也不關我的事
[00:01:18.000 --> 00:01:19.000]  同樣
[00:01:19.000 --> 00:01:20.000]  說主耶穌不關我的事
[00:01:20.000 --> 00:01:21.000]  不是
[00:01:21.000 --> 00:01:22.000]  主耶穌要做的事你也要做
[00:01:22.000 --> 00:01:24.000]  主耶穌是那個受苦的「搏人」
[00:01:24.000 --> 00:01:27.000]  難道你想自己卸駁
[00:01:27.000 --> 00:01:29.000]  裝模作樣不做「搏人」嗎?
[00:01:29.000 --> 00:01:30.000]  你是不是也是主的「搏人」
[00:01:30.000 --> 00:01:32.000]  各照自己地方本事應當
[00:01:32.000 --> 00:01:33.000]  行不行?
[00:01:33.000 --> 00:01:35.000]  你也是要成為主的「搏人」
[00:01:35.000 --> 00:01:37.000]  成為外邦人的光
[00:01:37.000 --> 00:01:38.000]  行不行?
[00:01:38.000 --> 00:01:40.000]  我今天要告訴你重點
[00:01:40.000 --> 00:01:42.000]  記住你們每個人都要做主的「搏人」
[00:01:42.000 --> 00:01:43.000]  首「搏人」之歌
[00:01:43.000 --> 00:01:45.000]  既預告是主耶穌
[00:01:45.000 --> 00:01:46.000]  同樣
[00:01:46.000 --> 00:01:47.000]  其實和你也有關
[00:01:47.000 --> 00:01:49.000]  你們也要成為主的「搏人」
[00:01:49.000 --> 00:01:51.000]  我們從頭又看下去
[00:01:51.000 --> 00:01:54.000]  這首歌的視野很寬廣
[00:01:54.000 --> 00:02:00.000]  「縱海島當聽我言遠方的眾民留心而聽」
[00:02:00.000 --> 00:02:02.000]  這裡說了兩件事情
[00:02:02.000 --> 00:02:04.000]  說的不是在附近
[00:02:04.000 --> 00:02:07.000]  「縱海島」和「遠方的眾民」
[00:02:07.000 --> 00:02:11.000]  都是在說超越附近的視野
[00:02:11.000 --> 00:02:13.000]  不只是說給自己的子民
[00:02:13.000 --> 00:02:15.000]  我們在這裡真好
[00:02:15.000 --> 00:02:18.000]  彼得登山變相的時候
[00:02:18.000 --> 00:02:22.000]  不是我們要下山光照在眾人前
[00:02:22.000 --> 00:02:24.000]  所以這個視野很廣闊
[00:02:24.000 --> 00:02:25.000]  而且後面那裡做了Echo
