
[00:00:00.000 --> 00:00:03.840]  《主義者聖經》在《路加福音》第十九章
[00:00:03.840 --> 00:00:06.980]  我們讀到二十五到二十七節
[00:00:06.980 --> 00:00:10.180]  這一說站在耶穌十字架旁邊的
[00:00:10.180 --> 00:00:13.280]  有祂母親和祂母親的姐妹
[00:00:13.280 --> 00:00:18.080]  並格羅巴的妻子瑪利亞和摩大拉的瑪利亞
[00:00:18.080 --> 00:00:23.380]  耶穌見母親和祂所愛的那門徒站在旁邊
[00:00:23.380 --> 00:00:25.280]  就對祂母親說
[00:00:25.280 --> 00:00:28.080]  「母親,看你的兒子」
[00:00:28.080 --> 00:00:30.900]  又對那門徒說「看你的母親」
[00:00:30.900 --> 00:00:35.700]  從此那門徒就接她回到自己家裡去了
[00:00:35.700 --> 00:00:36.940]  我們就讀到這裡
[00:00:36.940 --> 00:00:38.440]  今天是母親節
[00:00:38.440 --> 00:00:40.340]  首先在這裡讓我恭賀
[00:00:40.340 --> 00:00:42.180]  在座每一位母親
[00:00:42.180 --> 00:00:44.700]  母親節非常非常快樂
[00:00:44.700 --> 00:00:45.700]  美門
[00:00:45.700 --> 00:00:52.200]  我想母親對我們每一個人來講都是最偉大的
[00:00:52.200 --> 00:00:53.800]  因為在我們一生當中
[00:00:53.800 --> 00:00:55.840]  母親也是最疼愛我們
[00:00:55.840 --> 00:01:00.780]  而且也是在我們一生當中影響我們最深的人
[00:01:00.780 --> 00:01:03.840]  我相信我們中間做父親的人都有這樣的經驗
[00:01:03.840 --> 00:01:07.300]  平常我們跟孩子們相處也很好
[00:01:07.300 --> 00:01:09.740]  也算得上 buddy buddy
[00:01:09.740 --> 00:01:12.280]  但一旦孩子受到委屈
[00:01:12.280 --> 00:01:16.900]  他總是第一件事情先到媽媽那裡去
[00:01:16.900 --> 00:01:18.180]  為什麼呢
[00:01:18.180 --> 00:01:23.040]  因為媽媽是最能夠了解他們心中委屈的
[00:01:23.040 --> 00:01:27.180]  媽媽最能夠聽他們心中的感覺
[00:01:27.180 --> 00:01:30.840]  而且能安慰他們心中的創傷
