
[00:00:00.000 --> 00:00:02.000]  頂節彌平安
[00:00:02.000 --> 00:00:04.000]  讓我同心低頭祈禱
[00:00:04.000 --> 00:00:08.000]  基本上
[00:00:08.000 --> 00:00:09.000]  我感謝你
[00:00:09.000 --> 00:00:11.000]  讓我們在你面前一起敬拜
[00:00:11.000 --> 00:00:13.000]  願意我們在你面前
[00:00:13.000 --> 00:00:15.000]  你親自去躺在我們的心
[00:00:15.000 --> 00:00:17.000]  聖靈親自對我們說話
[00:00:17.000 --> 00:00:21.000]  讓我將整個敬拜獻給你
[00:00:21.000 --> 00:00:23.000]  讓我經歷整個敬拜
[00:00:23.000 --> 00:00:24.000]  經歷你的同在
[00:00:24.000 --> 00:00:26.000]  經歷你自己的榮耀
[00:00:26.000 --> 00:00:27.000]  我們感謝你
[00:00:27.000 --> 00:00:29.000]  願你的旨意成就在
[00:00:29.000 --> 00:00:30.000]  我們身上
[00:00:30.000 --> 00:00:31.000]  我們感謝你
[00:00:31.000 --> 00:00:33.000]  聽我們祈禱奉主耶穌的名球
[00:00:33.000 --> 00:00:34.000]  阿們
[00:00:59.000 --> 00:01:01.000]  (廣東話)
[00:01:29.000 --> 00:01:31.000]  其實會望的日子一點都不短
[00:01:31.000 --> 00:01:33.000]  三十多年的時間
[00:01:33.000 --> 00:01:35.000]  我看回《牧者心聲》
[00:01:35.000 --> 00:01:37.000]  林偉明傳道
[00:01:37.000 --> 00:01:38.000]  剛剛今期又寫
[00:01:38.000 --> 00:01:40.000]  他又想起二十多年前
[00:01:40.000 --> 00:01:43.000]  「現在愛」這個主題
[00:01:43.000 --> 00:01:45.000]  其實已經是二十多年前
[00:01:45.000 --> 00:01:48.000]  青少年的一個靈會的主題
[00:01:48.000 --> 00:01:52.000]  我想起我自己在讀中學的時候
[00:01:52.000 --> 00:01:53.000]  信耶穌
[00:01:53.000 --> 00:01:57.000]  當時每個禮拜都有學校的早會
[00:01:57.000 --> 00:01:59.000]  每個禮拜在早會裡
[00:01:59.000 --> 00:02:02.000]  有一首是當年時時唱的一首歌
[00:02:02.000 --> 00:02:04.000]  可能有些電影姐妹在那個年代成長裡
[00:02:04.000 --> 00:02:05.000]  都唱過一首詩歌
[00:02:05.000 --> 00:02:07.000]  《年輕人》
[00:02:07.000 --> 00:02:08.000]  其實當時就不太知道
[00:02:08.000 --> 00:02:09.000]  不過一直唱
[00:02:09.000 --> 00:02:11.000]  最近又想起這首詩歌
[00:02:11.000 --> 00:02:12.000]  就是一首老歌
[00:02:12.000 --> 00:02:13.000]  《年輕人》
[00:02:13.000 --> 00:02:15.000]  年輕人你追求生命
[00:02:15.000 --> 00:02:17.000]  是不是有所值得呢
[00:02:17.000 --> 00:02:20.000]  你所尋求的快樂
[00:02:20.000 --> 00:02:22.000]  是不是真的能夠滿足你的心呢
[00:02:22.000 --> 00:02:25.000]  還是仍然好像以前一般
[00:02:25.000 --> 00:02:26.000]  生命空虛呢
[00:02:26.000 --> 00:02:28.000]  有一件事要告訴你
[00:02:28.000 --> 00:02:29.000]  當你找到耶穌的時候
[00:02:29.000 --> 00:02:31.000]  生命裡面有那種快樂
[00:02:31.000 --> 00:02:34.000]  生命裡面重新有很多的意義
[00:02:34.000 --> 00:02:37.000]  一首年輕人的詩歌
[00:02:37.000 --> 00:02:39.000]  今天都不再年輕
[00:02:39.000 --> 00:02:40.000]  但是這首詩歌
[00:02:40.000 --> 00:02:41.000]  其實時時在當日
[00:02:41.000 --> 00:02:42.000]  在早會的時候
[00:02:42.000 --> 00:02:44.000]  我不知道是不是當年的老師
[00:02:44.000 --> 00:02:45.000]  時時去唱這首歌
[00:02:45.000 --> 00:02:47.000]  很想提醒年輕人
[00:02:47.000 --> 00:02:49.000]  問一下生命的意義在哪裡呢
[00:02:49.000 --> 00:02:53.000]  我再想起除了唱《掌握今天》
[00:02:53.000 --> 00:02:54.000]  以前唱《年輕人》
[00:02:54.000 --> 00:02:58.000]  我再去翻查一下近年的詩歌
[00:02:58.000 --> 00:02:59.000]  好像這幾十年來
[00:02:59.000 --> 00:03:01.000]  都沒有很多詩歌去提醒我們
[00:03:01.000 --> 00:03:02.000]  趁著年輕的時候
[00:03:02.000 --> 00:03:04.000]  我們應該好好去敬畏上帝
[00:03:04.000 --> 00:03:06.000]  好像不是很多這些詩歌
[00:03:06.000 --> 00:03:07.000]  如果有的話你告訴我
[00:03:07.000 --> 00:03:09.000]  待會回應詩我選了一首
[00:03:09.000 --> 00:03:10.000]  都是《絕無僅有》
[00:03:10.000 --> 00:03:11.000]  在幾首歌裡面
[00:03:11.000 --> 00:03:13.000]  其中一首待會我們會唱
[00:03:13.000 --> 00:03:16.000]  在傳道書第十一章
[00:03:16.000 --> 00:03:18.000]  九至十一節的時候
