
[00:00:00.000 --> 00:00:01.240]  (主席)弟子們,平安
[00:00:01.240 --> 00:00:02.480]  (主席)平安
[00:00:02.480 --> 00:00:09.760]  (主席)現任加拿大多倫多市長周志偉去講過
[00:00:09.760 --> 00:00:13.560]  (主席)信仰不是叫人愛倫舍如同自己的嗎
[00:00:13.560 --> 00:00:18.800]  (主席)為甚麼我的教會只是關心拯救靈魂
[00:00:18.800 --> 00:00:23.840]  (主席)卻對露海浮沉的生命毫不在意呢
[00:00:23.840 --> 00:00:27.880]  (主席)不知道你對這番說話怎麼看呢
[00:00:28.960 --> 00:00:34.800]  (主席)沒錯,我們傳呼音是否只是關心人想不想到天堂
[00:00:34.800 --> 00:00:40.040]  (主席)但是我們對人的關愛又基於甚麼呢
[00:00:40.040 --> 00:00:43.880]  (主席)是否毫無底線
[00:00:43.880 --> 00:00:50.120]  (主席)我很想藉著周市長的問題再引發另一個問題
[00:00:50.120 --> 00:00:58.080]  (主席)3月3日我曾經和大家透過耶穌受洗受試探
[00:00:58.880 --> 00:01:03.520]  (主席)一起從祂身上學習好的開始
[00:01:03.520 --> 00:01:06.200]  (主席)一個試奉好的開始
[00:01:06.200 --> 00:01:10.280]  (主席)就是認定自己的身份和使命
[00:01:10.280 --> 00:01:16.720]  (主席)當然要開始一個試奉不是靠自己
[00:01:16.720 --> 00:01:19.480]  (主席)而是需要依靠聖靈
[00:01:19.480 --> 00:01:26.440]  (主席)耶穌也在祂畢業時期裡面順利以最高榮譽畢業
[00:01:27.040 --> 00:01:29.640]  (主席)去勝過不容易的三個試探
[00:01:29.640 --> 00:01:34.040]  (主席)今早我接續透過四章十四節三十節
[00:01:34.040 --> 00:01:40.880]  (主席)讓我們繼續在耶穌的身上學習福音使命的開始
[00:01:40.880 --> 00:01:42.600]  (主席)是一回怎樣的事
[00:01:42.600 --> 00:01:47.760]  (主席)聖經說耶穌帶著聖靈的能力回到加利利
[00:01:47.760 --> 00:01:50.600]  (主席)祂名聲傳遍了四方
[00:01:50.600 --> 00:01:53.160]  (主席)祂在會堂裡面教導人
[00:01:53.160 --> 00:01:55.720]  (主席)眾人都稱讚祂
[00:01:56.520 --> 00:02:02.040]  (主席)這裡說耶穌是帶著聖靈的能力回到加利利
[00:02:02.040 --> 00:02:06.760]  (主席)聖靈在耶穌的侍功是很重要
[00:02:06.760 --> 00:02:10.160]  (主席)盧卡芬是特別的明顯
[00:02:10.160 --> 00:02:14.520]  (主席)聖經記載到耶穌受洗的時候
[00:02:14.520 --> 00:02:17.200]  (主席)有聖靈降臨在身上
[00:02:17.200 --> 00:02:19.920]  (主席)然後天上有聲音說這個是愛子
[00:02:19.920 --> 00:02:21.160]  (主席)是我愛子
[00:02:21.160 --> 00:02:25.400]  (主席)接著耶穌被聖靈引導抗野
[00:02:25.880 --> 00:02:28.760]  (主席)為祂的侍奉作出準備
[00:02:28.760 --> 00:02:31.920]  (主席)但同時間也都接受魔鬼的試探
[00:02:31.920 --> 00:02:36.000]  (主席)現在耶穌是帶著聖靈的能力
[00:02:36.000 --> 00:02:38.600]  (主席)在宣講在神職方面
[00:02:38.600 --> 00:02:40.680]  (主席)來到去侍奉上帝
[00:02:40.680 --> 00:02:43.120]  (主席)而且是一個外邦的區域
[00:02:43.120 --> 00:02:45.560]  (主席)我盧卡芬來說
[00:02:45.560 --> 00:02:47.880]  (主席)這段四章十四節三十節
[00:02:47.880 --> 00:02:50.680]  (主席)是接著耶穌受試探之後
[00:02:50.680 --> 00:02:52.400]  (主席)當然是加普之後
[00:02:53.000 --> 00:02:57.000]  (主席)但事實上這不是耶穌一受試探就去加利利
[00:02:57.000 --> 00:03:00.280]  (主席)如果不是就不會四章十四節
[00:03:00.280 --> 00:03:02.760]  (主席)就不會四章十四節這樣記載
[00:03:02.760 --> 00:03:06.480]  (主席)祂名聲傳遍了四方
[00:03:06.480 --> 00:03:09.520]  (主席)另外馬可福音二章一節十二節
[00:03:09.520 --> 00:03:13.760]  (主席)馬可記載耶穌在加伯隆面的侍奉
[00:03:13.760 --> 00:03:17.600]  (主席)加伯隆是耶穌傳道的基地
[00:03:17.600 --> 00:03:19.280]  (主席)也都是一個大的城市
[00:03:19.680 --> 00:03:23.720]  (主席)其實應該是在今天這段經文之前
[00:03:23.720 --> 00:03:25.440]  (主席)但路加沒有記載
[00:03:25.440 --> 00:03:27.280]  (主席)不是路加漏了
[00:03:27.280 --> 00:03:31.960]  (主席)路加刻意的去刪除這些記載
[00:03:31.960 --> 00:03:34.880]  (主席)因為祂要凸顯耶穌基督
[00:03:34.880 --> 00:03:37.680]  (主席)在猶太會堂所讀的
[00:03:37.680 --> 00:03:40.160]  (主席)以賽亞書那段經文的重要性
[00:03:40.160 --> 00:03:42.600]  (主席)那個是祂宣揚的福音
[00:03:42.600 --> 00:03:45.320]  (主席)那個是祂福音的主題
[00:03:45.320 --> 00:03:46.880]  (主席)是祂的使命
[00:03:47.680 --> 00:03:50.080]  (主席)所以路加在耶穌授詩探
[00:03:50.080 --> 00:03:52.560]  (主席)就記載這個重要的記載
[00:03:52.560 --> 00:03:58.680]  (主席)還有很多其他的資料提醒我們
[00:03:58.680 --> 00:04:03.960]  (主席)路加是刻意的去不記其他的事情
[00:04:03.960 --> 00:04:05.240]  (主席)這裡不詳細說了
[00:04:05.240 --> 00:04:07.280]  (主席)除了迦勒利之外
[00:04:07.280 --> 00:04:09.640]  (主席)耶穌就來到拿撒勒
[00:04:09.640 --> 00:04:11.200]  (主席)就去長大的地方
[00:04:11.200 --> 00:04:14.240]  (主席)在安息日照祂掃場的規矩
[00:04:14.240 --> 00:04:15.480]  (主席)進了會堂
[00:04:16.040 --> 00:04:18.440]  (主席)站起來要唸聖經
[00:04:18.440 --> 00:04:22.360]  (主席)有人將二創阿先知的書交給他
[00:04:22.360 --> 00:04:25.920]  (主席)他一打開找到一處寫著
[00:04:25.920 --> 00:04:33.360]  (主席)這裡提到安息日照祂掃場
