
[00:00:00.000 --> 00:00:03.200]  今日同大家講呢個題目呢
[00:00:03.200 --> 00:00:07.920]  你會覺得好奇怪,因為呢個題目呢
[00:00:07.920 --> 00:00:10.960]  我係引用緊提摩太后書第三章
[00:00:10.960 --> 00:00:12.560]  第三章
[00:00:12.560 --> 00:00:14.600]  點解講呢個題目呢?
[00:00:14.600 --> 00:00:18.640]  係因為越黎越覺得做人係好難呀
[00:00:18.640 --> 00:00:20.640]  唔知你覺唔覺呀
[00:00:20.640 --> 00:00:22.600]  做人係好難
[00:00:22.600 --> 00:00:24.480]  咁呢就
[00:00:24.480 --> 00:00:27.440]  難係乜嘢呢?
[00:00:27.960 --> 00:00:30.480]  有陣時你都唔知自己係咩身份呀
[00:00:30.480 --> 00:00:33.760]  即係
[00:00:33.760 --> 00:00:36.760]  如果你係網上更加唔知你自己係咩身份呀
[00:00:36.760 --> 00:00:38.040]  係咪呀?
[00:00:38.040 --> 00:00:39.520]  即係成個過程
[00:00:39.520 --> 00:00:43.600]  係會幫我撳架係咪呀?
[00:00:43.600 --> 00:00:44.920]  OK
[00:00:44.920 --> 00:00:47.960]  OK,好,我地睇第一章個頭映片呢
[00:00:47.960 --> 00:00:49.920]  咁最近呢我就
[00:00:49.920 --> 00:00:53.680]  即係大家知唔知中文字乜都點打呀
[00:00:53.680 --> 00:00:54.880]  乜字點打㗎?
[00:00:54.880 --> 00:00:57.440]  寫
[00:00:57.960 --> 00:00:59.960]  咁呢就,其實呢
[00:00:59.960 --> 00:01:03.400]  我曾經諗過用乜都係假呢個做題目嘅
[00:01:03.400 --> 00:01:07.000]  就係因為嗰陣時搵唔到個乜字
[00:01:07.000 --> 00:01:09.360]  咁呢就
[00:01:09.360 --> 00:01:11.640]  結果都係虛幻與真實
[00:01:11.640 --> 00:01:14.040]  咁呢嚟得呢就具體啲
[00:01:14.040 --> 00:01:16.920]  咁呢個嘅感覺呢
[00:01:16.920 --> 00:01:17.920]  我相信
[00:01:17.920 --> 00:01:19.200]  點呀?
[00:01:19.200 --> 00:01:21.760]  有啲咩特別?
[00:01:21.760 --> 00:01:23.000]  哦,呢度
[00:01:23.000 --> 00:01:24.440]  就可以用呀,係咪呀?
[00:01:24.440 --> 00:01:27.040]  哦,我以為,對不起,睇唔到
[00:01:27.160 --> 00:01:28.160]  呢個係真嘅
[00:01:28.160 --> 00:01:31.920]  咁呢就
[00:01:31.920 --> 00:01:34.720]  即係我諗呢嗰個
[00:01:34.720 --> 00:01:36.360]  真真假假呢
[00:01:36.360 --> 00:01:39.520]  喺我地而家呢個處境呢個世代呢
