
[00:00:00.000 --> 00:00:02.000]  一個被聖靈充滿的人
[00:00:02.000 --> 00:00:04.560]  或者一個以神為中心的人
[00:00:04.560 --> 00:00:09.020]  是從他生命裏面一定會看到聖靈的果子的其中一個特性
[00:00:09.020 --> 00:00:11.020]  那我想問,聖靈果子有幾個?
[00:00:11.020 --> 00:00:13.400]  有一個
[00:00:13.400 --> 00:00:14.720]  但是有幾多個特性?
[00:00:14.720 --> 00:00:16.160]  哪九個?
[00:00:16.160 --> 00:00:26.400]  仁愛、喜樂、和平、忍耐、恩慈、良善、信實、溫柔、潔濟
[00:00:26.400 --> 00:00:28.540]  好,給點掌聲給旁邊那個
[00:00:28.540 --> 00:00:29.640]  OK
[00:00:29.640 --> 00:00:30.320]  是啦
[00:00:30.320 --> 00:00:31.700]  所以
[00:00:31.700 --> 00:00:33.280]  讀完經了
[00:00:33.280 --> 00:00:34.320]  那麼
[00:00:34.320 --> 00:00:39.880]  上幾次不是說仁愛、喜樂、和平
[00:00:39.880 --> 00:00:40.800]  這次說什麼?
[00:00:40.800 --> 00:00:42.140]  忍耐
[00:00:42.140 --> 00:00:45.220]  所以忍耐是聖靈果子的其中一個特性
[00:00:45.220 --> 00:00:45.720]  OK?
[00:00:45.720 --> 00:00:46.840]  好,記得
[00:00:46.840 --> 00:00:48.040]  因為昨天…
[00:00:48.040 --> 00:00:49.240]  OK
[00:00:49.240 --> 00:00:50.060]  好
[00:00:50.060 --> 00:00:50.980]  那麼
[00:00:50.980 --> 00:00:52.180]  那麼
[00:00:52.180 --> 00:00:53.000]  所以
[00:00:53.000 --> 00:00:53.960]  那麼忍耐
[00:00:53.960 --> 00:00:54.620]  那麼
[00:00:54.620 --> 00:00:57.220]  當你查字典
[00:00:57.220 --> 00:00:58.340]  就是剛才那樣
[00:00:58.340 --> 00:00:58.900]  不如這樣
[00:00:58.900 --> 00:01:01.960]  我們再翻開《迦拉太書》第五章二十二到二十五節
[00:01:01.960 --> 00:01:06.600]  深刻一點
[00:01:06.600 --> 00:01:09.260]  雖然大家剛才真的背得非常好
[00:01:09.260 --> 00:01:10.060]  那麼
[00:01:10.060 --> 00:01:14.080]  但是我們也可以在這裡一起再看一看
[00:01:14.080 --> 00:01:15.020]  那麼就…
[00:01:15.020 --> 00:01:15.700]  因為呢
[00:01:15.700 --> 00:01:20.440]  其實這一段的經文是連接二十四、二十五節的
[00:01:20.440 --> 00:01:21.800]  第一
[00:01:21.800 --> 00:01:22.980]  找到一齊讀
[00:01:22.980 --> 00:01:23.940]  OK,好
[00:01:23.940 --> 00:01:51.140]  "聖靈所結的果子,就是仁愛、喜樂、和平、忍耐、信實、溫柔、節制,也讓的是沒有律法,禁止。凡屬基督耶穌的人,是已經把肉體,連肉體的邪情私慾,銅釘在十字架上了。我們若是靠聖靈得生,就當靠聖靈行事。"
[00:01:51.140 --> 00:01:51.820]  對了
[00:01:51.820 --> 00:01:53.960]  其實在這裡很明顯說了
[00:01:53.960 --> 00:01:56.960]  如果我們真的想要有這個聖靈的果子
[00:01:56.960 --> 00:01:58.300]  在我們生命裡面
[00:01:58.300 --> 00:02:01.160]  其實真的要對付我們生命裡面的邪情私慾
[00:02:01.160 --> 00:02:01.660]  所以
[00:02:01.660 --> 00:02:03.460]  其實之前不是透過講過
[00:02:03.460 --> 00:02:04.800]  仁愛、喜樂、和平
[00:02:04.800 --> 00:02:06.580]  究竟怎樣在我們生命裡面
[00:02:06.580 --> 00:02:07.860]  可以結出這個果子呢?
[00:02:07.860 --> 00:02:09.160]  那麼今天講忍耐
