
[00:00:00.000 --> 00:00:07.000]  各位不孫的弟兄姊妹,主內平安,我們很高興可以一齊去到敬拜,仰望上帝。
[00:00:07.000 --> 00:00:16.000]  我今日會和大家一齊去到思想的經文,是來自《傳道書》第三章十六到二十二節的經文。
[00:00:16.000 --> 00:00:18.000]  我們一齊去到祈禱。
[00:00:18.000 --> 00:00:25.000]  慈悲仁愛的天父,感激你,賜下你寶貴的話語和救恩。
[00:00:25.000 --> 00:00:31.000]  讓我們從罪中得釋放,讓我們從罪的奴役,死亡的剋制當中,
[00:00:31.000 --> 00:00:36.000]  我們竟然得稱為上帝的兒女,共享永生的生命。
[00:00:36.000 --> 00:00:47.000]  所以我們懷著一個渴慕和謙卑的心,來到你面前,去到讓你的話語再次更新改變我們每一個人的生命。
[00:00:47.000 --> 00:00:52.000]  幫助孩子宣講你的話語清楚,我們同心謙卑去到領受。
[00:00:52.000 --> 00:00:56.000]  祈禱是奉耶穌基督名求。阿們。
[00:00:56.000 --> 00:01:04.000]  《傳道書》,我想大家都會認識,其實在整本書裡面,就會出現很多的字眼,
[00:01:04.000 --> 00:01:11.000]  也都是點擊率最高的兩個字眼,其中一個就是「虛空」這個字眼。
[00:01:11.000 --> 00:01:17.000]  就是《傳道書》的一章二節,裡面有提到「虛空的虛空」、「虛空的虛空」,
[00:01:17.000 --> 00:01:23.000]  「還不夠」、「還要加多句」、「凡事都虛空」。然後有另外一個字眼,
[00:01:23.000 --> 00:01:32.000]  它的點擊率當然沒有虛空那麼高,但是也很高,那個字眼就叫做「日光之下」這個字眼。
[00:01:32.000 --> 00:01:37.000]  也就是告訴你,《傳道書》它不跟你討論日光之上的內容,
[00:01:37.000 --> 00:01:45.000]  它跟你討論日光之下,現存的創造秩序,這個世界裡面怎樣存活的一個問題。
[00:01:45.000 --> 00:01:54.000]  既然它不跟你討論日光之上,所以它就不會跟你討論天堂、地獄、末世、主再來那些問題,
[00:01:54.000 --> 00:02:03.000]  只是談論日光之下創造秩序的世界的問題,就說明日光之下人怎樣可以活得更加有智慧。
[00:02:03.000 --> 00:02:08.000]  當《傳道書》論及今天的經文,就是來自第三章的十六節的時候,
[00:02:08.000 --> 00:02:17.000]  你就會發現有一個字眼出現,就是公平的地方竟然有更惡,公義的地方也竟然有更惡。
[00:02:17.000 --> 00:02:22.000]  也就是告訴我們,這個是論及社會不公義的問題。
[00:02:22.000 --> 00:02:28.000]  它就不會像先知那樣去到正面抨擊社會和政權的黑暗,
[00:02:28.000 --> 00:02:32.000]  也都不會像先知那樣走去呼籲人走去悔改。
[00:02:32.000 --> 00:02:39.000]  為什麼呢?就是因為先知背後所相信的,就是一種叫做終末末世的信仰。
[00:02:39.000 --> 00:02:47.000]  認為末日有上帝而來的大審判,所以惡人最終都會受到永遠的沉淪和刑罰。
[00:02:47.000 --> 00:02:52.000]  既然是這樣,現在就要棄暗投明及早悔改。
[00:02:52.000 --> 00:02:57.000]  所以日光之上的傳統,就是先知傳統很想跟我們強調,
[00:02:57.000 --> 00:03:05.000]  那個叫做日光之上死後要摸你就是永生,要摸你就是沉淪,永遠的沉淪。
[00:03:05.000 --> 00:03:12.000]  這個終末觀決定我們現在的倫理觀,也就是說你那個末日是怎樣的走向,
[00:03:12.000 --> 00:03:19.000]  去到決定我現在應該要悔改,應該要跟隨基督,還是跟隨世界道路去到走,
[00:03:19.000 --> 00:03:29.000]  就是二擇其一,不能照單全收。但是傳道者就不是用日光之上的角度去跟你討論社會不公義的問題。
[00:03:29.000 --> 00:03:35.000]  作者沒有要求人走去悔改,而是要人在一個現存的邪惡的世界當中,
[00:03:35.000 --> 00:03:39.000]  去到怎樣活得更加有智慧,享受上帝給我們的那一份。
[00:03:39.000 --> 00:03:47.000]  所以當我們今天閱讀今天的經文的時候,其實作者就不是否定了先知傳統的悔改觀,
[00:03:47.000 --> 00:03:54.000]  而是用另外一個角度,也就是日光之下虛空的角度去到處理社會不公義的問題。
[00:03:54.000 --> 00:04:02.000]  智者面對社會的不公義,他所提出的策略就是定時這個策略。
[00:04:02.000 --> 00:04:08.000]  第三章第一節已經告訴你們,天下萬物都有定時。
[00:04:08.000 --> 00:04:14.000]  然後第二節用了一系列的對比去到第八節,告訴我們什麼對比有定時。
[00:04:14.000 --> 00:04:22.000]  包括第一句,大家很熟悉,就是生有時,死有時,哀哭有時,喜樂有時,一系列去到第八節。
[00:04:22.000 --> 00:04:27.000]  我們就要說一個定義,告訴我們什麼叫定時先,其實就不是很複雜。
[00:04:27.000 --> 00:04:35.000]  你完了崇拜,去到百佳,又或者維康買一罐罐頭,上面一定就寫著食用限期。
[00:04:35.000 --> 00:04:40.000]  這個食用限期的概念Expiry Day就叫定時。
[00:04:40.000 --> 00:04:48.000]  你見我以前其實我在英國讀我的博士學位,大家如果你在英國生活過,
[00:04:48.000 --> 00:04:56.000]  你就知道原來那裡你去Sainsbury's或者Tesco買一個罐頭,它就不是寫Expiry Day,是寫什麼?
[00:04:56.000 --> 00:05:00.000]  大家最近對英國很熟悉,就是Best Before。
[00:05:00.000 --> 00:05:05.000]  Best Before就是我在英國是會吃過期食物的,因為我只要接受它不Best就可以了。
[00:05:05.000 --> 00:05:10.000]  但是在香港我就不會吃的,因為那個概念叫什麼?那個概念叫Expiry Day。
[00:05:10.000 --> 00:05:18.000]  如果天下萬物都有定時的話,在日光之下你有太陽照的地方,全部都有Expiry Day。
[00:05:18.000 --> 00:05:22.000]  你看看隔壁那位大英姊妹的額頭已經鑿著她的Expiry Day了。
[00:05:22.000 --> 00:05:31.000]  也就是說你坐的那張椅子,又或者這一個建築物,所有包括這支presenter,全部都有她的Expiry Day。
[00:05:31.000 --> 00:05:36.000]  差在你知道還是不知道那一天什麼時候臨到。
[00:05:36.000 --> 00:05:42.000]  你看我發線是這樣向上,現在有向後的跡象,你就知道我的Best Before已經過了。
[00:05:42.000 --> 00:05:46.000]  我只是急速直線朝向Expiry Day進發。
[00:05:46.000 --> 00:05:51.000]  每個人難逃一劫,所有人都會步向死亡的那一天。
[00:05:51.000 --> 00:05:55.000]  這個概念就叫定時。
[00:05:55.000 --> 00:06:04.000]  在一個這樣的定義底下,我們期望今天透過三點,和大家一起去看看這段經文告訴我們是什麼情況。
[00:06:04.000 --> 00:06:10.000]  你會發現在第十六、第十七節那裡,十六節說了一個社會的現狀。
[00:06:10.000 --> 00:06:15.000]  那個現狀就是公平的地方是有加惡,公義的地方竟然有加惡。
[00:06:15.000 --> 00:06:19.000]  特別公平那個字,在原文看來可以譯作審判的。
[00:06:19.000 --> 00:06:23.000]  就是說司法審判的地方有加惡,可以這樣去翻譯。
[00:06:23.000 --> 00:06:29.000]  你會發現我用紅色highlight,那個字眼出現了兩次,在第十六節那裡。
[00:06:29.000 --> 00:06:32.000]  就是那個字就叫做「至處」。
[00:06:32.000 --> 00:06:37.000]  然後第十七節,你也看到我用紅色highlight一個字,就叫做「在那裡」。
[00:06:37.000 --> 00:06:44.000]  我們翻查希伯來文,我們就明白十七節那個「在那裡」其實是出現了兩次的,不是出現一次。
[00:06:44.000 --> 00:06:48.000]  所以和修本譯了一次,其實原文出現了兩次。
[00:06:48.000 --> 00:06:54.000]  十七節的兩個「在那裡」是故意的,它是對應兩個第十六節的「之處」。
[00:06:54.000 --> 00:06:59.000]  是這樣的對應,告訴我們,神要「在那裡」,
[00:06:59.000 --> 00:07:07.000]  也就是說在加惡出現那個公平之處的「那裡」,去到帶來一個定時的審判。
[00:07:07.000 --> 00:07:10.000]  既然這個是日光之下的定時,
