
[00:00:00.000 --> 00:00:06.000]  有機會在母親節和UV弟兄姊妹一起慶祝
[00:00:06.000 --> 00:00:09.000]  今天我們慶祝母親節的時候
[00:00:09.000 --> 00:00:12.000]  我們想講一個課題
[00:00:12.000 --> 00:00:16.000]  未必是我們經常討論的課題
[00:00:16.000 --> 00:00:22.000]  母親節是紀念和尊重我們的母親
[00:00:22.000 --> 00:00:25.000]  我想用這個時候去想想
[00:00:25.000 --> 00:00:32.000]  父神是不是我們的母親呢?
[00:00:32.000 --> 00:00:36.000]  神是稱為Father God
[00:00:36.000 --> 00:00:40.000]  但是神是不是我們的母親呢?
[00:00:40.000 --> 00:00:45.000]  有弟兄姊妹可能長大的時候沒有父親
[00:00:45.000 --> 00:00:47.000]  父親可能離開了
[00:00:47.000 --> 00:00:51.000]  離開了可能是離婚那種離開
[00:00:51.000 --> 00:00:56.000]  可能是疾病死亡的離開
[00:00:56.000 --> 00:00:59.000]  所以聽過不少人說
[00:00:59.000 --> 00:01:05.000]  我沒有父親我不明白父愛是怎樣
[00:01:05.000 --> 00:01:11.000]  神為什麼被稱為父?
[00:01:11.000 --> 00:01:16.000]  為什麼不說母神要講父神?
[00:01:16.000 --> 00:01:22.000]  為什麼不是Mother God而是Father God?
[00:01:22.000 --> 00:01:25.000]  神是不是男性?
[00:01:25.000 --> 00:01:29.000]  不是的時候為什麼稱祂為父?
[00:01:29.000 --> 00:01:36.000]  所以今天試試在母親節我們想這個課題
[00:01:36.000 --> 00:01:43.000]  看看我們的父神究竟是一個什麼稱號?
[00:01:43.000 --> 00:01:48.000]  第一個回應第一個答案
[00:01:48.000 --> 00:01:53.000]  可以說聖醫裏面在不同地方都有描述
[00:01:53.000 --> 00:01:58.000]  神是有母親的特色
[00:01:58.000 --> 00:02:00.000]  例如以塞亞書
[00:02:00.000 --> 00:02:06.000]  以塞亞書第66章第13節
[00:02:06.000 --> 00:02:10.000]  這裏以塞亞說了一句話
[00:02:10.000 --> 00:02:17.000]  是將神和母親去並行或做一個比喻
[00:02:17.000 --> 00:02:25.000]  13節母親怎樣安慰兒子我就照樣安慰你們
[00:02:25.000 --> 00:02:30.000]  這經文不少在生命之地第32章第18節
[00:02:30.000 --> 00:02:33.000]  是講到母親怎樣去生他的兒子
[00:02:33.000 --> 00:02:38.000]  父神怎樣去生出他的兒子神的子民以色列
[00:02:38.000 --> 00:02:42.000]  或者我們再看以塞亞書第49章
[00:02:42.000 --> 00:02:45.000]  母親不會忘記他的兒子
[00:02:45.000 --> 00:02:49.000]  父神也不會忘記他的子民
[00:02:49.000 --> 00:02:54.000]  所以最簡單的答案就是
[00:02:54.000 --> 00:03:01.000]  看看聖經裏面描述父神帶有母親的特色
[00:03:01.000 --> 00:03:10.000]  至少我們知道父神不能完整表達上帝所有的特色
[00:03:10.000 --> 00:03:14.000]  所以要加上母親的特色
[00:03:14.000 --> 00:03:19.000]  無論是生產 照顧 紀念 安慰等等
[00:03:19.000 --> 00:03:25.000]  如果是這樣的時候
[00:03:25.000 --> 00:03:33.000]  你可能仍然會問為什麼聖經裏面這麼多次
[00:03:33.000 --> 00:03:37.000]  都是說父神 父神 父神 父神
[00:03:37.000 --> 00:03:42.000]  Father God 為什麼這麼堅定地不停地稱神為父
[00:03:42.000 --> 00:03:45.000]  那我就問第二個問題
[00:03:45.000 --> 00:03:50.000]  稱神為父是什麼意思
[00:03:50.000 --> 00:03:55.000]  什麼叫做父 父是不是代表男性的意思
[00:03:55.000 --> 00:03:59.000]  為什麼要用父這個比喻
[00:03:59.000 --> 00:04:02.000]  是不是要表達神是一個男性
[00:04:02.000 --> 00:04:05.000]  你留意看的時候不是這樣
[00:04:05.000 --> 00:04:09.000]  我們看看詩篇第89篇第26節
[00:04:09.000 --> 00:04:13.000]  詩篇第89篇第26節
[00:04:13.000 --> 00:04:17.000]  我的父 我的神 他是我的盤石
[00:04:17.000 --> 00:04:22.000]  盤石代表能力 穩固 stability
[00:04:22.000 --> 00:04:26.000]  在當時古代的文化當然一家之主
[00:04:26.000 --> 00:04:29.000]  養生的那個
[00:04:29.000 --> 00:04:34.000]  是令到經濟 社會有地位 有平穩的
[00:04:34.000 --> 00:04:36.000]  是父親的地位
[00:04:36.000 --> 00:04:39.000]  所以這樣的文化下
[00:04:39.000 --> 00:04:43.000]  要描述上帝是有能力鞏固我們
[00:04:43.000 --> 00:04:48.000]  是讓我們有平穩的 是能夠保護我們
[00:04:48.000 --> 00:04:51.000]  當然要用父親這個比喻
[00:04:51.000 --> 00:04:56.000]  當時父親給人有這樣的印象
[00:04:56.000 --> 00:05:03.000]  或者你看看寬音第15章第10節
[00:05:03.000 --> 00:05:06.000]  講到父親 父神是有權柄
[00:05:06.000 --> 00:05:09.000]  因為當時一家之主是父親
[00:05:09.000 --> 00:05:13.000]  意思是說
[00:05:13.000 --> 00:05:16.000]  father這個字不代表他是男性
[00:05:16.000 --> 00:05:22.000]  作者不是想強調他的男性特色
[00:05:22.000 --> 00:05:25.000]  想強調他的能力
[00:05:25.000 --> 00:05:27.000]  但是穩固
[00:05:27.000 --> 00:05:30.000]  他是能夠保護我們的
[00:05:30.000 --> 00:05:32.000]  是帶有權柄
[00:05:32.000 --> 00:05:37.000]  我想更加重要的是領養 adoption這個觀念
[00:05:37.000 --> 00:05:45.000]  父神領養我們
[00:05:45.000 --> 00:05:48.000]  以至我們能夠罪得赦免
[00:05:48.000 --> 00:05:51.000]  成為他的兒女
[00:05:51.000 --> 00:05:54.000]  adoption是誰做的 不是母親
[00:05:54.000 --> 00:05:57.000]  故事是父親
[00:05:57.000 --> 00:05:59.000]  所以羅馬書第八章講到
[00:05:59.000 --> 00:06:02.000]  父親領養他的兒子
[00:06:02.000 --> 00:06:04.000]  兩個都是男性
[00:06:04.000 --> 00:06:07.000]  但是兒子很明顯是在講兒女
[00:06:07.000 --> 00:06:11.000]  是在講信徒弟兄姊妹
[00:06:11.000 --> 00:06:14.000]  但是當時領養就是這樣
[00:06:14.000 --> 00:06:18.000]  父親領養一個兒子去繼承他的名份
[00:06:18.000 --> 00:06:20.000]  和他的legal rights
[00:06:20.000 --> 00:06:24.000]  成為一個繼承遺產的合法人
[00:06:24.000 --> 00:06:27.000]  所以是from father to son
[00:06:27.000 --> 00:06:32.000]  但是講到兒子不代表得救的只有男性
[00:06:32.000 --> 00:06:35.000]  in the same way 講到父神
[00:06:35.000 --> 00:06:37.000]  不是在講神 是一個男人
[00:06:37.000 --> 00:06:41.000]  是一個男性的神
[00:06:41.000 --> 00:06:44.000]  中心不是他的性別
[00:06:44.000 --> 00:06:50.000]  中心似乎是在講他這種權柄和
[00:06:50.000 --> 00:06:57.000]  在法律上的地位能夠領養一個兒子
[00:06:57.000 --> 00:07:01.000]  如果這樣看我們要明白多一點
[00:07:01.000 --> 00:07:04.000]  這些字眼怎麼用
[00:07:04.000 --> 00:07:12.000]  和明白為什麼稱神為父
[00:07:12.000 --> 00:07:16.000]  聖經裡面很特別
[00:07:16.000 --> 00:07:26.000]  保羅或者耶穌基督教我們祈禱
[00:07:26.000 --> 00:07:31.000]  我們在天上的父
[00:07:31.000 --> 00:07:35.000]  但是信徒的禱告很特別
[00:07:35.000 --> 00:07:40.000]  從來沒有稱神為父
[00:07:40.000 --> 00:07:43.000]  第一章稱神為主
[00:07:43.000 --> 00:07:45.000]  第四章稱神為主
[00:07:45.000 --> 00:07:48.000]  Lord, Lord Almighty, Lord God
[00:07:48.000 --> 00:07:51.000]  The Holy Almighty God, The Holy One
[00:07:51.000 --> 00:07:54.000]  不停提的都是這些稱號
[00:07:54.000 --> 00:08:03.000]  沒有一次禱告稱神為父
[00:08:03.000 --> 00:08:09.000]  聖經裡面有四百多次稱神為父
[00:08:09.000 --> 00:08:16.000]  但沒有一次是直接在信徒的禱文裡面稱神為父
[00:08:16.000 --> 00:08:18.000]  意思是什麼
[00:08:18.000 --> 00:08:20.000]  不是代表神不是我們的父
[00:08:20.000 --> 00:08:23.000]  神當然是我們的父
[00:08:23.000 --> 00:08:29.000]  但父這個字的意思不是男性的意思
[00:08:29.000 --> 00:08:31.000]  是權柄的意思
[00:08:31.000 --> 00:08:36.000]  所以禱告是Our Almighty God, Our Holy One
[00:08:36.000 --> 00:08:41.000]  Our Lord, 我們的主, 我們的神, 我們偉大的上帝
[00:08:41.000 --> 00:08:50.000]  老實說耶穌是男性吧
[00:08:52.000 --> 00:08:55.000]  耶穌是男性不代表神是男性
[00:08:55.000 --> 00:09:00.000]  耶穌來到世界上一定要取一個性別
[00:09:00.000 --> 00:09:05.000]  同樣地耶穌是猶太人不代表神是猶太人
[00:09:05.000 --> 00:09:07.000]  耶穌五尺幾寸我們不知道
[00:09:07.000 --> 00:09:09.000]  當祂是五尺七寸
[00:09:09.000 --> 00:09:12.000]  不代表神是五尺七寸
[00:09:12.000 --> 00:09:17.000]  所以說耶穌是男性不代表父神是男性
[00:09:17.000 --> 00:09:20.000]  為什麼這麼緊張
[00:09:20.000 --> 00:09:24.000]  為什麼要澄清父神
[00:09:24.000 --> 00:09:26.000]  沒錯是稱神為父
