
[00:00:00.000 --> 00:00:02.000]  基隆姐妹早平安
[00:00:02.000 --> 00:00:04.000]  感謝祖
[00:00:04.000 --> 00:00:06.000]  在上周
[00:00:06.000 --> 00:00:08.000]  我有機會
[00:00:08.000 --> 00:00:10.000]  出去度假
[00:00:10.000 --> 00:00:12.000]  這一次去的是San Juan
[00:00:12.000 --> 00:00:14.000]  跟Ocas兩個island
[00:00:14.000 --> 00:00:16.000]  其實前幾年
[00:00:16.000 --> 00:00:18.000]  我的女兒Pam
[00:00:18.000 --> 00:00:20.000]  就曾經帶我們去過San Juan
[00:00:20.000 --> 00:00:22.000]  那是一個
[00:00:22.000 --> 00:00:24.000]  我一直很想再回去的
[00:00:24.000 --> 00:00:26.000]  一個地方
[00:00:26.000 --> 00:00:28.000]  所以這一次跟朋友一起去
[00:00:28.000 --> 00:00:32.000]  那他們都是去騎自行車的
[00:00:32.000 --> 00:00:34.000]  所以他們到了San Juan
[00:00:34.000 --> 00:00:36.000]  在San Juan騎完自行車之後呢
[00:00:36.000 --> 00:00:38.000]  我們就直接的
[00:00:38.000 --> 00:00:40.000]  轉到Ocas去
[00:00:40.000 --> 00:00:42.000]  那我一路上都非常的小心的
[00:00:42.000 --> 00:00:44.000]  在蒐集資料
[00:00:44.000 --> 00:00:46.000]  也是希望有機會
[00:00:46.000 --> 00:00:48.000]  能夠帶著我們自己的弟兄姐妹
[00:00:48.000 --> 00:00:50.000]  再去一次
[00:00:50.000 --> 00:00:52.000]  那
[00:00:52.000 --> 00:00:54.000]  都是大海
[00:00:54.000 --> 00:00:56.000]  但是San Juan的
[00:00:56.000 --> 00:00:58.000]  遼闊
[00:00:58.000 --> 00:01:00.000]  一望無際的大海
[00:01:00.000 --> 00:01:02.000]  讓我這個
[00:01:02.000 --> 00:01:04.000]  在台灣南部長大的孩子
[00:01:04.000 --> 00:01:06.000]  好像回到了家
[00:01:06.000 --> 00:01:08.000]  那這一次在San Juan呢
[00:01:08.000 --> 00:01:10.000]  碰到了一個
[00:01:10.000 --> 00:01:12.000]  看海的朋友
[00:01:12.000 --> 00:01:14.000]  那這個朋友呢他在那裡住了40年
[00:01:14.000 --> 00:01:16.000]  他說他每一天
[00:01:16.000 --> 00:01:18.000]  都到同樣一個
[00:01:18.000 --> 00:01:20.000]  地方去看海
[00:01:20.000 --> 00:01:22.000]  那對著同一片的景象
[00:01:22.000 --> 00:01:24.000]  那他好像
[00:01:24.000 --> 00:01:26.000]  從未厭倦過
[00:01:26.000 --> 00:01:28.000]  那感謝主
[00:01:28.000 --> 00:01:30.000]  所以那個禮拜從週一
[00:01:30.000 --> 00:01:32.000]  到週五天氣都非常的好
[00:01:32.000 --> 00:01:34.000]  一直到禮拜五我們要
[00:01:34.000 --> 00:01:36.000]  回家才開始下雨
[00:01:36.000 --> 00:01:38.000]  所以呢
[00:01:38.000 --> 00:01:40.000]  我有一個非常
[00:01:40.000 --> 00:01:42.000]  愉快豐富的旅途
[00:01:42.000 --> 00:01:44.000]  在San Juan我們
[00:01:44.000 --> 00:01:46.000]  也看到了金魚
[00:01:46.000 --> 00:01:48.000]  那也看到當地的紅狐狸
[00:01:48.000 --> 00:01:50.000]  非常有趣的是
[00:01:50.000 --> 00:01:52.000]  好像這群狐狸也
[00:01:52.000 --> 00:01:54.000]  不太怕人
[00:01:54.000 --> 00:01:56.000]  那就好像我每天早上
[00:01:56.000 --> 00:01:58.000]  出去走路的時候
[00:01:58.000 --> 00:02:00.000]  路邊的兔子他也是這樣
[00:02:00.000 --> 00:02:02.000]  瞪大的眼睛望著我
[00:02:02.000 --> 00:02:04.000]  好像我們是已經
[00:02:04.000 --> 00:02:06.000]  認識已久和平相處的
[00:02:06.000 --> 00:02:08.000]  老朋友一樣的
[00:02:08.000 --> 00:02:10.000]  所以這一次呢在Ocas
[00:02:10.000 --> 00:02:12.000]  的旅館呢
[00:02:12.000 --> 00:02:14.000]  那他是以前一個市長
[00:02:14.000 --> 00:02:16.000]  的官邸
[00:02:16.000 --> 00:02:18.000]  那後面有一片大海
[00:02:18.000 --> 00:02:20.000]  有一個早上呢我就自己一個人
[00:02:20.000 --> 00:02:22.000]  面對著大海在那裡
[00:02:22.000 --> 00:02:24.000]  大聲的
[00:02:24.000 --> 00:02:26.000]  敬請的敬拜非常的美好
[00:02:26.000 --> 00:02:28.000]  那是一份甜蜜的恩典
[00:02:28.000 --> 00:02:30.000]  那在Ocas呢
[00:02:30.000 --> 00:02:32.000]  我也做了一個
[00:02:32.000 --> 00:02:34.000]  創紀錄的事情
[00:02:34.000 --> 00:02:36.000]  就是跟
[00:02:36.000 --> 00:02:38.000]  幾個非常
[00:02:38.000 --> 00:02:40.000]  有經驗的登山高手呢
[00:02:40.000 --> 00:02:42.000]  一起出去征服了一段
[00:02:42.000 --> 00:02:44.000]  非常有挑戰性的山路
[00:02:44.000 --> 00:02:46.000]  那我們從中午
