
[00:00:00.000 --> 00:00:05.760]  我想大家和我一起給予一些回應
[00:00:05.760 --> 00:00:07.760]  因為我看不到有多少人
[00:00:07.760 --> 00:00:11.480]  可能大家已經回家崇拜了
[00:00:11.480 --> 00:00:14.480]  所以可能一個人都沒有
[00:00:14.480 --> 00:00:18.280]  給我一些聲音 讓我知道有多少人
[00:00:18.280 --> 00:00:20.200]  準備了
[00:00:20.200 --> 00:00:22.880]  各位電影姐妹平安
[00:00:22.880 --> 00:00:24.080]  好像很多人
[00:00:24.080 --> 00:00:26.080]  先給上帝一些掌聲
[00:00:31.000 --> 00:00:32.480]  感謝主
[00:00:32.480 --> 00:00:34.480]  我們一起低頭禱告
[00:01:00.480 --> 00:01:02.000]  阿門
[00:01:02.000 --> 00:01:04.000]  好 電影姐妹
[00:01:04.000 --> 00:01:06.000]  首先
[00:01:06.000 --> 00:01:10.280]  我要在這裡多謝大家
[00:01:10.280 --> 00:01:15.600]  在近日對我的身體健康的禱告
[00:01:15.600 --> 00:01:17.600]  和愛心的問候
[00:01:17.600 --> 00:01:22.000]  我很高興告訴你們
[00:01:22.000 --> 00:01:27.000]  我身體上基本上已經復原而安好
[00:01:27.000 --> 00:01:28.280]  大聲一點
[00:01:29.600 --> 00:01:33.600]  (掌聲)
[00:01:33.600 --> 00:01:37.600]  早堂說不夠時就要爆咪
[00:01:37.600 --> 00:01:41.600]  好有中氣
[00:01:41.600 --> 00:01:44.600]  我今天更加想和大家分享的
[00:01:44.600 --> 00:01:47.600]  就是近日以來
[00:01:47.600 --> 00:01:52.600]  時時仍擾我腦裏的思想和感觸
[00:01:52.600 --> 00:01:57.600]  過去一年
[00:01:57.600 --> 00:02:03.600]  香港實在是在生活其中的我們
[00:02:03.600 --> 00:02:06.600]  心裏面很鬱悶
[00:02:06.600 --> 00:02:09.600]  一點都不容易 是不是 電影姐妹
[00:02:09.600 --> 00:02:13.600]  加上由今年一月尾
[00:02:13.600 --> 00:02:15.600]  在中國內地
[00:02:15.600 --> 00:02:21.600]  香港和世界各地所爆發的疫症
[00:02:21.600 --> 00:02:24.600]  更加使得我們和全球的居民
