
[00:00:00.000 --> 00:00:03.820]  謙卑是一種品德和態度
[00:00:03.820 --> 00:00:06.320]  一個謙卑的人認識他自己
[00:00:06.320 --> 00:00:08.240]  他不會把自己看得太高
[00:00:08.240 --> 00:00:11.640]  也不會過分地來貶低他自己
[00:00:11.640 --> 00:00:12.240]  換句話說
[00:00:12.240 --> 00:00:14.400]  一個謙卑的人他不自誇
[00:00:14.400 --> 00:00:17.320]  懂得尊重別人
[00:00:17.320 --> 00:00:18.520]  所以聖靈告訴我們說
[00:00:18.520 --> 00:00:20.680]  神非常喜愛
[00:00:20.680 --> 00:00:23.160]  而且要祝福那些謙卑的人
[00:00:23.160 --> 00:00:24.920]  所以在彼得前書第五章第五節
[00:00:24.920 --> 00:00:26.320]  彼得說
[00:00:26.320 --> 00:00:29.400]  驕傲是神所阻擋的人
[00:00:29.400 --> 00:00:33.440]  但是神要賜恩給謙卑的人
[00:00:33.440 --> 00:00:35.240]  有一位牧師
[00:00:35.240 --> 00:00:38.720]  因為常常講道講很長而出名
[00:00:38.720 --> 00:00:39.560]  當然不是林牧師
[00:00:39.560 --> 00:00:41.960]  也不是鄭牧師
[00:00:41.960 --> 00:00:44.840]  但是卻沒有人敢告訴他
[00:00:44.840 --> 00:00:48.080]  請他不要講道講那麼長
[00:00:48.080 --> 00:00:50.520]  有一個逐日早上這個牧師
[00:00:50.520 --> 00:00:52.960]  他因為常常講道講得很長
[00:00:52.960 --> 00:00:54.480]  常常引以為傲
[00:00:54.480 --> 00:00:55.800]  所以那天逐日崇拜的時候
[00:00:55.800 --> 00:00:57.960]  他又講了一篇很長的道
[00:00:57.960 --> 00:01:00.320]  已經超過了逐日崇拜的時間
[00:01:00.320 --> 00:01:02.160]  但是沒有人敢跟他講
[00:01:02.160 --> 00:01:04.880]  大家不停地在看自己的手錶
[00:01:04.880 --> 00:01:06.360]  不久以後
[00:01:06.360 --> 00:01:08.560]  有一位執事就站了起來
[00:01:08.560 --> 00:01:10.200]  走到牧師的前面
[00:01:10.200 --> 00:01:12.880]  要從他前面準備走出去
[00:01:12.880 --> 00:01:14.040]  牧師看到他就說
[00:01:14.040 --> 00:01:15.120]  我還在講道
[00:01:15.120 --> 00:01:16.640]  你要去哪裡
[00:01:16.640 --> 00:01:18.480]  然後這位執事就回答說
[00:01:18.480 --> 00:01:20.960]  我要去剪頭髮
