
[00:00:00.000 --> 00:00:06.000]  不知道大家有沒有聽過或者看過香港一個電視節目
[00:00:06.000 --> 00:00:09.000]  那個電視節目叫做《花王俱樂部》
[00:00:09.000 --> 00:00:12.000]  不知道大家有沒有聽過有沒有看過呢?
[00:00:12.000 --> 00:00:14.000]  如果有的話呢
[00:00:14.000 --> 00:00:18.000]  好消息你們的記性相當好
[00:00:18.000 --> 00:00:25.000]  壞消息就是你們的年齡起碼有我這個年齡
[00:00:25.000 --> 00:00:31.000]  因為這個電視節目是六十年代尾七十年頭的節目
[00:00:31.000 --> 00:00:34.000]  在那個節目裡面如果大家記得聽過或者看過
[00:00:34.000 --> 00:00:36.000]  或者沒聽過的話這個節目是什麼節目呢?
[00:00:36.000 --> 00:00:39.000]  是那些參賽者你們答一個問題
[00:00:39.000 --> 00:00:41.000]  答中了這個問題的時候
[00:00:41.000 --> 00:00:45.000]  他們可以選這個節目主持人就是最流行的了
[00:00:45.000 --> 00:00:50.000]  獎品那些叫什麼?獎金還是獎品?獎金還是獎品?
[00:00:50.000 --> 00:00:52.000]  如果選獎品的時候
[00:00:52.000 --> 00:00:56.000]  這個節目主持人就說你一隻手拿了多少
[00:00:56.000 --> 00:00:57.000]  你就拿多少
[00:00:57.000 --> 00:00:58.000]  多好啊
[00:00:58.000 --> 00:01:01.000]  我覺得我們剛才所讀的經文
[00:01:01.000 --> 00:01:05.000]  和這個電視節目有很多類似的地方
[00:01:05.000 --> 00:01:06.000]  我們一同來看看
[00:01:06.000 --> 00:01:11.000]  在這個經文我們可以學到什麼功課
[00:01:11.000 --> 00:01:15.000]  我們過去就已經講了幾個星期加拉太書了
[00:01:15.000 --> 00:01:16.000]  如果大家一直有耕耘的時候
[00:01:16.000 --> 00:01:18.000]  我相信大家都很清楚
[00:01:18.000 --> 00:01:22.000]  加拉太書最重要的訊息是什麼?
[00:01:22.000 --> 00:01:26.000]  最重要的訊息是因信清義
[00:01:26.000 --> 00:01:29.000]  並不是因為行為而清義
[00:01:29.000 --> 00:01:31.000]  而今天我們所讀的經文
[00:01:31.000 --> 00:01:34.000]  作者保羅再進一步告訴我們
[00:01:34.000 --> 00:01:36.000]  我們清義之後
[00:01:36.000 --> 00:01:38.000]  我們有一個新的身份
[00:01:38.000 --> 00:01:39.000]  這是什麼身份呢?
[00:01:39.000 --> 00:01:41.000]  就是神兒女的身份
[00:01:41.000 --> 00:01:47.000]  兒女的身份通過我們受洗歸入基督
[00:01:47.000 --> 00:01:50.000]  然後就是披戴基督
[00:01:50.000 --> 00:01:51.000]  大家要留意
[00:01:51.000 --> 00:01:54.000]  我們很多時候如果單是看這次的經文
[00:01:54.000 --> 00:01:56.000]  第27次的經文說
[00:01:56.000 --> 00:02:00.000]  我們受洗歸入基督的都是披戴基督
[00:02:00.000 --> 00:02:03.000]  如果單是看這次的經文的時候
[00:02:03.000 --> 00:02:05.000]  很多時候我們有一個誤解就是
[00:02:05.000 --> 00:02:07.000]  我們一定要受水禮
[00:02:07.000 --> 00:02:10.000]  然後才可以得著清義
[00:02:10.000 --> 00:02:12.000]  得著永恆的生命
[00:02:12.000 --> 00:02:15.000]  這個大家要留意
[00:02:15.000 --> 00:02:19.000]  我們不能夠抽取一節的經文
[00:02:19.000 --> 00:02:22.000]  作為一個真理的判斷
[00:02:22.000 --> 00:02:23.000]  我們要很小心
[00:02:23.000 --> 00:02:26.000]  我們看聖經是需要按照上文下理
[00:02:26.000 --> 00:02:28.000]  需要按照整體聖經的教導
[00:02:28.000 --> 00:02:32.000]  來解讀某一兩節的經文
[00:02:32.000 --> 00:02:33.000]  我們叫這個什麼?
[00:02:33.000 --> 00:02:35.000]  我們要以經解經
[00:02:35.000 --> 00:02:38.000]  整個聖經的教導告訴我們
[00:02:38.000 --> 00:02:42.000]  我們是因著我們在耶穌基督裡面的信心
[00:02:42.000 --> 00:02:44.000]  而得著清義
[00:02:44.000 --> 00:02:51.000]  外在的儀式是表達我們內心的信心的一種表現
[00:02:51.000 --> 00:02:55.000]  整個信仰的核心最重要的就是信心
[00:02:55.000 --> 00:03:00.000]  而保羅也告訴我們
[00:03:00.000 --> 00:03:02.000]  我們只要帶著信心
[00:03:02.000 --> 00:03:05.000]  來到耶穌基督的面前的時候
[00:03:05.000 --> 00:03:07.000]  無論我們的種族是什麼
[00:03:07.000 --> 00:03:10.000]  無論我們的社會背景是什麼
[00:03:10.000 --> 00:03:12.000]  我們的性別是什麼
[00:03:12.000 --> 00:03:15.000]  總之我們在信耶穌的時候
[00:03:15.000 --> 00:03:18.000]  就在耶穌基督裡面成為一
[00:03:18.000 --> 00:03:19.000]  什麼意思?
[00:03:19.000 --> 00:03:21.000]  就是說我們都是屬於耶穌基督
[00:03:21.000 --> 00:03:24.000]  我們都是亞伯拉罕的後裔
[00:03:24.000 --> 00:03:26.000]  亞伯拉罕
[00:03:26.000 --> 00:03:27.000]  大家都知道
[00:03:27.000 --> 00:03:31.000]  在神面前領受得著神所給他的應許
[00:03:31.000 --> 00:03:32.000]  什麼應許?
[00:03:32.000 --> 00:03:34.000]  就是得著神的產業
