
[00:00:00.000 --> 00:00:04.360]  今日的題目是「信仰傳承」
[00:00:04.360 --> 00:00:09.200]  我們會看提摩泰後書一章一至七節
[00:00:09.200 --> 00:00:14.560]  在2014年香港教會普查的簡報裏
[00:00:14.560 --> 00:00:17.280]  我想跟大家分享一兩點
[00:00:17.280 --> 00:00:19.840]  第一點是在整個普查
[00:00:19.840 --> 00:00:22.440]  整個香港教會的普查裏
[00:00:22.440 --> 00:00:25.840]  45歲以下的回眾數目
[00:00:25.840 --> 00:00:28.840]  較5年前減少
[00:00:28.840 --> 00:00:34.000]  但45歲以上回眾數目不斷增加
[00:00:34.000 --> 00:00:38.640]  即是反映過去5年教會老齡化
[00:00:38.640 --> 00:00:42.480]  正在持續加增
[00:00:42.480 --> 00:00:48.480]  另外本港有169間堂會
[00:00:48.480 --> 00:00:52.680]  大約一成多沒有堂主任
[00:00:52.680 --> 00:01:02.120]  另外有113間表示堂主任將在未來三年退休
[00:01:02.120 --> 00:01:05.960]  第二點是第二代基督徒
[00:01:05.960 --> 00:01:10.240]  在大部份堂會中只屬少數
[00:01:10.240 --> 00:01:12.240]  我們說信義代
[00:01:12.240 --> 00:01:14.440]  即是父母相信耶穌
[00:01:14.440 --> 00:01:18.920]  但下一代有很多都不信
[00:01:18.920 --> 00:01:21.920]  又或者叫出走教會
[00:01:21.920 --> 00:01:26.440]  另外一點是面對年齡的斷層困難
[00:01:26.440 --> 00:01:32.200]  堂會的比率在2009年比較顯著上升
[00:01:32.200 --> 00:01:34.760]  所以香港整體的教會
[00:01:34.760 --> 00:01:43.360]  面對老齡化、空巢期、斷層、領袖方的挑戰
[00:01:43.360 --> 00:01:45.360]  在信仰承傳上
[00:01:45.360 --> 00:01:48.920]  信徒是可以怎樣能夠繼續承屬
[00:01:48.920 --> 00:01:53.160]  來承傳或承擔福音的使命
[00:01:53.160 --> 00:01:55.160]  世代傳承呢
[00:01:55.160 --> 00:01:57.160]  這是一個很大的挑戰
[00:01:57.160 --> 00:02:01.400]  也是我們需要反思的問題
[00:02:01.400 --> 00:02:04.640]  我爸爸在鄉下的時候
[00:02:04.640 --> 00:02:07.120]  他經常說鄉下的事情
[00:02:07.120 --> 00:02:09.120]  他說他在鄉下的時候
[00:02:09.120 --> 00:02:13.720]  有一些瑞士的姑娘教他們讀書
[00:02:13.720 --> 00:02:15.720]  當他們生病的時候
[00:02:15.720 --> 00:02:20.440]  有一些瑞士的姑娘去他們家看病
[00:02:20.440 --> 00:02:23.520]  可以去到教會裏面聽書
[00:02:23.520 --> 00:02:26.960]  聽書的意思就是講道
[00:02:26.960 --> 00:02:30.360]  有時我們經常聽他講
[00:02:30.360 --> 00:02:31.600]  聽吧
[00:02:31.600 --> 00:02:34.760]  都不知道有沒有甚麼根據
[00:02:34.760 --> 00:02:36.520]  最近這幾年
[00:02:36.520 --> 00:02:41.560]  鄉下有人寫了一本史字
[00:02:41.560 --> 00:02:45.400]  即是有關我們的族譜
[00:02:45.400 --> 00:02:46.920]  我們的家譜
[00:02:46.920 --> 00:02:48.640]  我們的歷史
[00:02:48.640 --> 00:02:50.160]  或者在那條村裏面
[00:02:50.160 --> 00:02:52.880]  究竟以往發生了甚麼事
[00:02:52.880 --> 00:02:54.680]  這麼厚的
[00:02:54.680 --> 00:02:55.560]  一看
[00:02:55.560 --> 00:02:56.920]  拿回來看
[00:02:56.920 --> 00:02:59.560]  原來爸爸講的東西是真的
[00:02:59.560 --> 00:03:01.440]  原來在150年之前
[00:03:01.440 --> 00:03:02.960]  1866年
[00:03:02.960 --> 00:03:06.600]  是德國的巴式會
[00:03:06.600 --> 00:03:09.600]  就差派了一些瑞士的宣教士
[00:03:09.600 --> 00:03:11.640]  來建立教會
[00:03:11.640 --> 00:03:13.520]  辦學和醫院
[00:03:13.520 --> 00:03:16.800]  又將福音傳給整條村的人聽
[00:03:16.800 --> 00:03:20.120]  後來整條村的人就信了耶穌
[00:03:20.120 --> 00:03:22.840]  稱為福音村
[00:03:22.840 --> 00:03:28.960]  在這個歷史書裏面還寫到
[00:03:28.960 --> 00:03:32.240]  孫中山先生曾經在廣州起義
[00:03:32.240 --> 00:03:33.880]  失敗之後
[00:03:33.880 --> 00:03:36.160]  逃避清兵的追捕
[00:03:36.160 --> 00:03:38.080]  由廣州秘密
[00:03:38.080 --> 00:03:43.920]  潛到這條村的學校裏面躲藏
[00:03:43.920 --> 00:03:45.960]  這本書是這樣說的
[00:03:45.960 --> 00:03:48.560]  我們看到早年的宣教士
[00:03:48.560 --> 00:03:49.840]  來到中國
