
[00:00:00.000 --> 00:00:03.480]  大概七、八十年之前
[00:00:03.480 --> 00:00:06.640]  有一本頗為多人知道
[00:00:06.640 --> 00:00:09.620]  很出名的英文小說
[00:00:09.620 --> 00:00:15.160]  那個小說叫做《一九八四》
[00:00:15.160 --> 00:00:19.700]  這個小說裏面有一句說話很出名
[00:00:19.700 --> 00:00:21.080]  大家可能都會聽過
[00:00:21.080 --> 00:00:23.000]  The big brother is watching
[00:00:23.000 --> 00:00:27.920]  我儘管譯他做老大哥在監視著
[00:00:27.920 --> 00:00:31.520]  我相信很多人即使沒有聽過這本小說
[00:00:31.520 --> 00:00:33.040]  都應該聽過這句說話
[00:00:33.040 --> 00:00:33.920]  The big brother is watching
[00:00:33.920 --> 00:00:34.600]  很多人聽過
[00:00:34.600 --> 00:00:37.920]  這本小說講的是一個訊息
[00:00:37.920 --> 00:00:40.880]  就是說在一個極權的國家裏面
[00:00:40.880 --> 00:00:43.360]  那個政府好像是一個無形之手
[00:00:43.360 --> 00:00:47.520]  來控制著那個國家的人民的思想
[00:00:47.520 --> 00:00:48.560]  他們的行為
[00:00:48.560 --> 00:00:50.120]  都要控制著
[00:00:50.120 --> 00:00:53.920]  所以他們鼓勵那些人民要出來
[00:00:53.920 --> 00:00:54.800]  站出來
[00:00:54.800 --> 00:00:57.240]  要保護真理
[00:00:57.240 --> 00:00:58.640]  思想的自由
[00:00:58.640 --> 00:01:05.280]  以及保留著人民對極權政府的質詢權利等等
[00:01:05.280 --> 00:01:06.680]  我相信大家都很熟悉
[00:01:06.680 --> 00:01:09.680]  我們今天的現今的社會很看重一件事
[00:01:09.680 --> 00:01:10.400]  看重甚麼?
[00:01:10.400 --> 00:01:12.040]  我們的私隱
[00:01:12.040 --> 00:01:14.640]  我們不想將我們去過甚麼地方
[00:01:14.640 --> 00:01:16.440]  跟人談過甚麼
[00:01:16.440 --> 00:01:18.600]  或者我們在網絡上
[00:01:18.600 --> 00:01:19.960]  社交的群體裏面
[00:01:19.960 --> 00:01:22.280]  去過甚麼網頁
[00:01:22.280 --> 00:01:25.120]  讓人知道很不濟
[00:01:25.120 --> 00:01:26.160]  為甚麼?
[00:01:26.160 --> 00:01:29.560]  我相信除了一些個人的特別原因之外
[00:01:29.560 --> 00:01:32.000]  最普遍的原因就是為甚麼?
[00:01:32.000 --> 00:01:34.120]  如果我們這些個人的資料
[00:01:34.120 --> 00:01:37.360]  落入不法之徒的手上的時候
[00:01:37.360 --> 00:01:38.520]  會怎樣?
[00:01:38.520 --> 00:01:40.520]  會帶來不同層面
[00:01:40.520 --> 00:01:42.000]  不同類型的損失
[00:01:42.000 --> 00:01:43.560]  當然不濟
[00:01:43.560 --> 00:01:44.880]  不過我想大家想一想
[00:01:44.880 --> 00:01:46.480]  如果我們的個人資料
[00:01:46.480 --> 00:01:48.440]  不是落入不法之徒的手上
[00:01:48.440 --> 00:01:51.960]  而是落入一個愛你的人的手上
[00:01:51.960 --> 00:01:56.720]  落入一個處處為你著想的人的手上
[00:01:56.720 --> 00:02:03.280]  我相信除非我們有些見不到光的東西
[00:02:03.280 --> 00:02:06.840]  否則我相信大家都沒有問題
[00:02:06.840 --> 00:02:08.960]  我們反而覺得那個不是監視
[00:02:08.960 --> 00:02:13.000]  那個是對我們的關心、關注
[00:02:13.000 --> 00:02:17.640]  今天的經文讓我們看到一個事實
[00:02:17.640 --> 00:02:21.920]  這個事實就是我們全知全能的神
[00:02:21.920 --> 00:02:25.880]  實際上我們的思想言行
[00:02:25.880 --> 00:02:26.800]  祂都知道
[00:02:26.800 --> 00:02:29.200]  祂都一清二楚的
[00:02:29.200 --> 00:02:31.640]  大家聽到這個事實之後
[00:02:31.640 --> 00:02:33.360]  不知道大家感覺怎樣?
[00:02:33.360 --> 00:02:34.920]  會不會很害怕?
[00:02:34.920 --> 00:02:36.680]  還是很安全
[00:02:36.680 --> 00:02:39.040]  很有被愛的感覺呢?
[00:02:39.040 --> 00:02:43.000]  今天跟大家通過剛才我們所讀的經文
[00:02:43.000 --> 00:02:46.880]  看看神對我們的認知
