
[00:00:00.000 --> 00:00:04.000]  各位同學,大家平安。
[00:00:04.000 --> 00:00:12.000]  今天是一個什麼日子呢?
[00:00:12.000 --> 00:00:16.000]  今天是11月的第一個禮拜天,
[00:00:16.000 --> 00:00:22.000]  也是在大選之前的最後一個禮拜天。
[00:00:22.000 --> 00:00:26.000]  所以今天這個主日,
[00:00:26.000 --> 00:00:29.000]  我想要跟大家來分享,
[00:00:29.000 --> 00:00:32.000]  基督徒的身份與使命。
[00:00:32.000 --> 00:00:36.000]  我們一起來看剛才所讀的這段聖經。
[00:00:36.000 --> 00:00:38.000]  啟示錄在第五章九到十節,
[00:00:38.000 --> 00:00:40.000]  我們一直在講這個東西。
[00:00:40.000 --> 00:00:42.000]  本來我想找一些其他的經文,
[00:00:42.000 --> 00:00:44.000]  其實有很多經文可以來講今天這篇信息,
[00:00:44.000 --> 00:00:48.000]  但是我想啟示錄第五章這一段聖經裡面,
[00:00:48.000 --> 00:00:53.000]  其實已經可以提到我今天所要講的。
[00:00:53.000 --> 00:00:57.000]  有些其他經文我就會再從別的地方引過來。
[00:00:57.000 --> 00:00:59.000]  我們在這裡講到說,
[00:00:59.000 --> 00:01:03.000]  啟示錄關乎的是將來末後要發生的事情。
[00:01:03.000 --> 00:01:05.000]  所以是一本很重要的書。
[00:01:05.000 --> 00:01:06.000]  那全家庭同學們,
[00:01:06.000 --> 00:01:09.000]  你今天看見這個世界發生了很多的這些事情,
[00:01:09.000 --> 00:01:13.000]  你要了解這些東西都在上帝的預言裡面,
[00:01:13.000 --> 00:01:15.000]  都在這本書的預言裡面,
[00:01:15.000 --> 00:01:17.000]  一個一個的會發生。
[00:01:17.000 --> 00:01:20.000]  所以你要仔細的來聽這些的信息。
[00:01:20.000 --> 00:01:22.000]  我們看見在這個圖裡面,
[00:01:22.000 --> 00:01:23.000]  我曾經給大家看過,
[00:01:23.000 --> 00:01:27.000]  這裡就是看見說在啟示錄裡面的整個的大綱裡面,
[00:01:27.000 --> 00:01:30.000]  每一個章裡面每一段這樣子的。
[00:01:30.000 --> 00:01:34.000]  啟示錄第四章第五章是很重要的。
[00:01:34.000 --> 00:01:35.000]  啟示錄第四章第五章,
[00:01:35.000 --> 00:01:42.000]  第四章講到敬拜上帝的那個榮耀的光景,
[00:01:42.000 --> 00:01:44.000]  然後第五章就講到敬拜高揚,
[00:01:44.000 --> 00:01:47.000]  就是耶穌基督的那個榮耀的光景。
[00:01:47.000 --> 00:01:49.000]  所以我們的敬拜很重要,
[00:01:49.000 --> 00:01:54.000]  我們敬拜祂就是知道說祂是已經掌權的王。
[00:01:54.000 --> 00:01:56.000]  所以不管你看到多少的黑暗,
[00:01:56.000 --> 00:01:58.000]  看到多少一些讓你洩氣的事情,
[00:01:58.000 --> 00:02:00.000]  你要記得這件事情,
[00:02:00.000 --> 00:02:02.000]  就是啟示錄裡面讓我們清楚的看見,
[00:02:02.000 --> 00:02:03.000]  這位被殺的高揚,
[00:02:03.000 --> 00:02:07.000]  祂是坐在寶座上面的這一位高揚,
[00:02:07.000 --> 00:02:11.000]  這一位主祂已經從死裡面復活了。
[00:02:11.000 --> 00:02:13.000]  所以因為這樣子的一個緣故,
[00:02:13.000 --> 00:02:15.000]  我們看見啟示錄裡面提到說,
[00:02:15.000 --> 00:02:18.000]  我們上次提到說祂曾經被殺,
[00:02:18.000 --> 00:02:21.000]  那佩德展開那個書簡,
[00:02:21.000 --> 00:02:23.000]  那個書簡是關乎什麼呢?
[00:02:23.000 --> 00:02:27.000]  那個書簡關乎將來許許多多必成的事情。
[00:02:27.000 --> 00:02:32.000]  這個書簡關乎接下來的七日七晚,
[00:02:32.000 --> 00:02:36.000]  也就是說當這個七日七晚發生的時候,
[00:02:36.000 --> 00:02:40.000]  就是宣告審判的來臨。
[00:02:40.000 --> 00:02:45.000]  那丁子妹在第五章第九節,
[00:02:45.000 --> 00:02:48.000]  提到說祢曾被殺,
[00:02:48.000 --> 00:02:52.000]  用自己的血從各族各方各民各國中買了人來,
[00:02:52.000 --> 00:02:54.000]  叫他們歸於神。
[00:02:54.000 --> 00:02:56.000]  這段時間其實也可以講宣教,
[00:02:56.000 --> 00:02:58.000]  我今天不是仔細的,
[00:02:58.000 --> 00:03:00.000]  主要不是在講宣教,
[00:03:00.000 --> 00:03:03.000]  但是在這個地方提到說叫他們歸於神,
[00:03:03.000 --> 00:03:05.000]  所以這裡讓我們看見說,
[00:03:05.000 --> 00:03:09.000]  神把我們從用祂自己的宗教把我們買贖回來,
[00:03:09.000 --> 00:03:11.000]  祂的目的是什麼呢?
[00:03:11.000 --> 00:03:14.000]  第一個歸於神,
[00:03:14.000 --> 00:03:15.000]  接著說什麼呢?
[00:03:15.000 --> 00:03:17.000]  接著叫他們成為國民,
[00:03:17.000 --> 00:03:19.000]  哪裡的國民呢?
[00:03:19.000 --> 00:03:20.000]  丁子妹,你來美國,
[00:03:20.000 --> 00:03:22.000]  你想成為哪一國國民呢?
[00:03:22.000 --> 00:03:24.000]  很多人想成為美國的國民,對不對?
[00:03:24.000 --> 00:03:25.000]  為什麼要成為美國國民?
[00:03:25.000 --> 00:03:29.000]  為什麼?
[00:03:29.000 --> 00:03:30.000]  都不回答。
[00:03:30.000 --> 00:03:31.000]  為什麼?
[00:03:31.000 --> 00:03:34.000]  你覺得好,所以你要成為國民,是不是?
[00:03:34.000 --> 00:03:36.000]  如果哪一天美國不好了,
[00:03:36.000 --> 00:03:38.000]  你還會想來嗎?
[00:03:38.000 --> 00:03:39.000]  是不是?
[00:03:39.000 --> 00:03:43.000]  你會不會想到古巴去做古巴國民?
[00:03:43.000 --> 00:03:46.000]  大概你可能不太清楚。
[00:03:46.000 --> 00:03:48.000]  你會不會想到委內瑞拉,
[00:03:48.000 --> 00:03:50.000]  現在一團亂的一個地方,
[00:03:50.000 --> 00:03:55.000]  你想不去那邊成為它的國民?
[00:03:55.000 --> 00:03:56.000]  這裡講的是說,
[00:03:56.000 --> 00:03:59.000]  神要使我們成為國民,
[00:03:59.000 --> 00:04:00.000]  這個國民是指什麼呢?
[00:04:00.000 --> 00:04:02.000]  指的天國的國民,
[00:04:02.000 --> 00:04:03.000]  指的神國的國民,
[00:04:03.000 --> 00:04:07.000]  Amen!
[00:04:07.000 --> 00:04:10.000]  但是為什麼不要停在這個地方?
[00:04:10.000 --> 00:04:12.000]  我們的身份是天國的國民,
[00:04:12.000 --> 00:04:15.000]  在彼得秦書那邊講說是聖潔的國民,
[00:04:15.000 --> 00:04:16.000]  聖潔的國度,
[00:04:16.000 --> 00:04:17.000]  這邊把它,
[00:04:17.000 --> 00:04:22.000]  在彼得秦書把它翻成是聖潔的國度,
