
[00:00:00.000 --> 00:00:03.000]  今天我繼續在這個
[00:00:03.000 --> 00:00:09.000]  要勝過法理錯人的義這個主題裡面去講
[00:00:09.000 --> 00:00:13.000]  講的題目是有關起誓這一方面
[00:00:13.000 --> 00:00:17.000]  神是容許人起誓
[00:00:17.000 --> 00:00:20.000]  起誓的原意都是好的
[00:00:20.000 --> 00:00:25.000]  但是我們人卻是狡猾
[00:00:25.000 --> 00:00:28.000]  我們人如果在起誓裡面
[00:00:28.000 --> 00:00:33.000]  加上自己的私心或者野心的時候
[00:00:33.000 --> 00:00:36.000]  就會變成自誇
[00:00:36.000 --> 00:00:41.000]  或者甚至會趨向虛假
[00:00:41.000 --> 00:00:46.000]  這樣就會成為撒旦的俘虜
[00:00:46.000 --> 00:00:54.000]  我希望和大家一起今天去看所選的經文
[00:00:54.000 --> 00:00:55.000]  一起去學一下
[00:00:55.000 --> 00:01:01.000]  讓我們更加明白主耶穌在起誓這一方面的心意是怎樣
[00:01:01.000 --> 00:01:03.000]  祂想我們怎樣做呢
[00:01:03.000 --> 00:01:13.000]  我們先看經文
[00:01:13.000 --> 00:01:17.000]  《馬太福音》五章第三十三節
[00:01:17.000 --> 00:01:22.000]  第一句祂說
[00:01:22.000 --> 00:01:26.000]  你們又聽見又吩咐古人的話
[00:01:26.000 --> 00:01:28.000]  吩咐古人的話
[00:01:28.000 --> 00:01:31.000]  這一句話的意思其實就是指
[00:01:31.000 --> 00:01:35.000]  法理錯人傳統的教導
[00:01:35.000 --> 00:01:40.000]  或者是祖輩一直傳下來的遺傳的教導
[00:01:40.000 --> 00:01:43.000]  不一定是等同聖經
[00:01:43.000 --> 00:01:46.000]  主耶穌說這句話
[00:01:46.000 --> 00:01:48.000]  其實祂就是說
[00:01:48.000 --> 00:01:52.000]  某程度上就是法理錯人可能是教錯你們
[00:01:52.000 --> 00:01:54.000]  他們怎樣說呢
[00:01:54.000 --> 00:01:56.000]  他們說不可背誓
[00:01:56.000 --> 00:01:59.000]  所起的誓總要向主謹守
[00:01:59.000 --> 00:02:02.000]  這句話其實沒有什麼錯
[00:02:02.000 --> 00:02:05.000]  耶穌去引述這一句話
[00:02:05.000 --> 00:02:12.000]  也不是直接從聖經某一句引申出來
[00:02:12.000 --> 00:02:16.000]  在舊約聖經裡面沒有一句直接這樣說的說話
[00:02:16.000 --> 00:02:19.000]  耶穌這句話其實是集合
[00:02:19.000 --> 00:02:23.000]  好幾節聖經的一個整體的意思
[00:02:23.000 --> 00:02:25.000]  有很多句的
[00:02:25.000 --> 00:02:27.000]  在舊約特別摩西五經裡面
[00:02:27.000 --> 00:02:28.000]  在典章律法裡面
[00:02:28.000 --> 00:02:30.000]  十誡裡面
[00:02:30.000 --> 00:02:36.000]  比如在文素記第三十章第二節
[00:02:36.000 --> 00:02:40.000]  經文說
[00:02:40.000 --> 00:02:44.000]  人若向耶和華許願或起誓
[00:02:44.000 --> 00:02:47.000]  若束自己就不可食言
[00:02:47.000 --> 00:02:50.000]  必要按口中所出的一切話行
[00:02:50.000 --> 00:02:57.000]  另外在新命記二十三章二十一節裡也說
[00:02:57.000 --> 00:03:00.000]  你向耶和華你的神許願
[00:03:00.000 --> 00:03:02.000]  償還不可辭言
[00:03:02.000 --> 00:03:05.000]  因為耶和華你的神必定向你追討
[00:03:05.000 --> 00:03:07.000]  你不償還就有罪
[00:03:07.000 --> 00:03:10.000]  這句話是沒有打出來的
[00:03:10.000 --> 00:03:11.000]  我只是讀給大家聽
[00:03:13.000 --> 00:03:15.000]  起誓不去償還
[00:03:15.000 --> 00:03:17.000]  某程度上說
[00:03:17.000 --> 00:03:20.000]  就是背誓或者起假誓
[00:03:20.000 --> 00:03:24.000]  起假誓是褻瀆神的名
[00:03:24.000 --> 00:03:28.000]  比如在利未記十九章十二節裡說
[00:03:28.000 --> 00:03:31.000]  不可指著我的名起假誓
[00:03:31.000 --> 00:03:34.000]  褻瀆你神的名
[00:03:34.000 --> 00:03:36.000]  我是耶和華
[00:03:36.000 --> 00:03:41.000]  另外又是有一節聖經
[00:03:41.000 --> 00:03:43.000]  應該大家都很熟悉
[00:03:43.000 --> 00:03:44.000]  也不會打出來的
[00:03:44.000 --> 00:03:47.000]  是出埃及的二十章七節
[00:03:47.000 --> 00:03:50.000]  不可妄稱耶和華你神的名
[00:03:50.000 --> 00:03:52.000]  因為妄稱耶和華的名
[00:03:52.000 --> 00:03:55.000]  耶和華必不以他為無罪
[00:03:55.000 --> 00:03:59.000]  猜不猜得到這句聖經是什麼?
[00:03:59.000 --> 00:04:01.000]  是十誡裡的第三誡
[00:04:01.000 --> 00:04:04.000]  不可妄稱耶和華的名
