
[00:00:00.000 --> 00:00:04.760]  我們一起來讀一段經文是在真言十九章第八節
[00:00:04.760 --> 00:00:06.480]  我們一起來唸來
[00:00:06.480 --> 00:00:09.760]  得着智慧的愛惜生命
[00:00:09.760 --> 00:00:13.560]  保守聰明的必得好處
[00:00:13.560 --> 00:00:17.040]  讓我們把英文的NIV版本一起來唸一遍來
[00:00:17.040 --> 00:00:20.280]  The one who gets wisdom loves life
[00:00:20.280 --> 00:00:25.800]  The one who cherishes understanding will soon prosper
[00:00:25.800 --> 00:00:31.280]  八月是一個新的一個季節 一個新的開始
[00:00:31.280 --> 00:00:35.800]  很多的父母親就會帶着孩子拿着一個板子
[00:00:35.800 --> 00:00:39.240]  上面寫First day of school 這個新學期
[00:00:39.240 --> 00:00:41.720]  然後有一個2025年
[00:00:41.720 --> 00:00:43.760]  然後全家照張照片
[00:00:43.760 --> 00:00:49.800]  我們有多少人有照這個照片的
[00:00:49.800 --> 00:00:52.920]  曾經有照這樣照片的
[00:00:52.920 --> 00:00:54.240]  有嗎 有一些
[00:00:54.240 --> 00:00:57.400]  你知道這種照片我看在眼裏我就有個發現
[00:00:57.400 --> 00:01:00.200]  爸媽都比小孩開心
[00:01:00.200 --> 00:01:05.560]  因爲First day of school終於小孩不用待在家裏了
[00:01:05.560 --> 00:01:12.440]  所以我想父母親對孩子們都有美好的願景和期望
[00:01:12.440 --> 00:01:15.200]  因爲孩子們是何等的寶貴
[00:01:15.200 --> 00:01:18.920]  他們的生命何等的重要
[00:01:18.920 --> 00:01:22.880]  那我不禁在想到底什麼是親子教育中
[00:01:22.880 --> 00:01:24.560]  最重要的事情
[00:01:24.560 --> 00:01:29.160]  父母親真正希望孩子得到的又是什麼呢
[00:01:29.160 --> 00:01:32.760]  那當然八月也不只是學生的一個新的季節
[00:01:32.760 --> 00:01:38.200]  事實上我們纔剛過完生命何的30週年
[00:01:38.200 --> 00:01:40.400]  我感覺是很久以前的事情
[00:01:40.400 --> 00:01:43.560]  纔是八月初發生的 還在同一個月
[00:01:43.560 --> 00:01:44.720]  我們那時候才宣告
[00:01:44.720 --> 00:01:48.200]  哇 下一個30年會更加的榮耀
[00:01:48.200 --> 00:01:49.760]  誰要做更多的事情
[00:01:49.760 --> 00:01:50.920]  你們
[00:01:50.920 --> 00:01:54.960]  所以丁宏姐妹 你對於這個新的季節
[00:01:54.960 --> 00:01:59.200]  下個30年的開始 你有沒有什麼期待
[00:01:59.200 --> 00:02:01.560]  有沒有什麼願景
[00:02:01.560 --> 00:02:03.640]  我希望你的答案是yes
[00:02:03.640 --> 00:02:04.640]  不過沒有關係
[00:02:04.640 --> 00:02:08.040]  剛過完30週年 大家還在喘氣的狀態
[00:02:08.040 --> 00:02:10.840]  因爲大家忙了一陣子
[00:02:10.840 --> 00:02:13.520]  不過丁宏姐妹 到底我們對於人生的期許
[00:02:13.520 --> 00:02:17.800]  我們的未來 到底有什麼樣的一些想法 期待
[00:02:17.800 --> 00:02:23.480]  是創業 升遷 買車買房 組織家庭 環遊世界
[00:02:23.480 --> 00:02:28.960]  還是有些人不斷地在減肥成功的循環
[00:02:28.960 --> 00:02:33.480]  或者屬靈一點 能夠爲神做大事
[00:02:33.480 --> 00:02:35.480]  到底什麼是我們該追求的
[00:02:35.480 --> 00:02:40.320]  其實剛纔我念的每一項都很重要 也都很好
[00:02:40.320 --> 00:02:42.840]  但是其實也都不止於此
[00:02:42.840 --> 00:02:45.520]  我們看到剛纔真言十九章八節
[00:02:45.520 --> 00:02:48.880]  這邊說得着智慧的怎麼樣
[00:02:48.880 --> 00:02:50.880]  愛惜生命
[00:02:50.880 --> 00:02:52.880]  我特別喜歡英文的翻譯
[00:02:52.880 --> 00:02:55.280]  loves life
[00:02:55.280 --> 00:02:58.640]  OK the one who gets wisdom loves life
[00:02:58.640 --> 00:03:01.080]  多少時候我們在爲我們的孩子
[00:03:01.080 --> 00:03:04.040]  有一個未來的藍圖期許
[00:03:04.040 --> 00:03:07.960]  可是難道最重要的一件事
[00:03:07.960 --> 00:03:12.400]  豈不是孩子他是愛惜自己的生命嗎
[00:03:12.400 --> 00:03:16.280]  或者說英文loves life 他是熱愛生命的
[00:03:16.280 --> 00:03:21.320]  在這樣的一個物質各方面都非常豐富
[00:03:21.320 --> 00:03:24.120]  機會無限的一個時代
[00:03:24.120 --> 00:03:28.320]  沒有想到最基本的對生命的熱愛
[00:03:28.320 --> 00:03:32.240]  卻成爲最奢侈的一件事情
[00:03:32.240 --> 00:03:37.240]  下一節說保守聰明的必得好處
[00:03:37.240 --> 00:03:40.560]  英文很好說prosperous
[00:03:40.560 --> 00:03:44.600]  多少人希望自己的家庭是很prosperous
[00:03:44.600 --> 00:03:46.080]  我們都希望
[00:03:46.080 --> 00:03:48.360]  但請問這個prosperous的image
[00:03:48.360 --> 00:03:53.800]  這個圖片是物質上面的
[00:03:53.800 --> 00:03:55.480]  還是一個全方位的
[00:03:55.480 --> 00:03:56.640]  你在人際關心
[00:03:56.640 --> 00:03:58.880]  你在你的心理你的情緒
[00:03:58.880 --> 00:04:03.240]  你的各方面都附足呢
[00:04:03.240 --> 00:04:05.320]  約翰福音十章十節說
[00:04:05.320 --> 00:04:11.120]  盜賊來無非是要偷竊 殺害 毀壞
