
[00:00:00.000 --> 00:00:02.000]  請每位平安
[00:00:02.000 --> 00:00:04.000]  我們先一齊祈禱
[00:00:04.000 --> 00:00:06.000]  主人我們感謝祢的恩典
[00:00:06.000 --> 00:00:08.000]  讓我們在最後的清晨
[00:00:08.000 --> 00:00:10.000]  可以一同來敬拜祢
[00:00:10.000 --> 00:00:12.000]  一同聆聽祢的話語
[00:00:12.000 --> 00:00:14.000]  祢求聖靈幫助我們
[00:00:14.000 --> 00:00:16.000]  能夠聽得清楚
[00:00:16.000 --> 00:00:18.000]  也明白祢的教導
[00:00:18.000 --> 00:00:20.000]  並且在我們生活裏
[00:00:20.000 --> 00:00:22.000]  能夠實踐祢的教導
[00:00:22.000 --> 00:00:24.000]  以致我們人生
[00:00:24.000 --> 00:00:26.000]  充滿從祢而來的福氣
[00:00:26.000 --> 00:00:28.000]  奉耶穌基督的名祈禱
[00:00:28.000 --> 00:00:33.000]  我和師母都是在香港出生
[00:00:33.000 --> 00:00:35.000]  也是在香港長大的
[00:00:35.000 --> 00:00:37.000]  後來移民到澳洲
[00:00:37.000 --> 00:00:39.000]  不經不覺
[00:00:39.000 --> 00:00:41.000]  時間過得很快
[00:00:41.000 --> 00:00:43.000]  現在已經在澳洲幾十年了
[00:00:43.000 --> 00:00:45.000]  比在香港的時候更長
[00:00:45.000 --> 00:00:47.000]  我們成長的時候
[00:00:47.000 --> 00:00:49.000]  香港是被英國管理的
[00:00:49.000 --> 00:00:51.000]  我們離開香港的時候
[00:00:51.000 --> 00:00:53.000]  不是由於九七問題
[00:00:53.000 --> 00:00:57.000]  而是由於健康的原因
[00:00:57.000 --> 00:01:01.000]  醫生建議我們有機會去外國住
[00:01:01.000 --> 00:01:04.000]  香港的空氣不太適合你們
[00:01:04.000 --> 00:01:06.000]  主要是不適合我
[00:01:06.000 --> 00:01:08.000]  那時候就知道
[00:01:08.000 --> 00:01:10.000]  加拿大和澳洲
[00:01:10.000 --> 00:01:15.000]  是會接受專業移民去的
[00:01:15.000 --> 00:01:17.000]  所以我就憑著
[00:01:17.000 --> 00:01:19.000]  會計師的專業
[00:01:19.000 --> 00:01:21.000]  申請移民來澳洲
[00:01:21.000 --> 00:01:24.000]  無論在香港或者澳洲
[00:01:24.000 --> 00:01:27.000]  都是比較民主自由的地方
[00:01:27.000 --> 00:01:31.000]  所以我們都很開心
[00:01:31.000 --> 00:01:35.000]  今天我們要講羅馬書十三章
