
[00:00:00.000 --> 00:00:04.000]  我想問在座的各位啊
[00:00:04.000 --> 00:00:06.000]  我想問下在座的各位
[00:00:06.000 --> 00:00:11.000]  你們從小到大被你們老爸管教過的請舉手
[00:00:11.000 --> 00:00:15.000]  你們從小到大被爸爸管教過的請舉手
[00:00:15.000 --> 00:00:20.000]  哇 這麼少人啊
[00:00:20.000 --> 00:00:22.000]  這麼少的啊
[00:00:22.000 --> 00:00:25.000]  所以你們家老爸基本上是不管你的啊
[00:00:25.000 --> 00:00:28.000]  那你們家裡的爸爸是不管你們的是不是
[00:00:28.000 --> 00:00:36.000]  那你被你爸爸很嚴厲的罰過或者打過的請舉手
[00:00:36.000 --> 00:00:40.000]  你很嚴厲的被爸爸罰過或者打過的請舉手
[00:00:40.000 --> 00:00:44.000]  這麼多人都沒有受過這樣的經歷
[00:00:44.000 --> 00:00:47.000]  原來這麼多人都沒有這樣的經歷
[00:00:47.000 --> 00:00:51.000]  也不知道說你們是好命還是什麼
[00:00:51.000 --> 00:00:54.000]  都不知道你們是好命還是什麼
[00:00:54.000 --> 00:00:57.000]  不然我跟牧師商量一下給你們補上這一課
[00:00:57.000 --> 00:01:00.000]  不然我跟牧師商量一下給你們補上這一課
[00:01:00.000 --> 00:01:05.000]  我去年回北京還被我爸教訓過一頓
[00:01:05.000 --> 00:01:10.000]  我去年回北京還被我爸教訓過一頓
[00:01:10.000 --> 00:01:14.000]  我猜那一定不是最後一次
[00:01:14.000 --> 00:01:17.000]  我猜那一定不是最後一次
[00:01:17.000 --> 00:01:21.000]  希伯來書十二章
[00:01:21.000 --> 00:01:24.000]  希伯來書十二章
[00:01:24.000 --> 00:01:25.000]  我們今天讀的這一段
[00:01:25.000 --> 00:01:27.000]  我們今天讀的這一段
[00:01:27.000 --> 00:01:30.000]  講的是父親會管教我們
[00:01:30.000 --> 00:01:33.000]  講的是父親要教訓我們
[00:01:33.000 --> 00:01:34.000]  講的是父親要教訓我們
[00:01:34.000 --> 00:01:38.000]  他一上來先說你們跟罪惡相爭還沒有到流血的地步
[00:01:38.000 --> 00:01:39.000]  他一上來先說你們跟罪惡相爭還沒有到流血的地步
[00:01:39.000 --> 00:01:44.000]  他一上來先說你們跟罪惡相爭還沒有到流血的地步
[00:01:44.000 --> 00:01:50.000]  這個罪惡與其說它是外部的逼迫
[00:01:50.000 --> 00:01:53.000]  這個罪惡與其說是外部的逼迫
[00:01:53.000 --> 00:01:57.000]  不如說更大比重是人內心的罪
[00:01:57.000 --> 00:02:03.000]  不如說更大的比例是我們內心的罪
[00:02:03.000 --> 00:02:08.000]  我們跟隨耶穌的人跟我們內心的罪相爭
[00:02:08.000 --> 00:02:14.000]  我們跟隨耶穌的人跟我們內心的罪相爭
[00:02:14.000 --> 00:02:16.000]  而這種過程中
[00:02:16.000 --> 00:02:21.000]  父親的神的管教其實是很有意義的
[00:02:21.000 --> 00:02:23.000]  而這種過程中
[00:02:23.000 --> 00:02:26.000]  父親的神的管教其實是很有意義的
[00:02:26.000 --> 00:02:29.000]  他一上來引用了真言三章
[00:02:29.000 --> 00:02:33.000]  他一上來引用了真言三章
[00:02:33.000 --> 00:02:35.000]  真言三章十一十二節
[00:02:35.000 --> 00:02:38.000]  真言三章十一十二節
[00:02:38.000 --> 00:02:39.000]  我給你們念一下
[00:02:39.000 --> 00:02:42.000]  他說我兒不可輕看耶和華的管教
[00:02:42.000 --> 00:02:44.000]  也不可厭惡他的責備
[00:02:44.000 --> 00:02:46.000]  因為耶和華所愛的他必責備
[00:02:46.000 --> 00:02:51.000]  正如父親責備他喜愛的兒子一樣
[00:02:51.000 --> 00:02:56.000]  所以希伯來書作者一上來引用真言這兩句話
[00:02:56.000 --> 00:03:02.000]  所以希伯來書作者一開始就引用真言這兩句話
[00:03:02.000 --> 00:03:05.000]  他其實告訴我們三個道理
[00:03:05.000 --> 00:03:09.000]  他其實告訴我們三個道理
[00:03:09.000 --> 00:03:11.000]  首先就是說
[00:03:11.000 --> 00:03:15.000]  面對父親的管教你不能輕看
[00:03:15.000 --> 00:03:17.000]  首先就是說
[00:03:17.000 --> 00:03:20.000]  面對父親的管教你不能輕看
[00:03:20.000 --> 00:03:22.000]  你們有沒有那種經歷
[00:03:22.000 --> 00:03:24.000]  你們有沒有那種經歷
[00:03:24.000 --> 00:03:27.000]  當然不一定非是爸爸也許是媽媽
[00:03:27.000 --> 00:03:32.000]  或者不一定是爸爸可能媽媽都可以
[00:03:32.000 --> 00:03:34.000]  他教訓你的時候
[00:03:34.000 --> 00:03:38.000]  你其實是覺得你在說什麼
[00:03:38.000 --> 00:03:40.000]  他在教你的時候
[00:03:40.000 --> 00:03:44.000]  你可能心裡在想你都不知道在說什麼
[00:03:44.000 --> 00:03:46.000]  去年我爸教訓我的時候
[00:03:46.000 --> 00:03:47.000]  我就是這個心情
[00:03:47.000 --> 00:03:49.000]  去年的時候我爸在教我的時候
[00:03:49.000 --> 00:03:51.000]  我就是這樣想的
[00:03:51.000 --> 00:03:54.000]  我說其實你不太明白
[00:03:54.000 --> 00:03:57.000]  我就猜想你其實不太明白你在說什麼
[00:03:57.000 --> 00:04:01.000]  我在猜可能你自己都不知道自己在說什麼
[00:04:01.000 --> 00:04:05.000]  但我回想從小到大
[00:04:05.000 --> 00:04:08.000]  我回想起我從小到大
