
[00:00:00.000 --> 00:00:05.400]  今天的主題叫做道德淪陷的反思
[00:00:05.400 --> 00:00:07.640]  道德淪陷的反思
[00:00:07.640 --> 00:00:10.320]  我猜我們在人生中都聽過很多次這句話
[00:00:10.320 --> 00:00:14.560]  就是從錯誤中,錯誤中學習
[00:00:14.560 --> 00:00:17.560]  但是有時我會問,錯誤中怎麼學習呢?
[00:00:17.560 --> 00:00:21.760]  爲何常常我們在錯誤中都重複同一個錯誤
[00:00:21.760 --> 00:00:25.880]  因爲從錯誤中,不是就這樣學習到的
[00:00:25.880 --> 00:00:34.080]  如果你要在錯誤中學習,要成長,必定需要在錯誤的反思裏面再學習
[00:00:34.080 --> 00:00:36.840]  昨天我和一個很資深的門徒
[00:00:36.840 --> 00:00:40.520]  也是職場非常資深的資體分享
[00:00:40.520 --> 00:00:42.200]  他講起他的經驗
[00:00:42.200 --> 00:00:45.720]  他說在錯誤中他經常犯同樣的錯
[00:00:45.720 --> 00:00:48.600]  就是當他發現有同事詭詐污衊
[00:00:48.600 --> 00:00:50.040]  說一些不應該說的話
[00:00:50.040 --> 00:00:51.520]  他就會很生氣
[00:00:51.520 --> 00:00:54.480]  很生氣之後他就表達不了自己
[00:00:54.480 --> 00:00:56.480]  令到他解釋都解釋不了
[00:00:56.480 --> 00:00:59.840]  上司同時更加在懷疑
[00:00:59.840 --> 00:01:04.560]  他說這種模式,在錯誤中他發現不應該發脾氣的時候
[00:01:04.560 --> 00:01:07.160]  他又發了,不停地在重複
[00:01:07.160 --> 00:01:09.160]  但是他反思,他說不應該這樣
[00:01:09.160 --> 00:01:12.480]  他應該在很不憤的時候安靜
[00:01:12.480 --> 00:01:14.960]  討告,讓神體加力之後
[00:01:14.960 --> 00:01:19.480]  好好地、寧靜地向上司同事解釋這件事
[00:01:19.480 --> 00:01:21.160]  並不是這樣
[00:01:21.160 --> 00:01:23.760]  所以他反思帶來一個學習之後
[00:01:23.760 --> 00:01:25.880]  就改變了處境
[00:01:25.880 --> 00:01:26.800]  真的
