
[00:00:00.000 --> 00:00:05.240]  今天也是接近農曆新年的時間
[00:00:05.240 --> 00:00:08.180]  我也選了一篇聖經
[00:00:08.180 --> 00:00:11.560]  也是上個禮拜你們也聽過的一段經文
[00:00:11.560 --> 00:00:14.240]  不過上個禮拜陳玉華姑娘分享了之後
[00:00:14.240 --> 00:00:15.280]  我自己很有感動
[00:00:15.280 --> 00:00:19.340]  再從這篇我也很喜歡的一篇經文裏面
[00:00:19.340 --> 00:00:21.140]  跟大家去看
[00:00:21.140 --> 00:00:24.940]  裏面講關於為什麼我們要迎春節福
[00:00:24.940 --> 00:00:26.940]  一段很簡單的經文
[00:00:26.940 --> 00:00:29.180]  我們看看這一段經文
[00:00:29.180 --> 00:00:34.380]  剛才我們看見螢幕上的五章馬達福音一至三節
[00:00:34.380 --> 00:00:35.980]  可以聽我讀出
[00:00:35.980 --> 00:00:37.380]  一段很簡短的經文
[00:00:37.380 --> 00:00:40.780]  耶穌看見許多的人就上了三
[00:00:40.780 --> 00:00:41.980]  寄依座下
[00:00:41.980 --> 00:00:43.980]  而門徒到他跟前來
[00:00:43.980 --> 00:00:45.980]  他就開口教訓他們說
[00:00:45.980 --> 00:00:47.980]  虛心的人有福了
[00:00:47.980 --> 00:00:50.780]  因為天國是他們的
[00:00:50.780 --> 00:00:52.780]  我們一起低頭我們先做個祈禱
[00:00:52.780 --> 00:00:54.780]  天父我們感謝贊美尼
[00:00:54.780 --> 00:00:57.280]  正因為你給我們有生命氣息
[00:00:57.280 --> 00:00:58.780]  我們就應該感恩
[00:00:58.780 --> 00:01:00.780]  正因為我們能夠活在世上
[00:01:00.780 --> 00:01:02.780]  能夠有機會去蒙福
[00:01:02.780 --> 00:01:05.780]  有機會去領受你的恩典和福氣
[00:01:05.780 --> 00:01:08.580]  就是你給我們的最好的福分
[00:01:08.580 --> 00:01:12.980]  就今天我們去了解認識你教導我們什麼是福氣
[00:01:12.980 --> 00:01:15.580]  願主你亦都提醒我們
[00:01:15.580 --> 00:01:16.980]  叫我們今天聽了道
[00:01:16.980 --> 00:01:18.580]  不單止去領受
[00:01:18.580 --> 00:01:20.380]  並且能夠行出來
[00:01:20.380 --> 00:01:22.980]  去享受你為我們預備的福氣
[00:01:22.980 --> 00:01:24.180]  誰聽我們的禱告
[00:01:24.180 --> 00:01:26.180]  交託奉耶穌的聖名
[00:01:26.180 --> 00:01:26.980]  阿們
[00:01:26.980 --> 00:01:30.380]  因為上個星期新年剛剛來的時候
[00:01:30.380 --> 00:01:31.780]  你要回來崇拜
[00:01:31.780 --> 00:01:34.780]  陳玉華姑娘都跟我們分享過
[00:01:34.780 --> 00:01:36.780]  迎春接八福
[00:01:36.780 --> 00:01:38.180]  她給我們看到的就是
[00:01:38.180 --> 00:01:42.780]  是講到我們要接的真正的福是什麼
[00:01:42.780 --> 00:01:47.780]  我們中國人看福都有很多不同的看法
[00:01:47.780 --> 00:01:50.380]  其實原來講到福氣
[00:01:50.380 --> 00:01:52.380]  最源遠流長
[00:01:52.380 --> 00:01:56.780]  可以講到是我們中國其中一個最古舊的典籍
[00:01:56.780 --> 00:01:58.780]  叫尚書
[00:01:58.780 --> 00:02:00.180]  尚書裡面講到
[00:02:00.180 --> 00:02:03.180]  中國人講到福有五福
[00:02:03.180 --> 00:02:06.180]  所以我們經常聽到五福臨門
[00:02:06.180 --> 00:02:08.180]  什麼叫五福呢
[00:02:08.180 --> 00:02:10.180]  富貴
[00:02:10.180 --> 00:02:12.180]  富貴就是有錢
[00:02:12.180 --> 00:02:15.180]  剛才梁勇士牧師最喜歡那樣
[00:02:15.180 --> 00:02:18.180]  富貴祝你發財
[00:02:18.180 --> 00:02:20.180]  然後好德
[00:02:20.180 --> 00:02:23.180]  今天你見到有人賣旗
[00:02:23.180 --> 00:02:25.180]  你去幫他們
[00:02:25.180 --> 00:02:28.180]  你能夠有機會去施捨的
[00:02:28.180 --> 00:02:30.180]  或者做一些善事的
[00:02:30.180 --> 00:02:32.180]  這個是好德
[00:02:32.180 --> 00:02:33.180]  然後長壽
[00:02:33.180 --> 00:02:34.180]  長命
[00:02:34.180 --> 00:02:36.180]  中國人長壽
[00:02:36.180 --> 00:02:38.180]  就是一個福氣
[00:02:38.180 --> 00:02:39.180]  康寧
[00:02:39.180 --> 00:02:41.180]  英文叫平安
[00:02:41.180 --> 00:02:43.180]  生命裡面沒有波浪
[00:02:43.180 --> 00:02:45.180]  或者一帆風順
[00:02:45.180 --> 00:02:46.180]  或者沒有痛楚的
[00:02:46.180 --> 00:02:47.180]  這個是康寧
[00:02:47.180 --> 00:02:50.180]  最後就是善終
[00:02:50.180 --> 00:02:53.180]  我們廣東話叫做有好死
[00:02:53.180 --> 00:02:58.180]  善終就是活到老的時候
[00:02:58.180 --> 00:03:00.180]  當離世的時候
[00:03:00.180 --> 00:03:03.180]  不是遇見什麼意外
[00:03:03.180 --> 00:03:07.180]  或者不是死得好慘
[00:03:07.180 --> 00:03:11.180]  這五個就是叫做五福
[00:03:11.180 --> 00:03:13.180]  所以我們就是恭祝那些人五福臨門
[00:03:13.180 --> 00:03:15.180]  就是這五個福氣
[00:03:15.180 --> 00:03:18.180]  但是有個問題出現的就是
[00:03:18.180 --> 00:03:19.180]  當我們去拜年的時候
[00:03:19.180 --> 00:03:21.180]  恭喜發財
[00:03:21.180 --> 00:03:23.180]  富貴
[00:03:23.180 --> 00:03:25.180]  恭喜你有一個善心
[00:03:25.180 --> 00:03:26.180]  好德
[00:03:26.180 --> 00:03:28.180]  恭喜你長命百歲
[00:03:28.180 --> 00:03:29.180]  也好
[00:03:29.180 --> 00:03:31.180]  但是接著就說
[00:03:31.180 --> 00:03:34.180]  恭喜你有好死
[00:03:34.180 --> 00:03:37.180]  我不知道你們農曆新年的時候
[00:03:37.180 --> 00:03:38.180]  會不會走去恭喜的時候
[00:03:38.180 --> 00:03:39.180]  恭喜恭喜
[00:03:39.180 --> 00:03:41.180]  恭喜你有好死
[00:03:41.180 --> 00:03:43.180]  大家勵士
[00:03:43.180 --> 00:03:44.180]  中國人就很怪
[00:03:44.180 --> 00:03:47.180]  所以就轉到東漢的時間
[00:03:47.180 --> 00:03:49.180]  去到緩淡的時候
[00:03:49.180 --> 00:03:50.180]  緩淡的建議就是
[00:03:50.180 --> 00:03:51.180]  不要了
[00:03:51.180 --> 00:03:52.180]  不要善終
[00:03:52.180 --> 00:03:54.180]  善終大家勵士
[00:03:54.180 --> 00:03:55.180]  於是就恭喜人
[00:03:55.180 --> 00:03:56.180]  恭喜什麼呢
[00:03:56.180 --> 00:03:58.180]  就將善終改了
[00:03:58.180 --> 00:04:03.180]  做這個兒孫滿堂
[00:04:03.180 --> 00:04:06.180]  兒孫滿堂就是福氣
[00:04:06.180 --> 00:04:09.180]  恭喜人就是多子多孫
[00:04:09.180 --> 00:04:10.180]  就是福氣
[00:04:10.180 --> 00:04:12.180]  所以中國人去東漢的時候
[00:04:12.180 --> 00:04:13.180]  來到現在
[00:04:13.180 --> 00:04:16.180]  就說到兒孫滿堂就是一種福氣
[00:04:16.180 --> 00:04:17.180]  但是
[00:04:17.180 --> 00:04:19.180]  時間又過去了
[00:04:19.180 --> 00:04:21.180]  當我們體驗不福的時候
[00:04:21.180 --> 00:04:22.180]  到了今天
[00:04:22.180 --> 00:04:25.180]  這些還是不是福氣呢
[00:04:25.180 --> 00:04:28.180]  兒孫滿堂是不是福氣呢
[00:04:28.180 --> 00:04:29.180]  各位同志們
[00:04:29.180 --> 00:04:30.180]  是不是
[00:04:30.180 --> 00:04:31.180]  都是的
[00:04:31.180 --> 00:04:32.180]  如果他們個個孝順
[00:04:32.180 --> 00:04:35.180]  但是如果你問霍英東和何鴻燊的話
[00:04:35.180 --> 00:04:36.180]  那你就覺得
[00:04:36.180 --> 00:04:38.180]  多兒多女多冤家
[00:04:38.180 --> 00:04:39.180]  真是是不是
[00:04:39.180 --> 00:04:40.180]  就是很煩
[00:04:40.180 --> 00:04:41.180]  增產的時候
[00:04:41.180 --> 00:04:42.180]  是不是
