
[00:00:00.000 --> 00:00:03.200]  領子會,今天我們繼續來講約書亞記
[00:00:03.200 --> 00:00:05.200]  已經講到第24次了
[00:00:05.200 --> 00:00:08.700]  今天的題目主是我們的圖乘
[00:00:08.700 --> 00:00:11.500]  我們講到約書亞記20章
[00:00:11.500 --> 00:00:14.500]  我們整章會是今天的經文
[00:00:14.500 --> 00:00:17.000]  最近我看了一齣
[00:00:17.000 --> 00:00:20.000]  頗久以前的戲,叫做《和平飯店》
[00:00:20.000 --> 00:00:22.000]  大家有沒有看過?
[00:00:22.000 --> 00:00:24.000]  有些有,有些甚麼戲呢?
[00:00:24.000 --> 00:00:27.500]  其實這齣戲頗久以前,是1995年的戲
[00:00:27.500 --> 00:00:32.000]  但當年有七項香港電影金像獎的提名
[00:00:32.000 --> 00:00:34.000]  所以是一齣好電影
[00:00:34.000 --> 00:00:38.000]  這齣電影的主角是誰呢?
[00:00:38.000 --> 00:00:40.500]  大家看到了,是周潤發先生
[00:00:40.500 --> 00:00:43.000]  他飾演一個殺人王
[00:00:43.000 --> 00:00:50.000]  傳聞十年前,他被幫會的兄弟出賣了
[00:00:50.000 --> 00:00:54.000]  他一怒之下,將整個幫會的人殺光
[00:00:54.000 --> 00:00:59.000]  殺光後,他就開了一間叫做和平飯店
[00:00:59.000 --> 00:01:03.000]  這間和平飯店,他宣稱是甚麼呢?
[00:01:03.000 --> 00:01:06.000]  就是一間避難所
[00:01:06.000 --> 00:01:11.000]  即是說,如果我們犯了甚麼事
[00:01:11.000 --> 00:01:17.000]  被人追殺,或者得罪了甚麼人
[00:01:17.000 --> 00:01:20.000]  他一進來這間和平飯店住
[00:01:20.000 --> 00:01:22.000]  他就會得到保護
[00:01:22.000 --> 00:01:25.000]  但如果他擅自離開
[00:01:25.000 --> 00:01:28.000]  就不包他的平安了
[00:01:28.000 --> 00:01:30.000]  我看完這齣電影後
[00:01:30.000 --> 00:01:34.000]  我就發覺,為甚麼和聖經裡說的屠城
[00:01:34.000 --> 00:01:38.000]  這個概念這麼相似的避難所
[00:01:38.000 --> 00:01:43.000]  我猜,不知道是否編劇也很熟悉聖經
[00:01:43.000 --> 00:01:48.000]  因為也不容易,要做一個這樣的劇情出來
[00:01:48.000 --> 00:01:52.000]  今天我們約書亞的二十章就是講屠城
[00:01:52.000 --> 00:01:56.000]  其實很多次我們已經講分地
[00:01:56.000 --> 00:01:58.000]  分地,分地,又分地
[00:01:58.000 --> 00:02:00.000]  終於分完了
[00:02:00.000 --> 00:02:06.000]  分完了,神要讓祂的子民在這個留乃爾物之地生活
[00:02:06.000 --> 00:02:10.000]  但第一件事,祂就提醒約書亞
[00:02:10.000 --> 00:02:14.000]  記得按照祂給摩西的吩咐
[00:02:14.000 --> 00:02:18.000]  要建屠城,在這個地上建屠城
[00:02:18.000 --> 00:02:20.000]  其實如果我們看回摩西五經
[00:02:20.000 --> 00:02:23.000]  《文素記》、《生命記》、《出客及記》
[00:02:23.000 --> 00:02:25.000]  其實我們都會記得
[00:02:25.000 --> 00:02:28.000]  其實神提過摩西很多次要建屠城
[00:02:28.000 --> 00:02:31.000]  重要的事再講幾次
[00:02:31.000 --> 00:02:37.000]  所以我相信屠城在神的眼裡是一件非常重要的事
[00:02:37.000 --> 00:02:39.000]  究竟屠城是甚麼呢?
[00:02:39.000 --> 00:02:41.000]  屠城代表了甚麼呢?
[00:02:41.000 --> 00:02:46.000]  更重要的是今天與你、我有甚麼關係?
[00:02:46.000 --> 00:02:49.000]  我希望今天神藉著祂的說話
[00:02:49.000 --> 00:02:52.000]  聖靈也帶領我們去明白神的心意更加多
[00:02:52.000 --> 00:02:57.000]  好,我們一起讀,今天的經文頭三節是約書亞的二十章
[00:02:57.000 --> 00:02:59.000]  一到三節,我們一起讀
[00:02:59.000 --> 00:03:02.000]  耶和華吩咐約書亞說
[00:03:02.000 --> 00:03:04.000]  你吩咐以色列人說
[00:03:04.000 --> 00:03:09.000]  你們要照我藉摩西所吩咐你們的
[00:03:09.000 --> 00:03:12.000]  為自己設立屠城
[00:03:12.000 --> 00:03:15.000]  使那無意中誤殺人的
[00:03:15.000 --> 00:03:17.000]  可以逃到那裡
[00:03:17.000 --> 00:03:22.000]  這些要作為你們逃避部血仇者的城
[00:03:22.000 --> 00:03:24.000]  我們先解釋一下屠城
[00:03:24.000 --> 00:03:30.000]  屠城的「屠」字,聖經的原文有「接納」、「庇護」的意思
[00:03:30.000 --> 00:03:39.000]  屠城指的是「庇護城」、「庇難所」、「藏身之處」
[00:03:39.000 --> 00:03:42.000]  請把Power Point打出來
[00:03:42.000 --> 00:03:47.000]  是一個「庇護城」、「庇難所」、「藏身之處」
[00:03:47.000 --> 00:03:50.000]  當我們看回剛才說到屠城
[00:03:50.000 --> 00:03:54.000]  它說到經文是給一些無意中殺了人的人去的
[00:03:54.000 --> 00:04:03.000]  無意中殺了人去逃避部血仇者的人的「庇難所」
[00:04:03.000 --> 00:04:06.000]  那些人被人追殺
[00:04:06.000 --> 00:04:11.000]  他就逃到屠城裡受到保護
[00:04:11.000 --> 00:04:16.000]  根據以色列人的傳統古代
[00:04:16.000 --> 00:04:19.000]  當有人被殺
[00:04:19.000 --> 00:04:25.000]  殺死那人的男性至親可以幫他報血仇
[00:04:25.000 --> 00:04:28.000]  所以那些人就叫做「報血仇者」
[00:04:28.000 --> 00:04:34.000]  亦都在今天我們用一個詞語叫「Avenger」、「復仇者」
[00:04:34.000 --> 00:04:36.000]  他們就是這些人
[00:04:36.000 --> 00:04:39.000]  我們的神我們知道是公義
[00:04:39.000 --> 00:04:44.000]  即是說我們犯罪是要得到懲治的
[00:04:44.000 --> 00:04:49.000]  但是神的公義裡面是包括了公平、公正
[00:04:49.000 --> 00:04:51.000]  不知道大家有沒有聽過
[00:04:51.000 --> 00:04:54.000]  古代都有一個文明的條例
[00:04:54.000 --> 00:04:58.000]  叫做「以眼還眼」、「以牙還牙」
[00:04:58.000 --> 00:05:00.000]  大家有沒有聽過?
