
[00:00:00.000 --> 00:00:01.500]  好 各位弟兄姊妹
[00:00:01.500 --> 00:00:03.000]  在我領導神的話語之先
[00:00:03.000 --> 00:00:04.300]  我們先一起來帶祂低頭
[00:00:04.300 --> 00:00:06.000]  我們仰望我們的神
[00:00:06.000 --> 00:00:07.000]  天王我們懇求祢
[00:00:07.000 --> 00:00:08.300]  來帶祂幫助我們
[00:00:08.300 --> 00:00:10.500]  我們今天坐在這個環境裏面
[00:00:10.500 --> 00:00:12.500]  我們可以有這個寧靜
[00:00:12.500 --> 00:00:14.500]  來帶祂去朝見祢
[00:00:14.500 --> 00:00:16.500]  但是當我們離開這個地方的時候
[00:00:16.500 --> 00:00:18.000]  可能我們又要面對住
[00:00:18.000 --> 00:00:19.500]  這個動盪的世代
[00:00:19.500 --> 00:00:20.500]  幫助我們能夠
[00:00:20.500 --> 00:00:21.500]  去到主祢的裏面
[00:00:21.500 --> 00:00:24.500]  來得享這份從祢而來的安息
[00:00:24.500 --> 00:00:26.000]  也能在祢裏面支取力量
[00:00:26.000 --> 00:00:28.500]  以致我們懂得面對前面的挑戰
[00:00:28.500 --> 00:00:31.500]  求神利用祢的話語成為我們生命的幫助和激勵
[00:00:31.500 --> 00:00:32.500]  多謝祢
[00:00:32.500 --> 00:00:34.500]  願祢聖靈親自在我們當中
[00:00:34.500 --> 00:00:35.500]  來帶我們去工作
[00:00:35.500 --> 00:00:37.000]  奉主的名來祢禱告
[00:00:37.000 --> 00:00:38.000]  Amen
[00:00:38.000 --> 00:00:40.000]  我想不知道大家有沒有覺得
[00:00:40.000 --> 00:00:41.000]  六月呢
[00:00:41.000 --> 00:00:42.000]  就是過去的六月
[00:00:42.000 --> 00:00:44.000]  是一個很漫長的日子
[00:00:44.000 --> 00:00:47.000]  因為有很多很動盪的事
[00:00:47.000 --> 00:00:50.000]  我們現在香港人都似乎活在一個
[00:00:50.000 --> 00:00:54.000]  衝擊 困難的環境當中
[00:00:54.000 --> 00:00:58.500]  我記得當有一百萬人來我上街遊行的時候
[00:00:58.500 --> 00:01:00.500]  是反對這個的
[00:01:00.500 --> 00:01:02.500]  「逃犯疑例」
[00:01:02.500 --> 00:01:05.000]  但是林鄭月娥出來說到
