
[00:00:00.000 --> 00:00:04.500]  埃及和亞述都是以色列人歷史當中
[00:00:04.500 --> 00:00:06.500]  一個長時期的敵人
[00:00:06.500 --> 00:00:08.500]  也有時候的盟友
[00:00:08.500 --> 00:00:11.500]  當我們想起
[00:00:11.500 --> 00:00:13.500]  給我們自己強大的力量
[00:00:13.500 --> 00:00:15.500]  或者在困難裏面
[00:00:15.500 --> 00:00:17.500]  可以保平安
[00:00:17.500 --> 00:00:19.500]  得幫助的選項
[00:00:19.500 --> 00:00:21.500]  丁姐妹今天
[00:00:21.500 --> 00:00:23.500]  誰是你生命當中的
[00:00:23.500 --> 00:00:25.500]  埃及或者亞述
[00:00:28.500 --> 00:00:30.500]  另一方面
[00:00:30.500 --> 00:00:32.500]  埃及和亞述可以是敵人
[00:00:32.500 --> 00:00:34.500]  可以是你憎恨的對象
[00:00:34.500 --> 00:00:36.500]  所以我繼續要問
[00:00:36.500 --> 00:00:38.500]  如果有和你有仇的人
[00:00:38.500 --> 00:00:40.500]  可能是
[00:00:40.500 --> 00:00:42.500]  一個賊教會
[00:00:42.500 --> 00:00:44.500]  追殺信徒
[00:00:44.500 --> 00:00:46.500]  迫害基督徒的民族
[00:00:46.500 --> 00:00:48.500]  你願不願意
[00:00:48.500 --> 00:00:50.500]  向他們傳福音
[00:00:50.500 --> 00:00:52.500]  向那個地方宣教
[00:00:52.500 --> 00:00:54.500]  這兩個問題
[00:00:54.500 --> 00:00:56.500]  其實要帶我們稍稍看
[00:00:56.500 --> 00:00:58.500]  回爾塞亞書十九章的經文
[00:00:58.500 --> 00:01:00.500]  所呈現的矛盾
[00:01:00.500 --> 00:01:02.500]  在最後經文之前
[00:01:02.500 --> 00:01:04.500]  我們再一次祈禱
[00:01:04.500 --> 00:01:06.500]  聖靈求你指教我們
[00:01:06.500 --> 00:01:08.500]  讓我們明白
[00:01:08.500 --> 00:01:10.500]  你真理的話語
[00:01:10.500 --> 00:01:12.500]  讓我們聽到
[00:01:12.500 --> 00:01:14.500]  又能夠行道
[00:01:14.500 --> 00:01:16.500]  多謝你祈禱
[00:01:16.500 --> 00:01:18.500]  奉主耶穌基督
[00:01:18.500 --> 00:01:20.500]  得聖名至祈求
[00:01:20.500 --> 00:01:22.500]  自古以來
[00:01:22.500 --> 00:01:24.500]  以色列人就代代相傳
[00:01:24.500 --> 00:01:26.500]  出埃及的故事
[00:01:26.500 --> 00:01:28.500]  我們都會看出埃及記
[00:01:28.500 --> 00:01:30.500]  而這些歷史的事蹟
[00:01:30.500 --> 00:01:32.500]  一代一代這樣流傳
[00:01:32.500 --> 00:01:34.500]  因為欺壓
[00:01:34.500 --> 00:01:36.500]  他們以色列人
[00:01:36.500 --> 00:01:38.500]  就哀求耶和華
[00:01:38.500 --> 00:01:40.500]  耶和華就出手幫助
[00:01:40.500 --> 00:01:42.500]  差遣拯救
[00:01:42.500 --> 00:01:44.500]  而這些字眼竟然出現在
[00:01:44.500 --> 00:01:46.500]  今天的經文裡面
[00:01:46.500 --> 00:01:48.500]  不過角色不同了
[00:01:48.500 --> 00:01:50.500]  是埃及人因受欺壓
[00:01:50.500 --> 00:01:52.500]  哀求耶和華
[00:01:52.500 --> 00:01:54.500]  救主請救
[00:01:54.500 --> 00:01:58.500]  埃及會被欺壓
[00:01:58.500 --> 00:02:00.500]  他們怕什麼呢
[00:02:00.500 --> 00:02:02.500]  十七節我請你一起讀
[00:02:02.500 --> 00:02:04.500]  由大地披使
[00:02:04.500 --> 00:02:06.500]  埃及驚恐
[00:02:06.500 --> 00:02:08.500]  不論向誰提起
[00:02:08.500 --> 00:02:10.500]  他都懼怕
[00:02:10.500 --> 00:02:12.500]  這是因萬軍之
[00:02:12.500 --> 00:02:14.500]  耶和華向埃及
[00:02:14.500 --> 00:02:16.500]  所定的旨意
[00:02:16.500 --> 00:02:18.500]  難道由大變成
[00:02:18.500 --> 00:02:20.500]  壓迫者
[00:02:20.500 --> 00:02:22.500]  以卓阿舒十九章的背景
[00:02:22.500 --> 00:02:24.500]  正在講述近東世界
[00:02:24.500 --> 00:02:26.500]  國際局勢的變化
[00:02:26.500 --> 00:02:28.500]  當時
[00:02:28.500 --> 00:02:30.500]  巴勒斯坦地面臨大敵
[00:02:30.500 --> 00:02:32.500]  亞述帝國
[00:02:32.500 --> 00:02:34.500]  一大片綠色
[00:02:34.500 --> 00:02:36.500]  那裡就是亞述帝國的領土
[00:02:36.500 --> 00:02:38.500]  在那個時段
[00:02:38.500 --> 00:02:40.500]  亞蘭王在中間
[00:02:40.500 --> 00:02:42.500]  小小深綠色的位置
[00:02:42.500 --> 00:02:44.500]  以及下面
[00:02:44.500 --> 00:02:46.500]  北國以色列
[00:02:46.500 --> 00:02:48.500]  黃色的位置
[00:02:48.500 --> 00:02:50.500]  他們就結盟
[00:02:50.500 --> 00:02:52.500]  想想如何抵抗北方的攻擊
[00:02:52.500 --> 00:02:54.500]  壓迫和勢力
[00:02:54.500 --> 00:02:56.500]  他們想了一個方法
[00:02:56.500 --> 00:02:58.500]  不如我們聯同南面的由大
[00:02:58.500 --> 00:03:00.500]  紫色的地方
[00:03:00.500 --> 00:03:02.500]  一起
[00:03:02.500 --> 00:03:04.500]  不過由大不肯
[00:03:04.500 --> 00:03:06.500]  不肯的話我們先去對付他
[00:03:06.500 --> 00:03:08.500]  幫他換了一個君王
[00:03:08.500 --> 00:03:10.500]  建立一個傀儡政權
[00:03:10.500 --> 00:03:12.500]  到時我們就可以用由大的軍隊
[00:03:12.500 --> 00:03:14.500]  由大資源的力量
[00:03:14.500 --> 00:03:16.500]  去對抗亞述
[00:03:16.500 --> 00:03:18.500]  加派爾賽亞先知去預告
[00:03:18.500 --> 00:03:20.500]  這兩國的計謀
[00:03:20.500 --> 00:03:22.500]  將會失敗
[00:03:22.500 --> 00:03:24.500]  由大王聽到這些消息
[00:03:24.500 --> 00:03:26.500]  他仍然去想
