
[00:00:00.000 --> 00:00:02.000]  鄧影姊妹 早安
[00:00:02.000 --> 00:00:07.000]  今天我們會繼續來看啟示錄
[00:00:07.000 --> 00:00:10.000]  這個是最後那一章 22章
[00:00:10.000 --> 00:00:13.000]  我們今天看的經文不是很長的
[00:00:13.000 --> 00:00:14.000]  只是五節
[00:00:14.000 --> 00:00:16.000]  但是這五節是和我上一堂
[00:00:16.000 --> 00:00:19.000]  和大家所說的那個新天新地
[00:00:19.000 --> 00:00:21.000]  新的聖城耶路撒冷
[00:00:21.000 --> 00:00:22.000]  是一脈相承
[00:00:22.000 --> 00:00:26.000]  而且是非常的有關係的
[00:00:26.000 --> 00:00:30.000]  或者在說之前
[00:00:30.000 --> 00:00:34.000]  我會先分享一個我自己的好朋友
[00:00:34.000 --> 00:00:39.000]  他的父親離世之前
[00:00:39.000 --> 00:00:41.000]  一個很奇特的一個經歷
[00:00:41.000 --> 00:00:45.000]  其實這個好朋友
[00:00:45.000 --> 00:00:51.000]  是我自小在教會一起唱兒童詩班大的
[00:00:51.000 --> 00:00:59.000]  他幾年前和我分享到
[00:00:59.000 --> 00:01:04.000]  他的爸爸離世之前是很特別的
[00:01:04.000 --> 00:01:09.000]  我給大家來看一看
[00:01:09.000 --> 00:01:13.000]  其實我相信這個老人家離世
[00:01:13.000 --> 00:01:16.000]  他回到上帝為他預備的地方
[00:01:16.000 --> 00:01:22.000]  之前似乎也有一些很特別的經驗
[00:01:22.000 --> 00:01:23.000]  給他看到
[00:01:23.000 --> 00:01:25.000]  這位老人家是怎樣呢
[00:01:25.000 --> 00:01:31.000]  他其實已經是因為有呼吸的疾病
[00:01:31.000 --> 00:01:36.000]  他是要靠氧氣機呼吸長達八年時間
[00:01:36.000 --> 00:01:38.000]  我們俗稱的貓鬚
[00:01:38.000 --> 00:01:44.000]  另外他做了白內障的手術之後
[00:01:44.000 --> 00:01:46.000]  他反而怕光
[00:01:46.000 --> 00:01:48.000]  所以他日夜都要戴著黑鞘
[00:01:48.000 --> 00:01:49.000]  你不知道的話
[00:01:49.000 --> 00:01:52.000]  以為江湖中人這個大佬出現
[00:01:52.000 --> 00:01:56.000]  在他離世之前
[00:01:56.000 --> 00:01:59.000]  大概兩三個星期左右
[00:01:59.000 --> 00:02:01.000]  他口中經常說
[00:02:01.000 --> 00:02:05.000]  他看見一個很光亮很美的地方
[00:02:05.000 --> 00:02:07.000]  他叫我去做新市鎮
[00:02:07.000 --> 00:02:10.000]  跟著他和他的兒子說
[00:02:10.000 --> 00:02:13.000]  你帶我去新市鎮吧
[00:02:13.000 --> 00:02:18.000]  這個老人家其實住在沙田區已經三十年了
[00:02:18.000 --> 00:02:22.000]  他的兒子就以為他在說新城市廣場
[00:02:22.000 --> 00:02:25.000]  所以就推他去
[00:02:25.000 --> 00:02:27.000]  因為他是坐輪椅的
[00:02:27.000 --> 00:02:31.000]  去到他堅持不是這裡
[00:02:31.000 --> 00:02:34.000]  他說那裡是很美很光亮
[00:02:34.000 --> 00:02:38.000]  很寬闊很漂亮的一個地方
[00:02:38.000 --> 00:02:41.000]  直到他臨終之前一天
[00:02:41.000 --> 00:02:44.000]  這個老人家突然跟他太太說
[00:02:44.000 --> 00:02:46.000]  開電視給我看一下
[00:02:46.000 --> 00:02:49.000]  他太太覺得你不是怕光嗎
[00:02:49.000 --> 00:02:51.000]  為什麼突然間變了呢
[00:02:51.000 --> 00:02:56.000]  而且他那天甚至不用戴黑鞘
[00:02:56.000 --> 00:02:59.000]  他們覺得很驚訝
[00:02:59.000 --> 00:03:03.000]  但是他吃完中午飯之後
[00:03:03.000 --> 00:03:04.000]  他又跟太太說
[00:03:04.000 --> 00:03:07.000]  我現在想去眠一眠
[00:03:07.000 --> 00:03:09.000]  大家聽得明白吧
[00:03:09.000 --> 00:03:12.000]  就是這樣
[00:03:12.000 --> 00:03:15.000]  他睡了中午的覺
[00:03:15.000 --> 00:03:17.000]  他就一睡不起
[00:03:17.000 --> 00:03:20.000]  天賦好有恩典接他走
[00:03:20.000 --> 00:03:22.000]  而且他形容那個地方
[00:03:22.000 --> 00:03:25.000]  他說那裡的空氣很清新
[00:03:25.000 --> 00:03:29.000]  沒有污染
[00:03:29.000 --> 00:03:34.000]  我想我們這個世界上都很難找到一個地方
