
[00:00:00.000 --> 00:00:03.000]  提摩太后書二章二十二節
[00:00:03.000 --> 00:00:07.000]  新約聖經三百零三一頁
[00:00:07.000 --> 00:00:12.000]  我們找到之後,同聲的來念
[00:00:12.000 --> 00:00:18.000]  你要逃避少年的私慾
[00:00:18.000 --> 00:00:21.000]  同納親心禱告主的人
[00:00:21.000 --> 00:00:26.000]  追求公義、信德、仁愛、和平
[00:00:26.000 --> 00:00:28.000]  我們再念一次
[00:00:28.000 --> 00:00:32.000]  你要逃避少年的私慾
[00:00:32.000 --> 00:00:36.000]  同納親心禱告主的人
[00:00:36.000 --> 00:00:41.000]  追求公義、信德、仁愛、和平
[00:00:41.000 --> 00:00:44.000]  這是主對提摩太說的
[00:00:44.000 --> 00:00:47.000]  主借著保羅向提摩太
[00:00:47.000 --> 00:00:51.000]  這個他的兒女,他的僕人說
[00:00:51.000 --> 00:00:56.000]  提摩太,你要逃避少年的私慾
[00:00:56.000 --> 00:00:58.000]  今天我們讀這話的時候
[00:00:58.000 --> 00:01:02.000]  一樣的主對我說,也對你說
[00:01:02.000 --> 00:01:05.000]  主對你說,因為你和我是他的兒女
[00:01:05.000 --> 00:01:10.000]  他對你我說,孩子你要逃
[00:01:10.000 --> 00:01:13.000]  逃避各樣的私慾
[00:01:13.000 --> 00:01:15.000]  無論是在哪個年齡
[00:01:15.000 --> 00:01:19.000]  少年、青年、壯年、老年
[00:01:19.000 --> 00:01:23.000]  我們有許多的私慾
[00:01:24.000 --> 00:01:28.000]  不要讓他在我們的裡面懷胎
[00:01:28.000 --> 00:01:33.000]  在裡面懷胎,他一定就生出罪來
[00:01:33.000 --> 00:01:36.000]  罪即長成就生出死來
[00:01:36.000 --> 00:01:41.000]  我們一直讓私慾在我們裡面懷胎
[00:01:41.000 --> 00:01:44.000]  這邊說逃
[00:01:44.000 --> 00:01:48.000]  我們不用擔心
[00:01:48.000 --> 00:01:50.000]  好多私慾我們都被打敗
[00:01:50.000 --> 00:01:51.000]  被他牽引誘惑
[00:01:51.000 --> 00:01:54.000]  被試探,被魔鬼任意的試探
[00:01:54.000 --> 00:01:57.000]  我們被私慾牽引誘惑
[00:01:57.000 --> 00:02:01.000]  就讓魔鬼試探成功
[00:02:01.000 --> 00:02:05.000]  主會一樣一樣的幫助我們
[00:02:05.000 --> 00:02:07.000]  我們回到生活里去
[00:02:07.000 --> 00:02:10.000]  主就讓我們寫明一個私慾
[00:02:10.000 --> 00:02:13.000]  不要逃避他,去面對他
[00:02:13.000 --> 00:02:16.000]  主對你說,那一個
[00:02:16.000 --> 00:02:18.000]  主對我說,那一個
[00:02:18.000 --> 00:02:19.000]  主愛我們說
[00:02:19.000 --> 00:02:24.000]  主說孩子,你要逃避少年的私慾
[00:02:24.000 --> 00:02:27.000]  你要逃避你那一個私慾
[00:02:27.000 --> 00:02:31.000]  先從這個私慾開始逃
[00:02:31.000 --> 00:02:36.000]  接著主對提摩台繼續說
[00:02:36.000 --> 00:02:39.000]  同那清心禱告主的人
[00:02:39.000 --> 00:02:42.000]  你要和那些清心禱告主的人
[00:02:42.000 --> 00:02:45.000]  一同的追求
[00:02:45.000 --> 00:02:47.000]  你不要一個人追求
[00:02:47.000 --> 00:02:51.000]  你各自追求,不夠
[00:02:51.000 --> 00:02:54.000]  提摩台,雖然你是傳道人
[00:02:54.000 --> 00:02:56.000]  但是我跟你說
[00:02:56.000 --> 00:02:58.000]  主對他說
[00:02:58.000 --> 00:03:01.000]  你要和那些清心禱告主的人
