
[00:00:00.000 --> 00:00:03.280]  每次當我看《士兵記》的時候
[00:00:03.280 --> 00:00:06.660]  我都會聯想到兩件事
[00:00:06.660 --> 00:00:10.500]  第一件事就是武俠小說
[00:00:10.500 --> 00:00:12.800]  《士兵記》裏面
[00:00:12.800 --> 00:00:16.120]  很多英雄豪傑都比武俠小說更好看
[00:00:16.120 --> 00:00:19.460]  所以如果你沒看過《士兵記》的話
[00:00:19.460 --> 00:00:22.260]  你今天下午晚上有時間是值得看的
[00:00:22.260 --> 00:00:24.820]  第二件事我聯想到
[00:00:24.820 --> 00:00:28.660]  就是中國歷史裏面的戰國時代
[00:00:28.920 --> 00:00:33.780]  中國的戰國時代和以色列的士司時代
[00:00:33.780 --> 00:00:35.580]  有一個共同點
[00:00:35.580 --> 00:00:37.360]  四個字講完
[00:00:37.360 --> 00:00:39.420]  就是亂世大農
[00:00:39.420 --> 00:00:41.200]  亂世大農
[00:00:41.200 --> 00:00:42.480]  我們很多
[00:00:42.480 --> 00:00:46.080]  中國人喜歡看戰國
[00:00:46.080 --> 00:00:49.140]  的時代的故事,津津有味
[00:00:49.140 --> 00:00:53.760]  但是很多猶太人寧願忘記這個士司時代
[00:00:53.760 --> 00:00:55.800]  那三百年的歷史
[00:00:55.800 --> 00:00:58.880]  因為以色列在這三百年裏面
[00:00:59.120 --> 00:01:00.160]  無論在道德
[00:01:00.160 --> 00:01:01.940]  國力和信仰
[00:01:01.940 --> 00:01:04.240]  都每放月下
[00:01:04.240 --> 00:01:06.800]  不堪回首
[00:01:06.800 --> 00:01:12.700]  或者你和我都有一些不堪回首的往事
[00:01:12.700 --> 00:01:14.740]  都經歷過同樣
[00:01:14.740 --> 00:01:16.540]  類似的失敗
[00:01:16.540 --> 00:01:17.820]  今天
[00:01:17.820 --> 00:01:19.600]  我們要從以色列的
[00:01:19.600 --> 00:01:21.140]  歷史裏面學習
[00:01:21.140 --> 00:01:22.680]  怎樣在
[00:01:22.680 --> 00:01:24.220]  失敗當中
[00:01:24.220 --> 00:01:25.240]  站起來
[00:01:25.240 --> 00:01:28.320]  怎樣去根生我們的
[00:01:28.820 --> 00:01:29.580]  屬靈生命
[00:01:29.580 --> 00:01:33.420]  首先我們來簡約的看一下以色列的
[00:01:33.420 --> 00:01:38.280]  舊約的歷史,幾千年怎樣看,我教這個很好的方法
[00:01:38.280 --> 00:01:39.560]  就是記住
[00:01:39.560 --> 00:01:40.840]  四百
[00:01:40.840 --> 00:01:44.680]  從阿巴拉罕到約瑟大約四百年
[00:01:44.680 --> 00:01:48.020]  從約瑟到出埃及大約四百年
[00:01:48.020 --> 00:01:50.320]  從出埃及
[00:01:50.320 --> 00:01:53.640]  到數羅王即是君主制度的開始
[00:01:53.640 --> 00:01:54.920]  大約四百年
[00:01:55.440 --> 00:02:00.300]  從數羅王到以色列亡國被擄去巴比倫也是四百年
[00:02:00.300 --> 00:02:01.840]  加起來多少
[00:02:01.840 --> 00:02:03.640]  一千六百年
[00:02:03.640 --> 00:02:06.960]  舊約的大部分歷史你已經有個輪廓
[00:02:06.960 --> 00:02:11.320]  將來你想主一學可以拋書包,連老師都不認識你
[00:02:11.320 --> 00:02:15.920]  記不記得,不妨拿手機來拍一拍那幅相
[00:02:15.920 --> 00:02:20.520]  其實我們太古城的網上
[00:02:20.520 --> 00:02:23.860]  有我的powerpoint你可以去download可以去看
[00:02:25.400 --> 00:02:30.780]  好,事實時代這三百年就是在第三個四百年
[00:02:30.780 --> 00:02:34.880]  即是出埃及到數羅王那段時間
[00:02:34.880 --> 00:02:40.500]  在這三百年裏面以色列人一次又一次的離開神
[00:02:40.500 --> 00:02:46.900]  上帝又一次一次的懲罰他們,很嚴厲的,他們悔改了,上帝又興起
[00:02:46.900 --> 00:02:48.700]  事實來拯救他們
[00:02:48.700 --> 00:02:51.780]  事實死了,他們又再次離開神
[00:02:52.280 --> 00:02:56.380]  在這三百年裏面上帝就是興起了十幾個事事
[00:02:56.380 --> 00:03:02.520]  每一次都帶來拯救,但最後的結果仍然是民族的墮落
[00:03:02.520 --> 00:03:05.080]  而且一次比一次墮落得深
[00:03:05.080 --> 00:03:08.420]  成為了一個惡性的循環
[00:03:08.420 --> 00:03:13.280]  我們現在看的事事記第二章
[00:03:13.280 --> 00:03:18.400]  就是將整個事事時代的歷史很概括的講出來
[00:03:18.400 --> 00:03:20.960]  我們可以說這一章的聖經
[00:03:21.220 --> 00:03:24.540]  就是整本事事記的概覽
[00:03:24.540 --> 00:03:31.200]  Overview,有時你看一本書,第一課第一章
[00:03:31.200 --> 00:03:33.000]  就是Overview,概覽
[00:03:33.000 --> 00:03:35.300]  你看事事記第二章
[00:03:35.300 --> 00:03:37.340]  你會看到整個概覽
[00:03:37.340 --> 00:03:43.240]  這個概覽就是以色列人屢次的離開神
[00:03:43.240 --> 00:03:49.640]  以致他們雖然進入了應許之地,但得不到上帝應許的祝福
[00:03:49.880 --> 00:03:51.420]  非常之可惜
[00:03:51.420 --> 00:03:56.020]  事事記比我們現在這個世代基督徒
[00:03:56.020 --> 00:03:58.840]  有很大的提醒和學習
[00:03:58.840 --> 00:04:02.680]  因為在以色列人身上我們看到自己
[00:04:02.680 --> 00:04:08.560]  基督徒的生命往往就是以色列民族的縮影
[00:04:08.560 --> 00:04:10.600]  我們屢次的離開神
[00:04:10.600 --> 00:04:12.400]  與這個世界妥協
[00:04:12.400 --> 00:04:15.480]  以致我們的屬靈生命軟弱
