
[00:00:00.000 --> 00:00:03.000]  丁小妹,你回來教會期望些甚麼?
[00:00:03.000 --> 00:00:05.520]  你每個星期都會來
[00:00:05.520 --> 00:00:08.840]  沒有期望嗎?
[00:00:08.840 --> 00:00:12.840]  有沒有呀?
[00:00:12.840 --> 00:00:14.320]  有甚麼呀?
[00:00:14.320 --> 00:00:16.880]  敬拜神
[00:00:16.880 --> 00:00:18.360]  唱聖詩
[00:00:18.360 --> 00:00:20.920]  向神的教導
[00:00:20.920 --> 00:00:23.720]  有些教會
[00:00:23.720 --> 00:00:28.560]  他們見到啟示錄二十二章一到二節
[00:00:28.960 --> 00:00:34.120]  「天使有讓我看見一道生命水的河
[00:00:34.120 --> 00:00:36.120]  明亮如水晶
[00:00:36.120 --> 00:00:39.680]  從神和羔羊的寶座流出來
[00:00:39.680 --> 00:00:42.520]  經過城內街道的中央
[00:00:42.520 --> 00:00:45.400]  在河的兩邊有生命樹
[00:00:45.400 --> 00:00:47.160]  結十二樣的果子
[00:00:47.160 --> 00:00:49.440]  每月都結果子
[00:00:49.440 --> 00:00:54.040]  樹上的葉子可作醫治萬民之用」
[00:00:54.040 --> 00:00:56.480]  他們看到這段經文
[00:00:56.480 --> 00:00:58.400]  覺得很好
[00:00:59.440 --> 00:01:02.800]  於是在教會的禮堂一段時間都舊了
[00:01:02.800 --> 00:01:05.160]  他們要做礦堂裝修的時候
[00:01:05.160 --> 00:01:06.120]  他們就跟牧師說
[00:01:06.120 --> 00:01:10.680]  「牧師,不如我們照啟示錄這段經文做些事情吧」
[00:01:10.680 --> 00:01:12.720]  牧師說「即是怎樣?」
[00:01:12.720 --> 00:01:16.240]  「很簡單,在新的港台那裡
[00:01:16.240 --> 00:01:17.840]  在後面弄一個水池
[00:01:17.840 --> 00:01:19.120]  弄一個水喉
[00:01:19.120 --> 00:01:22.040]  由港台開始一條水流
[00:01:22.040 --> 00:01:25.160]  然後分叉到整個禮堂不同的地方
[00:01:26.160 --> 00:01:29.240]  我們讓每一個人坐在那個位置的時候
[00:01:29.240 --> 00:01:31.560]  都看到腳上有水流動
[00:01:31.560 --> 00:01:34.160]  並且有不同顏色的晶石
[00:01:34.160 --> 00:01:38.000]  可不可以讓我們感受
[00:01:38.000 --> 00:01:39.360]  從神的裡面
[00:01:39.360 --> 00:01:40.880]  我們每次來到教會
[00:01:40.880 --> 00:01:42.680]  都能夠得到神的賜福呢?」
[00:01:42.680 --> 00:01:43.880]  他們真的做了
[00:01:43.880 --> 00:01:48.840]  但我不知道是不是真的每一次來到的人
[00:01:48.840 --> 00:01:52.400]  會不會偷看了他們看著下面的水流動
[00:01:52.400 --> 00:01:53.480]  看那些石頭漂亮不漂亮
[00:01:53.480 --> 00:01:54.720]  忘記了唱聖詩
[00:01:54.720 --> 00:01:56.640]  或者聽講道士不是很專心
[00:01:56.640 --> 00:02:01.600]  「由耶穌升天到聖靈降臨
[00:02:01.600 --> 00:02:02.720]  在使徒的身上
[00:02:02.720 --> 00:02:05.720]  一天裡面有三千人信主
[00:02:05.720 --> 00:02:07.840]  有神的教會成立之後
[00:02:07.840 --> 00:02:09.040]  第一個神跡就出現
[00:02:09.040 --> 00:02:10.640]  接著有五千人信主
[00:02:10.640 --> 00:02:13.360]  然後聖靈降臨在信徒的身上
[00:02:13.360 --> 00:02:15.680]  信徒嘗試學習凡物功用」
[00:02:15.680 --> 00:02:18.720]  上個星期我們聽到的
[00:02:18.720 --> 00:02:21.440]  就是神對初信的
[00:02:21.440 --> 00:02:25.160]  或者對初期教會有一個非常嚴格的要求
[00:02:25.160 --> 00:02:26.760]  其實如果我們看聖經
[00:02:26.760 --> 00:02:29.560]  神在不同歷史的轉折點當中
[00:02:29.560 --> 00:02:31.360]  祂一定做一件很重要的事情
[00:02:31.360 --> 00:02:32.960]  就是告訴祂的子民
[00:02:32.960 --> 00:02:34.040]  我是一個怎樣的神
[00:02:34.040 --> 00:02:36.320]  所以到了新約教會
[00:02:36.320 --> 00:02:38.600]  我們經常覺得我們的神是一個非常慈愛
[00:02:38.600 --> 00:02:39.800]  好像聖誕老人一樣
[00:02:39.800 --> 00:02:40.680]  我們叫祂拿什麼
[00:02:40.680 --> 00:02:41.840]  祂就應該給我們
[00:02:41.840 --> 00:02:43.680]  神說「不,我不是這樣的」
[00:02:43.680 --> 00:02:45.800]  如果我們回看舊約看新約
[00:02:45.800 --> 00:02:47.560]  到了新約當初教會開始
[00:02:47.560 --> 00:02:50.400]  神就用阿拿尼亞和撒菲拉這件事件告訴我們
[00:02:50.400 --> 00:02:53.800]  神仍然是一個很嚴格的神
[00:02:53.800 --> 00:02:57.120]  神對祂的子民是有要求的
[00:02:57.120 --> 00:03:00.200]  到了今天我們這篇經文
[00:03:00.200 --> 00:03:02.440]  我一邊看的時候
[00:03:02.440 --> 00:03:07.160]  原諒我過去幾次我都用相對類似的講題
[00:03:07.160 --> 00:03:11.720]  第一次我講看神的國就在《路加福音》
[00:03:11.720 --> 00:03:15.840]  上次講《小行傳》我就看神的國的權能
[00:03:15.840 --> 00:03:17.640]  我看這篇經文的時候
[00:03:17.640 --> 00:03:20.120]  不期然在我腦海當中就出了另一個題目
[00:03:20.720 --> 00:03:23.000]  叫做「天國權能的流動」
[00:03:23.000 --> 00:03:26.720]  在《小行傳》五章十二到十六節
[00:03:26.720 --> 00:03:29.680]  可能因為阿拿尼亞和撒菲拉的事件
[00:03:29.680 --> 00:03:31.200]  所以聖經告訴我們
[00:03:31.200 --> 00:03:32.920]  在《小行傳》五章十一節
[00:03:32.920 --> 00:03:34.720]  如果我們記得上次的話
[00:03:34.720 --> 00:03:39.280]  說「全教會和所有聽見這些事的人都非常懼怕」
