
[00:00:00.000 --> 00:00:04.160]  今日我和大家分享的講道主題
[00:00:04.160 --> 00:00:07.720]  叫做「洩露天機」
[00:00:07.720 --> 00:00:12.880]  經文是用「已不鎖書」三章一至十三節
[00:00:12.880 --> 00:00:16.000]  我想大家都聽過一句說話叫做
[00:00:16.000 --> 00:00:18.240]  「天機不可洩露」
[00:00:18.240 --> 00:00:23.120]  可能這句說話最多聽到的就是江湖術士用
[00:00:23.120 --> 00:00:25.520]  或者是那些體相先生
[00:00:25.520 --> 00:00:27.840]  有時他遇到困難的時候
[00:00:27.840 --> 00:00:32.000]  不想告訴你他就會用「天機不可洩露」
[00:00:32.000 --> 00:00:36.200]  因為「洩露天機」有時會說「折福」
[00:00:36.200 --> 00:00:39.000]  一會兒就會說「受到天譴」
[00:00:39.000 --> 00:00:43.040]  佛教一些的德道高僧他都會這樣說
[00:00:43.040 --> 00:00:46.800]  他都會堅持「天機不可洩露」
[00:00:46.800 --> 00:00:50.560]  因為他都認為一個人一生的遭遇
[00:00:50.560 --> 00:00:55.440]  已經被他前生的業已經安排好了
[00:00:55.440 --> 00:00:57.000]  是改變不了的
[00:00:57.000 --> 00:01:02.880]  就算你告訴他將來有甚麼事淋到他身上
[00:01:02.880 --> 00:01:05.320]  其實就是洩露了「天機」
[00:01:05.320 --> 00:01:09.120]  不單止改變了這些安排
[00:01:09.120 --> 00:01:11.960]  而且是違反了天例
[00:01:11.960 --> 00:01:17.080]  他們這些修行可能千年修行一朝喪
[00:01:17.080 --> 00:01:19.640]  他們亦都會承擔一個業障
[00:01:19.640 --> 00:01:24.360]  而那個人可能知道了前面一點的遭遇
[00:01:24.360 --> 00:01:26.280]  或許可以逃過一劫
[00:01:26.280 --> 00:01:28.120]  暫時逃過一劫
[00:01:28.120 --> 00:01:32.840]  但最終他都不可以逃過上天的安排
[00:01:32.840 --> 00:01:35.800]  所以他們都會說「天機不可洩露」
[00:01:35.800 --> 00:01:37.800]  但今日我們要看的經文
[00:01:37.800 --> 00:01:41.640]  就是《已不鎖書》三章一至十三節
[00:01:41.640 --> 00:01:46.760]  這段經文是保羅故意向我們洩露天機
[00:01:46.760 --> 00:01:49.480]  保羅那時候是甚麼情況呢?
[00:01:49.480 --> 00:01:54.400]  原來他因為要傳福音給外邦的信徒
[00:01:54.400 --> 00:01:56.640]  暫時正在坐牢
