
[00:00:00.000 --> 00:00:02.920]  我們先一同祈禱
[00:00:02.920 --> 00:00:04.960]  撒拉德夫,我們感謝你
[00:00:04.960 --> 00:00:08.240]  讓我們一同思想你的華語
[00:00:08.240 --> 00:00:10.840]  求你的聖靈在我們中間運行
[00:00:10.840 --> 00:00:13.440]  幫助我們講的講得清楚
[00:00:13.440 --> 00:00:15.240]  聽的也聽得明白
[00:00:15.240 --> 00:00:17.400]  奉主耶穌基督的名祈禱
[00:00:17.400 --> 00:00:18.120]  阿們
[00:00:18.120 --> 00:00:23.680]  上個星期我們開始看羅馬書第九章
[00:00:23.680 --> 00:00:27.840]  羅馬書其實主要是討論
[00:00:27.840 --> 00:00:30.280]  耶穌基督的福音
[00:00:30.280 --> 00:00:33.000]  羅馬書的約節
[00:00:33.000 --> 00:00:35.200]  就是最主要的一節經文
[00:00:35.200 --> 00:00:37.760]  其實是一開始一章十六節
[00:00:37.760 --> 00:00:38.680]  他說
[00:00:38.680 --> 00:00:51.280]  "我不以福音為指,這福音是上帝的大能,要拯救一切信的人,先是猶太人,而後是外邦人。"
[00:00:51.280 --> 00:00:55.880]  簡單來說這本書的大綱分為幾段
[00:00:55.880 --> 00:00:59.120]  從一章十七節開始到四章二十五節
[00:00:59.120 --> 00:01:01.760]  就講到定罪和清義
[00:01:01.760 --> 00:01:08.200]  第五章就講到清義之後給我們的恩典
[00:01:08.200 --> 00:01:11.440]  第六至第八章就是清義之後的生活
[00:01:11.440 --> 00:01:15.720]  而九章至十一章就是猶太人和福音的關係
[00:01:15.720 --> 00:01:17.800]  今天我們會思想第十章
[00:01:17.800 --> 00:01:21.680]  十二至十五章就是基督徒應有的生活方式
[00:01:21.680 --> 00:01:24.840]  最後就是一些文案和結語
[00:01:25.400 --> 00:01:29.360]  在這裡我想先解釋一下什麼叫做清義
[00:01:29.360 --> 00:01:30.480]  因為這本書
[00:01:30.480 --> 00:01:33.000]  羅馬書時時講到清義
[00:01:33.000 --> 00:01:36.080]  清義呢
[00:01:36.080 --> 00:01:40.400]  其實就是被上帝宣為無罪
[00:01:40.400 --> 00:01:44.200]  不是說我們從來沒有犯過罪
[00:01:44.200 --> 00:01:47.520]  而是說我們雖然犯了很多罪
[00:01:47.520 --> 00:01:51.560]  上帝是當我們是無罪
[00:01:51.560 --> 00:01:54.520]  清義的結果呢
[00:01:54.800 --> 00:01:59.360]  就是使我們和上帝有一個合宜的關係
[00:01:59.360 --> 00:02:02.480]  或者我們說關係正常化
[00:02:02.480 --> 00:02:05.360]  上主使我們成為
[00:02:05.360 --> 00:02:07.160]  上主成為我們的上帝
[00:02:07.160 --> 00:02:09.280]  又使我們成為上主的子民
