
[00:00:00.000 --> 00:00:05.120]  大家好,我們今天講的課題是復活
[00:00:05.120 --> 00:00:13.440]  其實有些西方教會很喜歡在星期日見面時主復活,互相提醒
[00:00:13.440 --> 00:00:20.420]  因為上星期日的崇拜是紀念主耶穌在星期日時復活
[00:00:20.420 --> 00:00:25.080]  所以我想復活這個主題是很重要,或者我們一起有個禱告
[00:00:26.620 --> 00:00:31.160]  慈悲的天父,多謝你讓我們一齊去看今天的經文
[00:00:31.160 --> 00:00:37.140]  看到復活,一個很重要,對我們生命很大的影響的課題
[00:00:37.140 --> 00:00:43.160]  求主你幫助,教導我們怎樣去看重這個真理,以致我們的生命被改變
[00:00:43.160 --> 00:00:46.760]  我們這樣的祈禱,奉主耶穌基督的名,阿們
[00:00:46.760 --> 00:00:52.040]  在美國有一個很出名的神學家
[00:00:52.040 --> 00:01:03.000]  他的名字叫Gary Hebersmas,他是一個神學家專門研究耶穌基督復活的事情
[00:01:03.000 --> 00:01:07.940]  他寫了七本書,專門講耶穌基督復活的真理
[00:01:07.940 --> 00:01:15.980]  他也很出名,經常和信徒或非信徒辯論復活之事的真確性
[00:01:15.980 --> 00:01:25.460]  很多時候,有些人做了一個辯論大會,就會做一個評估,都覺得Gary的講論是佔上風
[00:01:25.460 --> 00:01:31.460]  很有力將復活的事情講得明白,講得清楚
[00:01:31.460 --> 00:01:36.700]  復活這件事是他的鑽研,但這是頭腦上
[00:01:36.700 --> 00:01:42.260]  但實際上這個真理怎樣去影響他的生命,都是一個過程
[00:01:42.260 --> 00:01:49.640]  在1955年的時候,他太太Debbie患癌病,然後去世
[00:01:49.640 --> 00:01:57.980]  這帶給Gary一個很沉痛的經歷,他很沮喪,很抑鬱
[00:01:57.980 --> 00:02:03.180]  他的同學,因為他是神學院的教授,有些同學就去鼓勵他
[00:02:03.180 --> 00:02:12.940]  復活這件事,將來我們也會有,你可以將這個心交給神,你慢慢去釋懷
[00:02:12.940 --> 00:02:23.260]  講著講著,但Gary覺得,同學提醒我,我對復活的課題這麼有專門的一個人
[00:02:23.260 --> 00:02:28.940]  我竟然今天很難去面對我太太的離開
[00:02:28.940 --> 00:02:36.420]  他有時靜下來就跟神說,神為何Debbie會有這個病,為何她會去到這樣
