
[00:00:00.000 --> 00:00:03.000]  好,今天我要跟大家分享的題目就是
[00:00:03.000 --> 00:00:08.000]  《一人蒙因,全家歸主得救》
[00:00:08.000 --> 00:00:12.000]  有兩節聖經大家很熟悉的了
[00:00:12.000 --> 00:00:16.000]  就是《四行傳》第十六章三十一節
[00:00:16.000 --> 00:00:18.000]  以及《永恆福音》第三章十六節
[00:00:18.000 --> 00:00:22.000]  這兩節聖經你都可以盡量把它背出來
[00:00:22.000 --> 00:00:27.000]  第一節,第一次就是《四行傳》十六章三十一節
[00:00:27.000 --> 00:00:30.000]  大家一起讀好不好
[00:00:30.000 --> 00:00:37.000]  他們說,當信主耶穌,你和你一家都必得救
[00:00:37.000 --> 00:00:40.000]  好,約翰福音三十六節你背都可以了
[00:00:40.000 --> 00:00:46.000]  神愛世人,甚至將他的徒生子賜給他們
[00:00:46.000 --> 00:00:52.000]  叫一切信他的,不至滅亡,反得永生
[00:00:52.000 --> 00:00:57.000]  這個叫一切信他的人,相信他的人
[00:00:57.000 --> 00:01:02.000]  不滅亡,得到拯救,得到永生
[00:01:02.000 --> 00:01:07.000]  全家歸主其實不只是在新約裡
[00:01:07.000 --> 00:01:10.000]  在《仕途》時代說的
[00:01:10.000 --> 00:01:14.000]  其實在舊約裡已經有很多的例證
[00:01:14.000 --> 00:01:17.000]  新約也有,所以我們來看看
[00:01:17.000 --> 00:01:20.000]  其實全家歸主是神的心意
[00:01:20.000 --> 00:01:23.000]  第一個例子就是羅亞的一家
[00:01:23.000 --> 00:01:26.000]  他們八口都得救
[00:01:26.000 --> 00:01:32.000]  這是記載在《創世紀》第六章第八至第九
[00:01:32.000 --> 00:01:34.000]  第七章第一節
[00:01:34.000 --> 00:01:37.000]  那我們大家一起讀好不好
[00:01:37.000 --> 00:01:39.000]  一起來,一二三
[00:01:39.000 --> 00:01:43.000]  唯有在耶和華眼前蒙恩
[00:01:43.000 --> 00:01:55.000]  羅亞是個異人,羅亞與神同行
[00:01:55.000 --> 00:01:57.000]  耶和華對羅亞說
[00:01:57.000 --> 00:02:01.000]  你和你的全家都要進入方舟
[00:02:01.000 --> 00:02:08.000]  因為這世代中,你見了神
[00:02:08.000 --> 00:02:13.000]  這裡大家看到,原來因為羅亞一個人
[00:02:13.000 --> 00:02:15.000]  他在神面前很蒙恩
[00:02:15.000 --> 00:02:17.000]  所以神就說
[00:02:17.000 --> 00:02:21.000]  我要你全家都進入方舟
[00:02:21.000 --> 00:02:24.000]  大家很熟悉這個故事
[00:02:24.000 --> 00:02:26.000]  我們也不用多說
[00:02:26.000 --> 00:02:29.000]  其實今天你是不是第一個蒙恩的人
[00:02:29.000 --> 00:02:32.000]  在你的家庭,在你的家族
[00:02:32.000 --> 00:02:36.000]  在你的親朋戚友裡面
[00:02:36.000 --> 00:02:38.000]  你是不是第一個蒙恩呢
[00:02:38.000 --> 00:02:39.000]  如果是的話
[00:02:39.000 --> 00:02:41.000]  神希望透過你
[00:02:41.000 --> 00:02:43.000]  你的見證,你的生命
[00:02:43.000 --> 00:02:48.000]  去帶領你全家全族歸主
[00:02:48.000 --> 00:02:51.000]  第二個例子,大家都很熟悉
[00:02:51.000 --> 00:02:54.000]  就是以色列人首御月節
[00:02:54.000 --> 00:02:58.000]  這個記載在初一及十二章三至十七節
[00:02:58.000 --> 00:03:00.000]  這段經文所說
[00:03:00.000 --> 00:03:05.000]  當以色列人在埃及圍爐四百年
[00:03:05.000 --> 00:03:07.000]  神要救他們出埃及
[00:03:07.000 --> 00:03:09.000]  但在救他們出埃及之前
[00:03:09.000 --> 00:03:11.000]  他們做了一件事
[00:03:11.000 --> 00:03:13.000]  就是那個是第十災
[00:03:13.000 --> 00:03:15.000]  最後一災,神一定要發老
[00:03:15.000 --> 00:03:19.000]  那個心願意讓他們出去
[00:03:19.000 --> 00:03:20.000]  那是做什麼呢
[00:03:20.000 --> 00:03:22.000]  原來在正月十日
[00:03:22.000 --> 00:03:24.000]  神吩咐他們
[00:03:24.000 --> 00:03:27.000]  要拿一隻羊,是一歲而已
[00:03:27.000 --> 00:03:29.000]  無論是山羊也好,綿羊也好
[00:03:29.000 --> 00:03:31.000]  那就將牠選出來
[00:03:31.000 --> 00:03:33.000]  要沒有殘疾
[00:03:33.000 --> 00:03:35.000]  要完全完美
[00:03:35.000 --> 00:03:37.000]  然後就一直選了
[00:03:37.000 --> 00:03:40.000]  就等到正月十四日
[00:03:40.000 --> 00:03:44.000]  然後就將那隻羊宰了
[00:03:44.000 --> 00:03:46.000]  宰了牠會流血的,是不是
[00:03:46.000 --> 00:03:51.000]  那些血就將牠塗在家門口的門框上
[00:03:51.000 --> 00:03:54.000]  兩邊,以及門尾就是上面
[00:03:54.000 --> 00:03:57.000]  就是要將那些血塗上去
[00:03:57.000 --> 00:04:00.000]  那隻羊宰了之後又怎樣呢
[00:04:00.000 --> 00:04:02.000]  牠就要一家人坐在那裡吃
[00:04:02.000 --> 00:04:04.000]  你說吃不完的
[00:04:04.000 --> 00:04:06.000]  那隻羊這麼大隻怎麼吃得完
[00:04:06.000 --> 00:04:08.000]  就要請隔壁鄰舍
[00:04:08.000 --> 00:04:12.000]  那些鄰居,左鄰右鄰來吃
[00:04:12.000 --> 00:04:15.000]  一定要當晚吃了牠,吃完牠
[00:04:15.000 --> 00:04:18.000]  而且如果你真的留了
[00:04:18.000 --> 00:04:20.000]  第二天也不能吃
[00:04:20.000 --> 00:04:22.000]  就要燒了牠
[00:04:22.000 --> 00:04:25.000]  而且牠吃的方法是用BBQ
[00:04:25.000 --> 00:04:27.000]  就是烤來吃的
[00:04:27.000 --> 00:04:30.000]  不可以水煮的,不可以生吃的
[00:04:30.000 --> 00:04:32.000]  所以我不知道這道語言
[00:04:32.000 --> 00:04:34.000]  是不是帶了一個真理
[00:04:34.000 --> 00:04:36.000]  就是一個提醒給我們
[00:04:36.000 --> 00:04:40.000]  其實神也希望我們吃得健康的
[00:04:40.000 --> 00:04:43.000]  還是不要吃隔夜的東西
[00:04:43.000 --> 00:04:46.000]  還有最好還是吃熟的東西
[00:04:46.000 --> 00:04:49.000]  不要吃這麼生的東西
[00:04:49.000 --> 00:04:52.000]  其實這個是題外話
[00:04:52.000 --> 00:04:58.000]  但是當他們將血塗在門尾門框上
[00:04:58.000 --> 00:05:00.000]  到了那一天
[00:05:00.000 --> 00:05:03.000]  神的使者就會來到埃及
[00:05:03.000 --> 00:05:07.000]  將所有的長子殺了
[00:05:07.000 --> 00:05:09.000]  但是當那些使者
[00:05:09.000 --> 00:05:11.000]  走到一間屋的門口
[00:05:11.000 --> 00:05:14.000]  有血在門框門尾上
[00:05:14.000 --> 00:05:17.000]  他們就越過,不進去了
[00:05:17.000 --> 00:05:19.000]  所以什麼叫如月節呢?
[00:05:19.000 --> 00:05:22.000]  就是說他走過,但他就越過了
[00:05:22.000 --> 00:05:24.000]  不進去裡面
[00:05:24.000 --> 00:05:29.000]  所以全家在家裡的一家就得救了
[00:05:29.000 --> 00:05:31.000]  每一家預備一隻羊羔
[00:05:31.000 --> 00:05:34.000]  由家長帶領全家一起吃
[00:05:34.000 --> 00:05:36.000]  然後一起出埃及
[00:05:36.000 --> 00:05:38.000]  不是家長一個人吃
[00:05:38.000 --> 00:05:40.000]  全家就出埃及
[00:05:40.000 --> 00:05:42.000]  而是全家人都吃
[00:05:42.000 --> 00:05:45.000]  由全家人一起出埃及
[00:05:45.000 --> 00:05:46.000]  所以
[00:05:46.000 --> 00:05:49.000]  當信主耶穌,你和你一家都必救
[00:05:49.000 --> 00:05:50.000]  都必得救
[00:05:50.000 --> 00:05:51.000]  意思是什麼呢?
[00:05:51.000 --> 00:05:54.000]  不是說我幫我家人信就可以了
[00:05:54.000 --> 00:05:55.000]  我信一個人信
[00:05:55.000 --> 00:05:57.000]  我就三代四代都會得救
[00:05:57.000 --> 00:05:58.000]  不是
[00:05:58.000 --> 00:05:59.000]  而是說
[00:05:59.000 --> 00:06:01.000]  你要和他們一起信的
[00:06:01.000 --> 00:06:03.000]  你要帶著他們去信的
[00:06:03.000 --> 00:06:06.000]  他們要跟著你去信這位神
[00:06:06.000 --> 00:06:08.000]  他不是信你就可以了
[00:06:08.000 --> 00:06:09.000]  不是跟著你就可以
[00:06:09.000 --> 00:06:12.000]  拉著你扯著三尾上天堂
[00:06:12.000 --> 00:06:13.000]  不行
[00:06:13.000 --> 00:06:15.000]  好了,另一個例子
[00:06:15.000 --> 00:06:16.000]  大家很熟悉的
[00:06:16.000 --> 00:06:21.000]  紀律拉合求全族,他不是全家
[00:06:21.000 --> 00:06:22.000]  全族都要得救
[00:06:22.000 --> 00:06:24.000]  這個記載在《約書亞記》
[00:06:24.000 --> 00:06:26.000]  第二章十二到十三節
[00:06:26.000 --> 00:06:29.000]  這件事蹟就是
[00:06:29.000 --> 00:06:32.000]  當這些以色列人
[00:06:32.000 --> 00:06:35.000]  他們要去攻打耶利歌城之前
[00:06:35.000 --> 00:06:37.000]  就派了兩個探子
[00:06:37.000 --> 00:06:40.000]  去耶利歌城探路
[00:06:40.000 --> 00:06:43.000]  但是當探子一進了耶利歌城
[00:06:43.000 --> 00:06:46.000]  就發覺被人追捕
[00:06:46.000 --> 00:06:47.000]  那怎麼辦呢
[00:06:47.000 --> 00:06:49.000]  他們走進了一間屋子裡
[00:06:49.000 --> 00:06:53.000]  那間屋子就在城牆旁邊
[00:06:53.000 --> 00:06:57.000]  原來住了一個妓女叫拉合
[00:06:57.000 --> 00:06:59.000]  他們躲進去裡面
[00:06:59.000 --> 00:07:01.000]  那個妓女叫拉合
[00:07:01.000 --> 00:07:03.000]  她說你知不知道
[00:07:03.000 --> 00:07:05.000]  我可以救你們
[00:07:05.000 --> 00:07:08.000]  因為我由很久已經聽到耶和華神
[00:07:08.000 --> 00:07:10.000]  你們所信的神是真的
[00:07:10.000 --> 00:07:14.000]  你怎麼在埃及打仗
[00:07:14.000 --> 00:07:15.000]  我們都聽到了
[00:07:15.000 --> 00:07:17.000]  所以我很想相信
[00:07:17.000 --> 00:07:19.000]  我真的很想跟你們相信
[00:07:19.000 --> 00:07:20.000]  我救你們
[00:07:20.000 --> 00:07:22.000]  我把你們藏起來
[00:07:22.000 --> 00:07:23.000]  讓你們安全
[00:07:23.000 --> 00:07:25.000]  但是你答應我一件事
[00:07:25.000 --> 00:07:29.000]  就是當你們攻打耶利歌城的時候
[00:07:29.000 --> 00:07:30.000]  你救我
[00:07:30.000 --> 00:07:31.000]  救我全家
[00:07:31.000 --> 00:07:33.000]  救我全族
[00:07:33.000 --> 00:07:36.000]  那他就要這兩個探子
[00:07:36.000 --> 00:07:40.000]  跟他好像起了怨
[00:07:40.000 --> 00:07:41.000]  起了誓似的
[00:07:41.000 --> 00:07:44.000]  結果那兩個探子說好
[00:07:44.000 --> 00:07:45.000]  你記得
[00:07:45.000 --> 00:07:48.000]  當我們攻打這個城的時候
[00:07:48.000 --> 00:07:49.000]  你要叫你全家人
[00:07:49.000 --> 00:07:51.000]  叫你所有親朋戚友
[00:07:51.000 --> 00:07:53.000]  全族人都去你那裡
